FIPS,STATE,AREA_NAME,infected,beta,gamma
00000,US,united states,96986.0,2.639432214097352e-05,0.005625482706076356
01000,AL,alabama,540.0,6.206221416412423e-06,0.0
01001,AL,autauga county,0,NA,NA
01003,AL,baldwin county,5.0,1.5289280838054813e-06,0.0
01005,AL,barbour county,0,NA,NA
01007,AL,bibb county,0,NA,NA
01009,AL,blount county,0,NA,NA
01011,AL,bullock county,0,NA,NA
01013,AL,butler county,0,NA,NA
01015,AL,calhoun county,2.0,2.9169486383685584e-06,0.0
01017,AL,chambers county,13.0,1.9834382902763008e-05,0.0
01019,AL,cherokee county,0,NA,NA
01021,AL,chilton county,0,NA,NA
01023,AL,choctaw county,0,NA,NA
01025,AL,clarke county,0,NA,NA
01027,AL,clay county,0,NA,NA
01029,AL,cleburne county,0,NA,NA
01031,AL,coffee county,0,NA,NA
01033,AL,colbert county,0,NA,NA
01035,AL,conecuh county,0,NA,NA
01037,AL,coosa county,0,NA,NA
01039,AL,covington county,0,NA,NA
01041,AL,crenshaw county,0,NA,NA
01043,AL,cullman county,6.0,-0.0,0.0
01045,AL,dale county,0,NA,NA
01047,AL,dallas county,0,NA,NA
01049,AL,dekalb county,0,NA,NA
01051,AL,elmore county,10.0,8.142559939441096e-06,0.0
01053,AL,escambia county,0,NA,NA
01055,AL,etowah county,0,NA,NA
01057,AL,fayette county,0,NA,NA
01059,AL,franklin county,3.0,NA,NA
01061,AL,geneva county,0,NA,NA
01063,AL,greene county,0,NA,NA
01065,AL,hale county,0,NA,NA
01067,AL,henry county,0,NA,NA
01069,AL,houston county,3.0,NA,NA
01071,AL,jackson county,4.0,-0.0,0.0
01073,AL,jefferson county,173.0,1.5170777441690263e-05,0.0
01075,AL,lamar county,1.0,-0.0,0.0
01077,AL,lauderdale county,9.0,7.216334895680611e-06,0.0
01079,AL,lawrence county,0,NA,NA
01081,AL,lee county,47.0,1.8302578223174062e-05,0.0
01083,AL,limestone county,13.0,3.4660242968095983e-06,0.0
01085,AL,lowndes county,0,NA,NA
01087,AL,macon county,0,NA,NA
01089,AL,madison county,43.0,1.273325735824678e-05,0.0
01091,AL,marengo county,0,NA,NA
01093,AL,marion county,7.0,-0.0,0.0
01095,AL,marshall county,0,NA,NA
01097,AL,mobile county,21.0,8.056342839587813e-07,0.0
01099,AL,monroe county,0,NA,NA
01101,AL,montgomery county,17.0,7.382623666353159e-06,0.0
01103,AL,morgan county,9.0,NA,NA
