FIPS,State,County,2020-02-15,2020-02-16,2020-02-17,2020-02-18,2020-02-19,2020-02-20,2020-02-21,2020-02-22,2020-02-23,2020-02-24,2020-02-25,2020-02-26,2020-02-27,2020-02-28,2020-02-29,2020-03-01,2020-03-02,2020-03-03,2020-03-04,2020-03-05,2020-03-06,2020-03-07,2020-03-08,2020-03-09,2020-03-10,2020-03-11,2020-03-12,2020-03-13,2020-03-14,2020-03-15,2020-03-16,2020-03-17,2020-03-18,2020-03-19,2020-03-20,2020-03-21,2020-03-22,2020-03-23,2020-03-24,2020-03-25,2020-03-26,2020-03-27,2020-03-28,2020-03-29,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03,2020-04-04,2020-04-05,2020-04-06,2020-04-07,2020-04-08,2020-04-09,2020-04-10,2020-04-11
01001,Alabama,Autauga County,7,1,0,0,0,-3,-2,1,3,-5,0,5,11,10,10,13,4,8,-4,12,10,10,8,11,12,12,26,51,38,22,23,16,22,27,23,11,2,7,3,5,11,13,6,-8,1,-4,17,19,37,20,-8,-1,-2,-3,8,12,16
01003,Alabama,Baldwin County,12,8,9,8,9,5,13,17,20,9,10,19,11,14,17,23,10,14,6,11,10,22,26,14,14,19,28,38,42,49,39,31,31,24,13,2,-6,-9,-9,-8,-10,-9,-14,-19,-18,-19,-4,-10,-6,-10,-27,-23,-19,-13,-11,-13,-10
01005,Alabama,Barbour County,-2,-4,-11,-19,-8,-24,-10,2,-9,-18,-20,-7,-6,-11,-3,-2,-4,1,-25,-16,-5,3,3,-10,-11,-8,-2,5,21,7,15,10,3,-5,5,1,-15,-14,-18,-14,-13,-13,-5,-20,-18,-21,7,-6,0,3,-20,,,,,,
01007,Alabama,Bibb County,10,-2,6,7,-3,-11,8,-2,-2,6,11,3,5,-2,3,6,8,16,-13,3,3,5,2,21,18,6,6,26,29,7,30,21,16,16,26,10,-7,7,5,2,2,-1,7,-10,-13,-20,13,-1,12,17,-15,,,,,,
01009,Alabama,Blount County,1,7,-5,-9,3,0,-2,3,6,-9,-2,2,10,4,15,11,-2,13,1,7,2,8,11,4,2,6,22,28,31,17,21,22,18,17,13,11,-2,-12,-7,-5,2,2,6,-2,-10,-7,9,8,20,18,-17,-5,-13,-5,1,3,18
01011,Alabama,Bullock County,2,-6,-7,-7,0,-2,-9,0,-10,,-11,4,,25,11,-4,2,7,-4,6,-6,0,0,-4,,7,0,25,33,-2,,4,4,2,16,0,-8,-2,-17,-2,-10,9,-6,-12,-11,-15,,-4,20,-8,-27,,,,,
01013,Alabama,Butler County,-15,-10,-2,-11,-13,-8,-8,6,3,-15,2,0,7,6,1,12,3,10,-22,15,-1,0,3,8,-1,-1,14,22,27,23,28,7,17,27,9,2,-3,-7,-6,2,-4,-1,2,-5,-9,-22,7,18,16,3,-9,,,,,,
01015,Alabama,Calhoun County,-2,-2,-4,-8,2,-8,-2,3,1,-7,-1,4,0,5,8,9,-2,15,0,2,3,6,4,6,2,2,20,29,25,15,26,14,11,14,7,-1,-15,-16,-8,-7,-8,-3,-4,-17,-12,-13,7,2,17,13,-22,-11,-14,-12,-7,-3,1
01017,Alabama,Chambers County,0,-3,0,3,0,-2,-7,-2,7,-7,9,7,14,7,10,16,0,12,-2,8,1,1,9,9,11,8,16,28,24,19,22,19,13,27,16,9,-1,-5,8,4,8,4,3,1,-8,-10,8,18,13,11,-12,,,-12,,-4,-3
01019,Alabama,Cherokee County,16,3,-4,-14,1,-3,-3,12,3,-10,5,8,13,5,19,13,-2,13,3,4,1,19,18,10,5,7,25,20,61,20,15,8,14,15,7,19,1,-11,-17,-5,1,-4,28,6,-13,-14,-2,7,14,28,-5,,,,,,
