FIPS,State,County,2020-02-15,2020-02-16,2020-02-17,2020-02-18,2020-02-19,2020-02-20,2020-02-21,2020-02-22,2020-02-23,2020-02-24,2020-02-25,2020-02-26,2020-02-27,2020-02-28,2020-02-29,2020-03-01,2020-03-02,2020-03-03,2020-03-04,2020-03-05,2020-03-06,2020-03-07,2020-03-08,2020-03-09,2020-03-10,2020-03-11,2020-03-12,2020-03-13,2020-03-14,2020-03-15,2020-03-16,2020-03-17,2020-03-18,2020-03-19,2020-03-20,2020-03-21,2020-03-22,2020-03-23,2020-03-24,2020-03-25,2020-03-26,2020-03-27,2020-03-28,2020-03-29,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03,2020-04-04,2020-04-05,2020-04-06,2020-04-07,2020-04-08,2020-04-09,2020-04-10,2020-04-11
01001,Alabama,Autauga County,,,5,0,0,2,0,,,1,-1,-1,-2,-2,,,-1,-1,2,1,-1,,,-2,0,-1,-2,-2,,,3,7,8,11,14,,,12,13,13,14,16,,,13,17,14,16,17,,,15,18,19,17,20,
01003,Alabama,Baldwin County,-2,2,1,0,-1,3,-1,-2,-2,3,3,-1,0,-1,-3,-2,-1,-2,1,0,-1,-2,-1,-1,-1,-2,-2,0,-1,0,2,4,6,8,10,9,8,10,12,11,12,13,9,9,12,15,12,14,15,12,11,14,15,14,15,18,11
01005,Alabama,Barbour County,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01007,Alabama,Bibb County,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01009,Alabama,Blount County,,,4,2,0,3,1,,,3,0,-1,-1,-1,,,2,-1,1,2,0,,,-1,1,1,-1,1,,,5,8,9,10,14,,,16,14,13,13,15,,,12,16,14,15,14,,,15,17,16,16,20,
01011,Alabama,Bullock County,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01013,Alabama,Butler County,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01015,Alabama,Calhoun County,0,0,6,2,0,3,0,0,0,4,0,-1,-1,-1,-3,-2,2,-1,1,2,-1,-2,-1,-1,0,-1,-1,1,-1,3,2,4,5,8,12,7,8,15,12,11,13,13,8,8,13,15,12,15,14,10,11,15,16,16,17,20,9
01017,Alabama,Chambers County,,,4,3,0,3,0,,,2,1,-2,-1,-2,,,0,2,1,2,-1,,,-1,1,0,-1,-2,,,2,5,5,9,12,,,11,12,10,11,13,,,15,,15,,,,,,,,,,
01019,Alabama,Cherokee County,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01021,Alabama,Chilton County,,,2,1,0,3,0,,,2,-2,-2,-1,-1,,,1,1,2,2,-1,,,-3,-1,-1,-3,0,,,2,5,6,8,11,,,12,12,11,12,14,,,10,15,12,13,13,,,12,15,16,14,17,
01023,Alabama,Choctaw County,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01025,Alabama,Clarke County,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01027,Alabama,Clay County,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01029,Alabama,Cleburne County,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01031,Alabama,Coffee County,,,6,0,-1,3,-1,,,0,0,-2,-1,-2,,,-3,-2,3,1,-2,,,-2,0,-2,-1,-2,,,0,3,5,8,9,,,8,9,9,11,11,,,10,13,10,13,13,,,14,17,17,17,18,
01033,Alabama,Colbert County,,,4,2,0,3,0,,,2,-1,-1,-2,-3,,,1,-3,-1,-2,-2,,,-1,0,0,-2,1,,,4,5,6,6,10,,,12,13,11,11,12,,,13,14,11,12,12,,,14,14,13,14,16,
01035,Alabama,Conecuh County,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01037,Alabama,Coosa County,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01039,Alabama,Covington County,,,4,2,1,4,0,,,0,1,-2,0,-2,,,-2,-1,3,2,-1,,,-1,1,-2,-2,-2,,,0,3,3,5,6,,,,8,7,7,,,,,,8,,,,,,,,,,
01041,Alabama,Crenshaw County,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01043,Alabama,Cullman County,0,0,3,2,1,3,1,-1,0,3,-2,0,0,0,-2,-2,3,-3,0,2,-1,-3,-1,0,0,0,-1,0,-1,3,3,4,6,8,13,9,8,14,12,11,12,13,7,8,13,15,12,13,14,9,,14,14,14,14,20,9
01045,Alabama,Dale County,,,5,0,0,3,0,,,1,0,-2,-2,-3,,,-1,-2,4,1,-2,,,-1,-1,-1,-2,-3,,,1,4,5,6,8,,,9,10,11,11,11,,,10,13,11,12,12,,,14,16,16,15,16,
01047,Alabama,Dallas County,,,4,0,0,1,2,,,2,-1,-4,-3,-3,,,-1,-2,2,-1,0,,,-3,-2,-2,-4,0,,,1,3,4,5,,,,,,,,,,,,,,,,,,,,,,,
