FIPS,State,County,2020-02-15,2020-02-16,2020-02-17,2020-02-18,2020-02-19,2020-02-20,2020-02-21,2020-02-22,2020-02-23,2020-02-24,2020-02-25,2020-02-26,2020-02-27,2020-02-28,2020-02-29,2020-03-01,2020-03-02,2020-03-03,2020-03-04,2020-03-05,2020-03-06,2020-03-07,2020-03-08,2020-03-09,2020-03-10,2020-03-11,2020-03-12,2020-03-13,2020-03-14,2020-03-15,2020-03-16,2020-03-17,2020-03-18,2020-03-19,2020-03-20,2020-03-21,2020-03-22,2020-03-23,2020-03-24,2020-03-25,2020-03-26,2020-03-27,2020-03-28,2020-03-29,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03,2020-04-04,2020-04-05,2020-04-06,2020-04-07,2020-04-08,2020-04-09,2020-04-10,2020-04-11
01001,Alabama,Autauga County,5,0,8,-2,-2,-8,-3,1,0,-2,10,17,14,12,21,15,15,22,5,7,4,9,10,15,13,12,14,8,6,-4,3,-6,-6,-13,-24,-30,-38,-22,-20,-20,-22,-27,-29,-42,-25,-27,-16,-24,-24,-39,-53,-30,-35,-31,-29,-30,-37
01003,Alabama,Baldwin County,17,8,9,7,12,5,15,15,17,10,11,20,13,13,18,17,7,13,4,7,8,16,19,10,11,17,15,15,16,16,9,1,-3,-14,-28,-39,-40,-35,-36,-34,-36,-36,-43,-47,-41,-43,-36,-40,-39,-48,-55,-46,-47,-42,-41,-41,-44
01005,Alabama,Barbour County,5,-3,12,4,1,-6,7,-1,3,5,5,18,19,17,12,17,21,29,5,14,17,11,17,20,10,11,17,24,13,17,18,7,8,2,-5,-12,-19,-11,-17,-10,-14,-14,-15,-27,-15,-23,-7,-10,-9,-22,-40,,,,,-18,
01007,Alabama,Bibb County,14,-3,7,-4,-1,-1,-5,6,-5,2,7,15,22,5,23,20,8,18,4,14,5,17,12,23,12,9,16,13,21,3,15,4,2,-1,-10,-10,-36,-16,-12,-9,-5,-9,-10,-25,-14,-19,-8,-8,-10,-12,-42,,,,,,
01009,Alabama,Blount County,7,1,5,-8,2,-6,-4,9,4,1,6,14,15,8,19,15,10,34,7,8,6,19,15,12,10,3,17,6,19,-12,3,-10,-17,-19,-28,-24,-38,-30,-30,-24,-26,-29,-21,-36,-23,-28,-19,-23,-20,-23,-49,,,,,-25,-20
01011,Alabama,Bullock County,,,-40,,,,-5,,,,,,,19,,,,,,,3,,,,,,,3,,,,,,,-15,,,,,,,-37,,,,,,,-22,,,,,,,
01013,Alabama,Butler County,2,2,1,0,2,-6,6,8,15,-7,16,39,28,20,16,38,8,42,19,18,6,20,25,7,12,27,22,12,17,24,4,3,10,-1,-20,-27,-33,-31,-18,-10,-23,-28,-29,-37,-35,-25,-5,-23,-27,-41,-47,,,,,,
01015,Alabama,Calhoun County,7,1,2,-2,0,-7,1,4,3,-8,10,19,16,15,18,27,5,34,8,6,9,15,15,10,10,8,15,6,3,-9,-2,-6,-12,-17,-28,-36,-44,-38,-29,-26,-25,-29,-36,-40,-30,-33,-22,-29,-29,-41,-53,-39,-36,-37,-32,-35,-40
01017,Alabama,Chambers County,2,-4,2,-3,2,0,4,-2,14,-3,20,25,31,19,14,27,17,24,11,16,14,12,17,21,23,16,22,14,11,8,9,-2,-5,-4,-13,-25,-32,-25,-22,-25,-15,-23,-28,-34,-26,-33,-19,-18,-26,-39,-46,-30,-33,-37,-24,-31,-35
01019,Alabama,Cherokee County,4,-2,-8,-12,-2,-10,-1,3,-5,-12,7,12,13,6,16,19,5,35,10,10,8,16,14,13,10,14,16,10,12,-7,4,-7,-15,-13,-21,-22,-27,-33,-32,-23,-21,-24,-18,-24,-21,-28,-18,-16,-10,-23,-41,,,,,,
01021,Alabama,Chilton County,7,-1,-1,2,-1,-3,-1,7,-3,-2,9,17,17,12,21,24,10,32,3,10,5,14,17,13,14,7,15,4,14,3,3,1,-13,-15,-26,-24,-41,-29,-23,-29,-28,-31,-30,-41,-30,-30,-24,-29,-29,-34,-49,-34,-35,-39,-32,-30,-28
01023,Alabama,Choctaw County,,,-44,,,,-8,,,,,,,23,,,,,,,19,,,,,,,17,,,,,,,-8,,,,,,,-13,,,-17,-33,,,-13,,,,,,,
01025,Alabama,Clarke County,7,-7,-3,-2,-1,-9,0,1,1,4,7,22,17,17,20,25,24,31,12,21,12,14,8,17,12,19,16,14,21,14,15,5,0,-8,-12,-18,-28,-6,-18,-13,-20,-17,-17,-27,-16,-21,0,-19,-15,-26,-40,,,,,-22,
