FIPS,State,County,2020-02-15,2020-02-16,2020-02-17,2020-02-18,2020-02-19,2020-02-20,2020-02-21,2020-02-22,2020-02-23,2020-02-24,2020-02-25,2020-02-26,2020-02-27,2020-02-28,2020-02-29,2020-03-01,2020-03-02,2020-03-03,2020-03-04,2020-03-05,2020-03-06,2020-03-07,2020-03-08,2020-03-09,2020-03-10,2020-03-11,2020-03-12,2020-03-13,2020-03-14,2020-03-15,2020-03-16,2020-03-17,2020-03-18,2020-03-19,2020-03-20,2020-03-21,2020-03-22,2020-03-23,2020-03-24,2020-03-25,2020-03-26,2020-03-27,2020-03-28,2020-03-29,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03,2020-04-04,2020-04-05,2020-04-06,2020-04-07,2020-04-08,2020-04-09,2020-04-10,2020-04-11
01001,Alabama,Autauga County,-4,-4,-27,2,2,1,3,8,5,2,3,4,2,2,5,3,5,4,3,3,4,10,9,4,-2,4,2,3,3,-6,-13,-18,-23,-26,-29,-18,-32,-34,-34,-37,-36,-36,-19,-35,-36,-39,-39,-38,-39,-25,-38,-40,-42,-43,-43,-49,-30
01003,Alabama,Baldwin County,6,-3,-3,2,3,0,1,4,4,-15,-23,2,1,2,9,8,4,4,3,3,4,12,8,5,4,6,3,-3,10,6,-2,-7,-15,-18,-24,-15,-25,-27,-29,-30,-32,-33,-23,-32,-33,-35,-34,-35,-36,-27,-35,-37,-37,-38,-40,-45,-28
01005,Alabama,Barbour County,-5,-8,-14,1,0,2,1,-4,5,6,2,4,7,-2,0,-2,10,1,-9,1,5,4,5,8,4,3,4,4,-8,-2,3,-8,-6,-12,-15,-9,-21,-17,-21,-21,-23,-25,-24,-23,-19,-24,-25,-23,-29,-29,-30,-26,-26,-30,-29,-37,-31
01007,Alabama,Bibb County,3,-3,-13,1,0,1,4,19,-2,2,4,6,6,5,6,3,2,3,-1,2,3,11,2,6,4,2,9,11,16,-3,-8,-9,-12,-17,-18,-10,-32,-31,-30,-31,-30,-34,-16,-32,-30,-33,-31,-34,-31,-21,-35,-32,-33,-36,-36,-42,-19
01009,Alabama,Blount County,8,0,-13,1,1,-1,0,6,1,1,1,0,2,3,8,1,3,1,1,1,1,7,-2,4,0,2,2,1,10,-11,-6,-17,-21,-26,-29,-18,-29,-31,-32,-34,-34,-34,-18,-29,-31,-37,-37,-36,-36,-22,-33,-37,-39,-40,-38,-45,-24
01011,Alabama,Bullock County,,,-24,2,-1,-4,0,,,-3,2,-1,0,-5,,,-1,-2,-12,-1,2,,,-4,2,-3,-4,-3,,,-13,-11,-21,-21,-25,,,-22,-20,-25,-22,-24,,,-28,-24,-24,-27,-29,,,-31,-30,-34,-31,-33
01013,Alabama,Butler County,0,-8,-16,-2,-1,-1,-2,15,-2,-4,-2,0,0,-1,0,-4,-1,-1,-3,0,-2,20,14,-1,1,-1,1,0,3,0,-7,-7,-6,-19,-28,-20,-26,-24,-28,-27,-30,-31,-18,-30,-36,-37,-35,-36,-35,-28,-30,-41,-42,-40,-40,-50,-33
01015,Alabama,Calhoun County,2,2,-21,0,2,0,3,6,3,0,3,1,1,0,5,3,0,1,-1,0,2,4,3,-1,1,0,1,-3,1,-3,-4,-10,-16,-20,-24,-16,-28,-32,-31,-33,-33,-36,-22,-33,-34,-36,-37,-37,-37,-26,-36,-41,-42,-44,-43,-52,-29
01017,Alabama,Chambers County,2,-3,-12,1,3,4,5,7,-2,2,5,3,3,3,5,3,3,3,1,2,3,12,6,0,2,-2,2,1,6,3,-5,-9,-17,-28,-34,-17,-26,-26,-24,-26,-24,-26,-18,-28,-45,-47,-47,-47,-48,-32,-36,-49,-50,-53,-51,-56,-32
01019,Alabama,Cherokee County,0,3,-9,-3,1,-3,-1,2,1,0,-1,-2,1,-1,1,6,2,0,-2,-2,1,7,4,3,-1,-2,1,-1,6,0,-6,-14,-18,-19,-21,-16,-26,-29,-31,-33,-29,-30,-16,-29,-31,-36,-34,-33,-32,-22,-31,-30,-33,-35,-33,-40,-18
01021,Alabama,Chilton County,3,-1,-14,3,4,2,5,9,5,3,6,5,5,2,10,3,4,4,2,3,6,14,9,4,7,4,5,4,9,2,-8,-13,-20,-18,-23,1,-23,-30,-30,-33,-31,-35,-12,-26,-32,-36,-34,-34,-35,-14,-32,-37,-38,-40,-36,-44,-25
01023,Alabama,Choctaw County,,,-13,6,2,0,-2,,,5,5,6,10,3,,,7,5,0,8,7,,,8,10,2,6,2,,,0,-5,-9,-15,-16,,,-18,-22,-23,-26,-28,,,-26,-22,-26,-27,-38,,,-30,-29,-28,-32,-43
01025,Alabama,Clarke County,0,-2,-14,4,2,-2,2,4,-6,1,0,1,1,-1,6,0,2,2,-1,2,3,13,10,-3,2,-3,0,0,4,2,-5,-11,-15,-19,-19,-4,-25,-21,-24,-26,-26,-26,-11,-27,-20,-23,-29,-25,-27,-9,-27,-26,-27,-32,-29,-37,-9
01027,Alabama,Clay County,,,-19,-13,0,-6,6,,,7,3,4,2,3,,,4,9,8,3,6,,,3,-2,6,0,7,,,-3,-10,-9,-13,-15,,,-16,-16,-19,-23,-20,,,-19,-22,-22,-23,-26,,,-27,-25,-32,-33,-41
01029,Alabama,Cleburne County,,,-9,2,6,-1,2,,,6,1,6,6,0,,,5,1,2,3,2,,,-3,2,4,5,-2,,,7,-8,-11,-14,-19,-7,,-17,-22,-22,-25,-33,-9,,-24,-30,-29,-32,-33,-16,,-31,-39,-36,-36,-41,-14
01031,Alabama,Coffee County,2,-5,-35,3,4,-1,2,7,-1,1,4,2,3,3,5,5,3,4,-1,2,4,5,4,1,-2,2,4,2,7,2,-3,-6,-13,-19,-22,-13,-23,-24,-23,-26,-26,-28,-17,-26,-31,-32,-33,-33,-35,-24,-33,-41,-41,-42,-42,-45,-27
01033,Alabama,Colbert County,2,1,-12,0,0,-1,0,6,4,0,2,1,2,0,4,6,2,2,2,2,3,6,5,3,1,3,3,0,7,0,-5,-10,-14,-14,-19,-9,-20,-26,-29,-29,-29,-31,-15,-22,-32,-34,-33,-33,-35,-21,-29,-34,-36,-35,-37,-43,-21
01035,Alabama,Conecuh County,,,-5,9,11,6,3,,,11,3,11,9,3,,,14,3,8,10,2,,,9,0,6,6,8,,,6,-9,-6,-13,-20,,,-9,-24,-15,-15,-21,,,-18,-20,-15,-24,-26,,,-23,-31,-30,-32,-36,
01037,Alabama,Coosa County,-12,0,3,4,5,0,7,-1,6,4,1,5,0,2,-4,6,4,-6,4,1,0,-2,-10,-7,-15,-23,-18,-23,-20,-28,-28,-29,-31,-22,-31,-37,-31,-39,-29,-44
01039,Alabama,Covington County,0,-3,-15,-1,2,-2,5,4,2,7,0,3,1,1,5,6,5,-1,-2,2,3,9,5,5,-1,3,3,-1,7,-4,2,-7,-9,-15,-15,-5,-14,-18,-24,-25,-24,-22,-15,-23,-21,-26,-24,-28,-28,-21,-33,-30,-35,-37,-33,-40,-20
01041,Alabama,Crenshaw County,,,-26,-2,0,0,-5,,,0,1,0,1,-2,,,0,-3,-2,1,-1,,,1,-4,0,-5,-8,,,-6,-12,-15,-22,-29,-28,,-34,-36,-37,-35,-44,-35,,-41,-42,-38,-40,-42,-28,,-41,-40,-45,-42,-49,-33
01043,Alabama,Cullman County,0,0,-8,2,-4,-1,0,3,2,0,2,2,3,2,4,0,0,2,1,1,3,5,2,1,0,2,3,1,1,-4,-4,-12,-14,-16,-21,-14,-26,-27,-27,-29,-27,-29,-18,-29,-31,-35,-33,-32,-34,-24,-34,-34,-35,-36,-34,-46,-28
01045,Alabama,Dale County,0,-5,-32,1,2,-2,0,5,1,1,3,6,3,3,4,4,5,2,-2,-1,0,5,1,2,2,2,1,1,11,-1,-3,-10,-13,-16,-21,-9,-24,-24,-25,-27,-29,-29,-15,-25,-28,-30,-27,-30,-30,-20,-31,-36,-39,-38,-38,-42,-23
01047,Alabama,Dallas County,2,-4,-15,0,2,2,4,5,1,1,3,3,3,0,5,3,2,-1,-2,3,1,15,5,2,0,-2,0,-1,0,-6,-6,-16,-17,-17,-22,-5,-23,-26,-29,-28,-29,-31,-7,-22,-28,-32,-30,-29,-30,-15,-35,-31,-35,-36,-31,-40,-22
01049,Alabama,DeKalb County,5,-6,-15,1,2,-1,0,4,7,0,3,3,2,0,7,4,2,3,4,2,4,10,8,-4,1,5,3,1,13,-2,-4,-9,-12,-16,-22,-9,-18,-26,-27,-25,-25,-29,-11,-23,-26,-28,-28,-29,-32,-19,-23,-31,-32,-34,-34,-43,-16
01051,Alabama,Elmore County,-2,-4,-25,1,1,-1,1,9,1,1,2,2,2,1,4,1,2,1,0,0,1,7,3,3,2,2,1,2,2,-4,-9,-17,-25,-27,-29,-19,-34,-33,-35,-38,-36,-37,-22,-37,-37,-39,-37,-39,-38,-31,-40,-41,-43,-43,-43,-50,-33
01053,Alabama,Escambia County,-1,-2,-5,6,4,1,2,4,2,4,-2,3,0,4,1,5,5,3,-3,2,1,-2,3,3,2,1,3,1,7,3,-6,-13,-17,-17,-21,-13,-24,-23,-26,-27,-27,-28,-20,-27,-28,-30,-30,-29,-31,-27,-31,-33,-34,-37,-36,-43,-28
