FIPS,STATE,AREA_NAME,infected,deaths
1001,AL,autauga county,0,0
1003,AL,baldwin county,4,0
1005,AL,barbour county,0,0
1007,AL,bibb county,0,0
1009,AL,blount county,0,0
1011,AL,bullock county,0,0
1013,AL,butler county,0,0
1015,AL,calhoun county,2,0
1017,AL,chambers county,9,0
1019,AL,cherokee county,0,0
1021,AL,chilton county,0,0
1023,AL,choctaw county,0,0
1025,AL,clarke county,0,0
1027,AL,clay county,0,0
1029,AL,cleburne county,0,0
1031,AL,coffee county,0,0
1033,AL,colbert county,0,0
1035,AL,conecuh county,0,0
1037,AL,coosa county,0,0
1039,AL,covington county,0,0
1041,AL,crenshaw county,0,0
1043,AL,cullman county,6,0
1045,AL,dale county,0,0
1047,AL,dallas county,0,0
1049,AL,dekalb county,0,0
1051,AL,elmore county,10,0
1053,AL,escambia county,0,0
1055,AL,etowah county,0,0
1057,AL,fayette county,0,0
1059,AL,franklin county,2,0
1061,AL,geneva county,0,0
1063,AL,greene county,0,0
1065,AL,hale county,0,0
1067,AL,henry county,0,0
1069,AL,houston county,2,0
1071,AL,jackson county,2,2
1073,AL,jefferson county,140,0
1075,AL,lamar county,1,0
1077,AL,lauderdale county,7,1
1079,AL,lawrence county,0,0
1081,AL,lee county,44,0
1083,AL,limestone county,10,0
1085,AL,lowndes county,0,0
1087,AL,macon county,0,0
1089,AL,madison county,37,1
1091,AL,marengo county,0,0
1093,AL,marion county,5,0
1095,AL,marshall county,0,0
1097,AL,mobile county,13,0
1099,AL,monroe county,0,0
1101,AL,montgomery county,16,0
1103,AL,morgan county,7,0
1105,AL,perry county,0,0
1107,AL,pickens county,0,0
1109,AL,pike county,0,0
1111,AL,randolph county,0,0
1113,AL,russell county,0,0
1115,AL,st. clair county,6,0
1117,AL,shelby county,49,0
1119,AL,sumter county,0,0
1121,AL,talladega county,3,0
1123,AL,tallapoosa county,4,0
1125,AL,tuscaloosa county,17,0
1127,AL,walker county,17,0
1129,AL,washington county,1,0
1131,AL,wilcox county,0,0
1133,AL,winston county,0,0
2013,AK,aleutians east borough,0,0
2016,AK,aleutians west census area,0,0
2068,AK,denali borough,0,0
2105,AK,hoonah-angoon census area,0,0
2122,AK,kenai peninsula borough,4,0
2158,AK,kusilvak census area,0,0
2164,AK,lake and peninsula borough,0,0
2185,AK,north slope borough,0,0
2188,AK,northwest arctic borough,0,0
2195,AK,petersburg borough,0,0
2198,AK,prince of wales-hyder census area,0,0
2261,AK,valdez-cordova census area,0,0
2275,AK,wrangell city and borough,0,0
2282,AK,yakutat city and borough,0,0
4001,AZ,apache county,9,0
4003,AZ,cochise county,2,0
4005,AZ,coconino county,28,4
4007,AZ,gila county,0,0
4009,AZ,graham county,2,0
4011,AZ,greenlee county,0,0
4012,AZ,la paz county,0,0
4013,AZ,maricopa county,299,14
4015,AZ,mohave county,0,0
4017,AZ,navajo county,43,0
4019,AZ,pima county,75,0
4021,AZ,pinal county,35,0
4023,AZ,santa cruz county,2,0
4025,AZ,yavapai county,5,0
4027,AZ,yuma county,4,0
5001,AR,arkansas county,0,0
5003,AR,ashley county,0,0
5005,AR,baxter county,0,0
5007,AR,benton county,18,0
5009,AR,boone county,1,0
5011,AR,bradley county,4,0
5013,AR,calhoun county,0,0
5015,AR,carroll county,0,0
5017,AR,chicot county,0,0
5019,AR,clark county,15,0
5021,AR,clay county,0,0
5023,AR,cleburne county,47,4
5025,AR,cleveland county,3,0
5027,AR,columbia county,1,0
5029,AR,conway county,1,0
5031,AR,craighead county,4,0
5033,AR,crawford county,1,0
5035,AR,crittenden county,7,0
5037,AR,cross county,1,0
5039,AR,dallas county,0,0
5041,AR,desha county,2,0
5043,AR,drew county,0,0
5045,AR,faulkner county,24,0
5047,AR,franklin county,0,0
5049,AR,fulton county,0,0
5051,AR,garland county,18,0
5053,AR,grant county,3,0
5055,AR,greene county,1,0
5057,AR,hempstead county,0,0
5059,AR,hot spring county,0,0
5061,AR,howard county,0,0
5063,AR,independence county,3,0
5065,AR,izard county,0,0
5067,AR,jackson county,0,0
5069,AR,jefferson county,23,0
5071,AR,johnson county,0,0
5073,AR,lafayette county,0,0
5075,AR,lawrence county,1,0
5077,AR,lee county,0,0
5079,AR,lincoln county,5,0
5081,AR,little river county,0,0
5083,AR,logan county,0,0
5085,AR,lonoke county,0,0
5087,AR,madison county,0,0
5089,AR,marion county,0,0
5091,AR,miller county,0,0
5093,AR,mississippi county,0,0
5095,AR,monroe county,0,0
5097,AR,montgomery county,0,0
5099,AR,nevada county,0,0
5101,AR,newton county,0,0
5103,AR,ouachita county,0,0
5105,AR,perry county,0,0
5107,AR,phillips county,0,0
5109,AR,pike county,0,0
5111,AR,poinsett county,3,0
5113,AR,polk county,1,0
5115,AR,pope county,1,0
5117,AR,prairie county,0,0
5119,AR,pulaski county,83,3
5121,AR,randolph county,0,0
5123,AR,st. francis county,0,0
5125,AR,saline county,4,0
5127,AR,scott county,0,0
5129,AR,searcy county,2,0
5131,AR,sebastian county,2,0
5133,AR,sevier county,1,0
5135,AR,sharp county,0,0
5137,AR,stone county,1,0
5139,AR,union county,1,0
5141,AR,van buren county,11,0
5143,AR,washington county,10,0
5145,AR,white county,1,0
5147,AR,woodruff county,1,0
5149,AR,yell county,0,0
6001,CA,alameda county,135,9
6003,CA,alpine county,0,0
6005,CA,amador county,2,0
6007,CA,butte county,4,0
6009,CA,calaveras county,2,0
6011,CA,colusa county,0,0
6013,CA,contra costa county,108,7
6015,CA,del norte county,0,0
6017,CA,el dorado county,3,0
6019,CA,fresno county,19,0
6021,CA,glenn county,0,0
6023,CA,humboldt county,10,0
6025,CA,imperial county,9,0
6027,CA,inyo county,0,0
6029,CA,kern county,24,0
6031,CA,kings county,0,0
6033,CA,lake county,0,0
6035,CA,lassen county,0,0
6037,CA,los angeles county,812,73
6039,CA,madera county,7,0
6041,CA,marin county,60,0
6043,CA,mariposa county,0,0
6045,CA,mendocino county,2,0
6047,CA,merced county,2,0
6049,CA,modoc county,0,0
6051,CA,mono county,4,0
6053,CA,monterey county,24,6
6055,CA,napa county,6,0
6057,CA,nevada county,7,0
6059,CA,orange county,187,2
6061,CA,placer county,30,23
6063,CA,plumas county,0,0
6065,CA,riverside county,105,54
6067,CA,sacramento county,113,42
6069,CA,san benito county,9,10
6071,CA,san bernardino county,54,6
6073,CA,san diego county,293,6
6075,CA,san francisco county,223,3
6077,CA,san joaquin county,71,20
6079,CA,san luis obispo county,46,0
6081,CA,san mateo county,195,20
6083,CA,santa barbara county,26,0
6085,CA,santa clara county,459,124
6087,CA,santa cruz county,25,0
6089,CA,shasta county,3,2
6091,CA,sierra county,0,0
6093,CA,siskiyou county,3,0
6095,CA,solano county,31,0
6097,CA,sonoma county,37,7
6099,CA,stanislaus county,12,0
6101,CA,sutter county,0,0
6103,CA,tehama county,0,0
6105,CA,trinity county,0,0
6107,CA,tulare county,18,0
6109,CA,tuolumne county,0,0
6111,CA,ventura county,50,5
6113,CA,yolo county,11,5
6115,CA,yuba county,3,0
8001,CO,adams county,38,0
8003,CO,alamosa county,0,0
8005,CO,arapahoe county,88,1
8007,CO,archuleta county,0,0
8009,CO,baca county,0,0
8011,CO,bent county,0,0
8013,CO,boulder county,51,0
8014,CO,broomfield county,8,0
8015,CO,chaffee county,3,1
8017,CO,cheyenne county,0,0
8019,CO,clear creek county,3,0
8021,CO,conejos county,0,0
8023,CO,costilla county,0,0
8025,CO,crowley county,1,8
8027,CO,custer county,0,0
8029,CO,delta county,0,0
8031,CO,denver county,214,6
8033,CO,dolores county,0,0
8035,CO,douglas county,58,0
8037,CO,eagle county,120,6
8039,CO,elbert county,3,0
8041,CO,el paso county,122,45
8043,CO,fremont county,0,0
8045,CO,garfield county,13,0
8047,CO,gilpin county,0,0
8049,CO,grand county,2,0
8051,CO,gunnison county,52,4
8053,CO,hinsdale county,1,0
8055,CO,huerfano county,0,0
8057,CO,jackson county,0,0
8059,CO,jefferson county,93,5
8061,CO,kiowa county,0,0
8063,CO,kit carson county,0,0
8065,CO,lake county,0,0
8067,CO,la plata county,0,0
8069,CO,larimer county,45,2
8071,CO,las animas county,0,0
8073,CO,lincoln county,0,0
8075,CO,logan county,2,0
