FIPS,Admin2,Province_State,Country_Region,21/03/2020 16:47,22/03/2020 18:57,23/03/2020 16:47,24/03/2020 17:10,25/03/2020 17:08,2020-03-26 20:24:50,2020-03-27 21:06:19,2020-03-28 20:48:56
1001.0,Autauga,Alabama,US,0.0,0.0,0.0,0.0,1.0,5.0,6.0,4
1003.0,Baldwin,Alabama,US,2.0,2.0,2.0,3.0,4.0,4.0,5.0,9
1005.0,Barbour,Alabama,US,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
1007.0,Bibb,Alabama,US,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76
1009.0,Blount,Alabama,US,0.0,0.0,0.0,0.0,0.0,2.0,3.0,1
1011.0,Bullock,Alabama,US,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0
1013.0,Butler,Alabama,US,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1
1015.0,Calhoun,Alabama,US,1.0,1.0,1.0,2.0,2.0,2.0,2.0,3
1017.0,Chambers,Alabama,US,1.0,1.0,2.0,3.0,7.0,9.0,13.0,71
1019.0,Cherokee,Alabama,US,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0
1021.0,Chilton,Alabama,US,0.0,0.0,0.0,0.0,0.0,4.0,4.0,1
1023.0,Choctaw,Alabama,US,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1
1025.0,Clarke,Alabama,US,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1027.0,Clay,Alabama,US,0.0,0.0,0.0,0.0,0.0,1.0,1.0,6
1029.0,Cleburne,Alabama,US,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2
1031.0,Coffee,Alabama,US,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0
1033.0,Colbert,Alabama,US,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0
1035.0,Conecuh,Alabama,US,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8
1037.0,Coosa,Alabama,US,0.0,0.0,0.0,0.0,0.0,1.0,2.0,5
1039.0,Covington,Alabama,US,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1041.0,Crenshaw,Alabama,US,0.0,0.0,0.0,0.0,0.0,0.0,1.0,15
1043.0,Cullman,Alabama,US,2.0,2.0,2.0,2.0,3.0,6.0,6.0,6
1045.0,Dale,Alabama,US,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1047.0,Dallas,Alabama,US,0.0,0.0,0.0,0.0,0.0,2.0,2.0,67
1049.0,DeKalb,Alabama,US,0.0,0.0,0.0,0.0,0.0,1.0,1.0,5
1051.0,Elmore,Alabama,US,6.0,6.0,6.0,8.0,9.0,10.0,10.0,220
1053.0,Escambia,Alabama,US,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
1055.0,Etowah,Alabama,US,0.0,0.0,0.0,0.0,0.0,3.0,4.0,187
1057.0,Fayette,Alabama,US,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
1059.0,Franklin,Alabama,US,0.0,0.0,0.0,1.0,1.0,2.0,3.0,16
1061.0,Geneva,Alabama,US,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1063.0,Greene,Alabama,US,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
1065.0,Hale,Alabama,US,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1067.0,Henry,Alabama,US,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1069.0,Houston,Alabama,US,0.0,0.0,0.0,1.0,1.0,2.0,3.0,0
1071.0,Jackson,Alabama,US,1.0,1.0,1.0,1.0,2.0,2.0,4.0,0
1073.0,Jefferson,Alabama,US,60.0,61.0,71.0,90.0,99.0,140.0,173.0,20
1075.0,Lamar,Alabama,US,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0
1077.0,Lauderdale,Alabama,US,1.0,2.0,2.0,3.0,6.0,7.0,9.0,0
1079.0,Lawrence,Alabama,US,0.0,0.0,0.0,0.0,0.0,1.0,3.0,7
1081.0,Lee,Alabama,US,12.0,12.0,16.0,21.0,29.0,44.0,47.0,2
1083.0,Limestone,Alabama,US,1.0,1.0,1.0,2.0,6.0,10.0,13.0,0
1085.0,Lowndes,Alabama,US,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2
