FIPS,STATE,AREA_NAME,stay at home,>50 gatherings,>500 gatherings,public schools,restaurant dine-in,entertainment/gym,federal guidelines
00000,US,united states,NA,NA,NA,NA,NA,NA,NA
01000,AL,alabama,20,13,16,19,NA,16,11
01001,AL,autauga county,20,13,16,19,NA,16,11
01003,AL,baldwin county,20,13,16,19,NA,16,11
01005,AL,barbour county,20,13,16,19,NA,16,11
01007,AL,bibb county,20,13,16,19,NA,16,11
01009,AL,blount county,20,13,16,19,NA,16,11
01011,AL,bullock county,20,13,16,19,NA,16,11
01013,AL,butler county,20,13,16,19,NA,16,11
01015,AL,calhoun county,20,13,16,19,NA,16,11
01017,AL,chambers county,20,13,16,19,NA,16,11
01019,AL,cherokee county,20,13,16,19,NA,16,11
01021,AL,chilton county,20,13,16,19,NA,16,11
01023,AL,choctaw county,20,13,16,19,NA,16,11
01025,AL,clarke county,20,13,16,19,NA,16,11
01027,AL,clay county,20,13,16,19,NA,16,11
01029,AL,cleburne county,20,13,16,19,NA,16,11
01031,AL,coffee county,20,13,16,19,NA,16,11
01033,AL,colbert county,20,13,16,19,NA,16,11
01035,AL,conecuh county,20,13,16,19,NA,16,11
01037,AL,coosa county,20,13,16,19,NA,16,11
01039,AL,covington county,20,13,16,19,NA,16,11
01041,AL,crenshaw county,20,13,16,19,NA,16,11
01043,AL,cullman county,20,13,16,19,NA,16,11
01045,AL,dale county,20,13,16,19,NA,16,11
01047,AL,dallas county,20,13,16,19,NA,16,11
01049,AL,dekalb county,20,13,16,19,NA,16,11
01051,AL,elmore county,20,13,16,19,NA,16,11
01053,AL,escambia county,20,13,16,19,NA,16,11
01055,AL,etowah county,20,13,16,19,NA,16,11
01057,AL,fayette county,20,13,16,19,NA,16,11
01059,AL,franklin county,20,13,16,19,NA,16,11
01061,AL,geneva county,20,13,16,19,NA,16,11
01063,AL,greene county,20,13,16,19,NA,16,11
01065,AL,hale county,20,13,16,19,NA,16,11
01067,AL,henry county,20,13,16,19,NA,16,11
01069,AL,houston county,20,13,16,19,NA,16,11
01071,AL,jackson county,20,13,16,19,NA,16,11
01073,AL,jefferson county,20,13,16,19,NA,16,11
01075,AL,lamar county,20,13,16,19,NA,16,11
01077,AL,lauderdale county,20,13,16,19,NA,16,11
01079,AL,lawrence county,20,13,16,19,NA,16,11
01081,AL,lee county,20,13,16,19,NA,16,11
01083,AL,limestone county,20,13,16,19,NA,16,11
01085,AL,lowndes county,20,13,16,19,NA,16,11
01087,AL,macon county,20,13,16,19,NA,16,11
01089,AL,madison county,20,13,16,19,NA,16,11
01091,AL,marengo county,20,13,16,19,NA,16,11
01093,AL,marion county,20,13,16,19,NA,16,11
01095,AL,marshall county,20,13,16,19,NA,16,11
01097,AL,mobile county,20,13,16,19,NA,16,11
01099,AL,monroe county,20,13,16,19,NA,16,11
01101,AL,montgomery county,20,13,16,19,NA,16,11
01103,AL,morgan county,20,13,16,19,NA,16,11
01105,AL,perry county,20,13,16,19,NA,16,11
01107,AL,pickens county,20,13,16,19,NA,16,11
01109,AL,pike county,20,13,16,19,NA,16,11
01111,AL,randolph county,20,13,16,19,NA,16,11
01113,AL,russell county,20,13,16,19,NA,16,11
01115,AL,st. clair county,20,13,16,19,NA,16,11
01117,AL,shelby county,20,13,16,19,NA,16,11
01119,AL,sumter county,20,13,16,19,NA,16,11
01121,AL,talladega county,20,13,16,19,NA,16,11
01123,AL,tallapoosa county,20,13,16,19,NA,16,11
01125,AL,tuscaloosa county,20,13,16,19,NA,16,11
01127,AL,walker county,20,13,16,19,NA,16,11
