FIPS,3 / 1 / 2020,3 / 2 / 2020,3 / 3 / 2020,3 / 4 / 2020,3 / 5 / 2020,3 / 6 / 2020,3 / 7 / 2020,3 / 8 / 2020,3 / 9 / 2020,3 / 10 / 2020,3 / 11 / 2020,3 / 12 / 2020,3 / 13 / 2020,3 / 14 / 2020,3 / 15 / 2020,3 / 16 / 2020,3 / 17 / 2020,3 / 18 / 2020,3 / 19 / 2020,3 / 20 / 2020,3 / 21 / 2020
01001,3113.0,3874.0,4057.0,3449.0,3868.0,4231.0,3706.0,2733.0,4012.0,3575.0,4090.0,4151.0,4787.0,3673.0,2523.0,2705.0,2645.0,2585.0,2552.0,2020.0,1319.0
01003,40296.0,40093.0,41526.0,36614.0,41624.0,54166.0,61910.0,48273.0,48748.0,49493.0,49197.0,53184.0,65732.0,67158.0,53406.0,55473.0,52864.0,47219.0,39277.0,25036.0,14461.0
01005,2106.0,2606.0,2778.0,2332.0,2900.0,3420.0,2863.0,2020.0,2438.0,2581.0,2468.0,2711.0,3610.0,2748.0,2172.0,2481.0,2382.0,2387.0,2209.0,1940.0,1212.0
01007,1721.0,2168.0,2347.0,1916.0,2204.0,2340.0,1729.0,1588.0,2185.0,2032.0,2078.0,2576.0,2870.0,2200.0,1564.0,1747.0,1781.0,1679.0,1695.0,1406.0,791.0
01009,4192.0,4796.0,5664.0,4862.0,4995.0,6008.0,4758.0,3740.0,4981.0,4883.0,4862.0,5180.0,6105.0,5087.0,2945.0,3561.0,3310.0,2975.0,2864.0,2339.0,1470.0
01011,384.0,513.0,602.0,527.0,562.0,623.0,487.0,452.0,517.0,477.0,576.0,601.0,702.0,629.0,508.0,462.0,414.0,413.0,424.0,408.0,278.0
01013,2243.0,2442.0,2573.0,1992.0,2547.0,3060.0,2480.0,2103.0,2417.0,2436.0,2383.0,2803.0,3590.0,2916.0,2519.0,2350.0,2213.0,2236.0,2082.0,1590.0,945.0
01015,19180.0,17834.0,19117.0,17361.0,19108.0,25637.0,26219.0,17804.0,18921.0,17554.0,18130.0,21398.0,24269.0,21948.0,13609.0,15461.0,13633.0,12982.0,12797.0,9463.0,6233.0
01017,4076.0,4241.0,4464.0,4137.0,4214.0,5204.0,4016.0,3556.0,4473.0,4418.0,4386.0,4723.0,5714.0,4111.0,3605.0,3581.0,3230.0,3263.0,3170.0,2569.0,1750.0
01019,2331.0,2836.0,3375.0,2748.0,3200.0,3593.0,2924.0,2319.0,3310.0,2887.0,2906.0,3267.0,3964.0,2875.0,1843.0,2529.0,2230.0,2206.0,2266.0,1770.0,967.0
01021,4795.0,5347.0,6022.0,5034.0,5395.0,6948.0,5167.0,4375.0,5481.0,5571.0,5351.0,6269.0,7356.0,6249.0,4295.0,4613.0,4314.0,4110.0,4058.0,3297.0,1985.0
01023,814.0,1070.0,1245.0,1072.0,1200.0,1428.0,1374.0,889.0,1096.0,1312.0,1139.0,1185.0,1472.0,983.0,872.0,1159.0,1072.0,1070.0,867.0,661.0,342.0
01025,2936.0,3796.0,4123.0,3327.0,3795.0,4525.0,3143.0,2401.0,3812.0,3903.0,3659.0,4153.0,5129.0,3546.0,2525.0,3308.0,3092.0,2964.0,2697.0,2214.0,1191.0
01027,727.0,1014.0,1161.0,979.0,1033.0,1045.0,878.0,650.0,1097.0,1042.0,1067.0,1211.0,1240.0,851.0,699.0,898.0,769.0,712.0,843.0,557.0,335.0
01029,1021.0,1170.0,1319.0,1268.0,1247.0,1344.0,1016.0,999.0,1147.0,1277.0,1265.0,1387.0,1629.0,1272.0,853.0,1126.0,867.0,886.0,850.0,661.0,426.0
01031,6884.0,9223.0,10526.0,8573.0,9333.0,10976.0,9686.0,6450.0,8863.0,8603.0,9221.0,9647.0,11537.0,8765.0,6065.0,8101.0,7301.0,7056.0,6463.0,4804.0,2770.0
01033,8683.0,10678.0,11563.0,10714.0,11570.0,11969.0,10398.0,7882.0,10577.0,10840.0,10458.0,11045.0,12720.0,9280.0,6468.0,9115.0,7844.0,7751.0,7249.0,5699.0,3424.0
01035,761.0,757.0,861.0,699.0,877.0,987.0,932.0,630.0,792.0,922.0,846.0,945.0,1356.0,861.0,757.0,870.0,774.0,721.0,714.0,575.0,337.0
01037,180.0,219.0,237.0,194.0,231.0,244.0,237.0,170.0,252.0,208.0,249.0,290.0,322.0,247.0,187.0,202.0,238.0,212.0,234.0,154.0,117.0
01039,4559.0,6125.0,6197.0,5313.0,5801.0,6741.0,5152.0,4134.0,5509.0,5416.0,5757.0,6072.0,7488.0,5488.0,4047.0,5624.0,5312.0,5191.0,4776.0,3628.0,1928.0
01041,1121.0,1473.0,1532.0,1274.0,1449.0,1626.0,1157.0,1068.0,1305.0,1610.0,1383.0,1478.0,1689.0,1350.0,1072.0,1219.0,1204.0,1048.0,917.0,759.0,469.0
01043,10912.0,12080.0,13765.0,12272.0,13072.0,16485.0,16741.0,10107.0,12586.0,12842.0,12233.0,13882.0,17787.0,17150.0,8594.0,11657.0,9961.0,9305.0,8887.0,6906.0,4190.0
01045,3463.0,5267.0,5512.0,4082.0,4843.0,5582.0,4302.0,3269.0,4600.0,4922.0,4823.0,5376.0,6410.0,4096.0,3274.0,4457.0,4087.0,3986.0,3692.0,2954.0,1667.0
01047,3624.0,2550.0,2616.0,2353.0,2467.0,2937.0,2306.0,1934.0,2746.0,2331.0,2586.0,2726.0,3241.0,2149.0,1659.0,2189.0,1978.0,2075.0,2011.0,1564.0,939.0
01049,4889.0,5958.0,6779.0,6294.0,6778.0,7788.0,5823.0,4837.0,5835.0,5944.0,6224.0,6676.0,7792.0,5230.0,4066.0,5288.0,4620.0,4287.0,4410.0,3332.0,1907.0
01051,9537.0,10241.0,10304.0,9406.0,10416.0,13423.0,12362.0,9188.0,10383.0,10382.0,10133.0,12017.0,14203.0,10784.0,7965.0,8420.0,8123.0,7634.0,7517.0,6267.0,3806.0
01053,4094.0,5001.0,5206.0,4540.0,5065.0,5975.0,5296.0,3868.0,4818.0,4628.0,5239.0,5385.0,6420.0,4878.0,3629.0,4141.0,3856.0,3697.0,3618.0,3003.0,1728.0
01055,13893.0,13121.0,15248.0,13336.0,14106.0,18654.0,18107.0,12862.0,14151.0,13486.0,14322.0,15131.0,18291.0,16523.0,9864.0,11602.0,10295.0,9764.0,9772.0,7463.0,4740.0
01057,1709.0,2129.0,2267.0,2063.0,2133.0,2391.0,1688.0,1577.0,2207.0,2000.0,2024.0,2427.0,2623.0,1665.0,1307.0,1951.0,1500.0,1502.0,1466.0,1151.0,568.0
01059,792.0,1217.0,1276.0,1180.0,1184.0,1267.0,893.0,783.0,1159.0,1165.0,1179.0,1192.0,1499.0,954.0,631.0,1068.0,843.0,879.0,807.0,616.0,370.0
01061,2191.0,2909.0,3082.0,2426.0,2592.0,3463.0,2301.0,1972.0,2710.0,2648.0,2648.0,2919.0,3631.0,2571.0,2178.0,2673.0,2483.0,2206.0,2143.0,1877.0,1127.0
01063,265.0,361.0,411.0,203.0,287.0,338.0,382.0,254.0,284.0,266.0,252.0,229.0,365.0,337.0,221.0,231.0,280.0,246.0,220.0,187.0,158.0
01065,853.0,1055.0,1295.0,1091.0,1228.0,1519.0,1203.0,836.0,1116.0,1000.0,1075.0,1233.0,1340.0,923.0,663.0,835.0,728.0,718.0,759.0,634.0,421.0
01067,975.0,1574.0,1615.0,1225.0,1526.0,1707.0,1426.0,944.0,1425.0,1406.0,1411.0,1531.0,1724.0,950.0,949.0,1190.0,1022.0,1034.0,971.0,818.0,451.0
01069,20932.0,23810.0,24188.0,20665.0,24373.0,29503.0,29338.0,19447.0,22401.0,22386.0,23116.0,24438.0,30056.0,25670.0,16830.0,19460.0,18293.0,17424.0,16289.0,12520.0,7277.0
01071,4158.0,4772.0,5357.0,4747.0,5182.0,5823.0,4780.0,3787.0,4749.0,4423.0,5063.0,5206.0,6235.0,4516.0,3145.0,4215.0,3536.0,3440.0,3546.0,2594.0,1546.0
01073,130485.0,133100.0,148488.0,131939.0,146190.0,177963.0,180223.0,126834.0,137273.0,137531.0,137329.0,150419.0,166294.0,139932.0,88074.0,103864.0,89769.0,83683.0,81199.0,62640.0,37658.0
01075,1265.0,1592.0,1494.0,1555.0,1599.0,1755.0,1288.0,1166.0,1428.0,1549.0,1437.0,1627.0,1730.0,1250.0,1177.0,1123.0,1234.0,1203.0,1158.0,932.0,465.0
01077,18219.0,18297.0,20296.0,20182.0,20534.0,23891.0,22809.0,17532.0,17839.0,19009.0,18958.0,20528.0,24555.0,20911.0,13261.0,14373.0,12990.0,12106.0,11677.0,8420.0,5433.0
01079,4759.0,5303.0,5940.0,5249.0,6115.0,7008.0,6155.0,4840.0,5584.0,5492.0,5343.0,6222.0,7482.0,5915.0,4067.0,4584.0,4215.0,4077.0,3887.0,3014.0,1914.0
01081,28323.0,36568.0,35766.0,36870.0,35966.0,35896.0,25922.0,16601.0,19025.0,18779.0,19938.0,20341.0,25011.0,20417.0,15888.0,17367.0,15524.0,14253.0,13733.0,10600.0,6666.0
01083,6729.0,7583.0,8055.0,7552.0,8066.0,9238.0,8276.0,6343.0,7684.0,7054.0,7761.0,7950.0,9388.0,7174.0,5023.0,5899.0,5409.0,5193.0,5174.0,4000.0,2737.0
01085,351.0,384.0,379.0,327.0,308.0,846.0,775.0,297.0,343.0,448.0,341.0,324.0,473.0,333.0,291.0,238.0,205.0,249.0,223.0,133.0,89.0
01087,1328.0,1562.0,1593.0,1425.0,1566.0,1677.0,1240.0,980.0,1192.0,1181.0,1237.0,1230.0,1515.0,1027.0,961.0,984.0,1083.0,1025.0,1024.0,894.0,645.0
01089,58877.0,61310.0,67327.0,62933.0,66076.0,76987.0,77301.0,57081.0,63193.0,63452.0,63553.0,68071.0,78666.0,65363.0,40199.0,46383.0,43891.0,40737.0,39219.0,28213.0,18188.0
01091,2015.0,2640.0,2681.0,2527.0,2646.0,2997.0,2186.0,1894.0,2613.0,2640.0,2673.0,2998.0,3249.0,2307.0,1751.0,2410.0,2150.0,2310.0,2125.0,1753.0,993.0
01093,4805.0,5399.0,6267.0,5671.0,5788.0,6758.0,5162.0,4591.0,5238.0,5113.0,5164.0,6046.0,6869.0,5262.0,4073.0,4679.0,4261.0,4043.0,4265.0,3061.0,1768.0
01095,14382.0,15126.0,16837.0,15723.0,16064.0,19998.0,18677.0,13670.0,16001.0,15073.0,16062.0,16819.0,20588.0,16363.0,10705.0,12626.0,11534.0,11444.0,11159.0,8731.0,5987.0
01097,56612.0,67904.0,69372.0,59578.0,68165.0,77485.0,71366.0,51499.0,62403.0,61332.0,63987.0,69631.0,77714.0,59891.0,45380.0,54766.0,50477.0,45862.0,43190.0,35749.0,22027.0
01099,1420.0,2350.0,2229.0,1919.0,1964.0,2191.0,1996.0,1435.0,2301.0,2030.0,2096.0,2231.0,2408.0,1983.0,1402.0,1682.0,1493.0,1560.0,1310.0,1119.0,643.0
01101,36191.0,40995.0,40682.0,38859.0,44507.0,48475.0,46423.0,33606.0,41440.0,41999.0,42260.0,45739.0,48999.0,34826.0,24270.0,30150.0,27922.0,27124.0,25933.0,20585.0,12727.0
01103,18726.0,19534.0,20592.0,19994.0,20834.0,24066.0,22254.0,17426.0,19581.0,19820.0,19872.0,21828.0,25434.0,20394.0,14702.0,16751.0,15313.0,14913.0,14182.0,10325.0,6690.0
01105,575.0,822.0,784.0,739.0,762.0,821.0,696.0,592.0,798.0,692.0,755.0,745.0,722.0,457.0,328.0,412.0,411.0,467.0,404.0,339.0,239.0
01107,976.0,1428.0,1670.0,1205.0,1551.0,1535.0,988.0,868.0,1398.0,1612.0,1414.0,1819.0,1764.0,1007.0,843.0,1235.0,1086.0,993.0,909.0,711.0,411.0
01109,4030.0,4896.0,5117.0,4511.0,5193.0,5828.0,4174.0,3044.0,3910.0,3872.0,3938.0,4140.0,5063.0,3914.0,3089.0,4076.0,3656.0,3600.0,3237.0,2763.0,1699.0
01111,1771.0,2360.0,2592.0,2307.0,2387.0,2642.0,2163.0,1728.0,2061.0,2114.0,2292.0,2479.0,2776.0,2102.0,1552.0,1952.0,1733.0,1888.0,1818.0,1373.0,887.0
01113,4897.0,5312.0,6641.0,6364.0,6842.0,6066.0,6003.0,4637.0,5371.0,5549.0,5373.0,5665.0,6803.0,5388.0,4817.0,4716.0,4571.0,4438.0,4161.0,3520.0,2556.0
01115,10996.0,11054.0,12621.0,10776.0,11659.0,13979.0,12380.0,10160.0,11757.0,11229.0,11463.0,13141.0,14969.0,11790.0,8404.0,8827.0,8406.0,7701.0,7659.0,6040.0,4108.0
01117,35831.0,36481.0,41386.0,35328.0,39307.0,48087.0,47632.0,37686.0,39440.0,36837.0,38924.0,44472.0,47228.0,41175.0,27982.0,30246.0,26236.0,24027.0,23325.0,18637.0,11504.0
01119,828.0,1200.0,1238.0,1052.0,1154.0,1239.0,922.0,921.0,1166.0,1007.0,1139.0,1185.0,1321.0,991.0,804.0,919.0,857.0,772.0,635.0,500.0,309.0
01121,8647.0,10094.0,11466.0,9534.0,11265.0,12844.0,10493.0,7702.0,10626.0,10285.0,9913.0,11747.0,13733.0,10499.0,7379.0,9628.0,8478.0,8330.0,8328.0,6558.0,3888.0
01123,4250.0,4790.0,5195.0,4908.0,5217.0,6083.0,4815.0,3941.0,5466.0,4831.0,5090.0,5730.0,6515.0,4607.0,3703.0,4183.0,4051.0,4091.0,4119.0,3354.0,1870.0
01125,34943.0,41496.0,44361.0,39542.0,45050.0,53389.0,51418.0,32674.0,41954.0,41048.0,41653.0,45019.0,43379.0,26538.0,17463.0,22819.0,21815.0,20093.0,19326.0,15935.0,9297.0
01127,9579.0,11078.0,12373.0,10347.0,11345.0,13679.0,11168.0,9269.0,11051.0,10925.0,10358.0,12194.0,14265.0,11323.0,7898.0,9120.0,8058.0,7511.0,7223.0,5540.0,3355.0
01129,608.0,994.0,1297.0,821.0,897.0,1179.0,717.0,513.0,1079.0,971.0,917.0,949.0,1100.0,788.0,579.0,973.0,806.0,704.0,634.0,507.0,274.0
01131,450.0,882.0,776.0,506.0,543.0,614.0,440.0,348.0,531.0,486.0,553.0,673.0,848.0,475.0,350.0,475.0,512.0,422.0,428.0,353.0,208.0
01133,2355.0,3082.0,3622.0,2846.0,3221.0,3812.0,3023.0,2240.0,3260.0,2917.0,2856.0,3373.0,4014.0,2915.0,1705.0,2596.0,2267.0,2142.0,2094.0,1577.0,957.0
02013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
02016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
