,FIPS,STATE,AREA_NAME,stay at home,>50 gatherings,>500 gatherings,public schools,restaurant dine-in,entertainment/gym,federal guidelines,foreign travel ban,stay at home rollback,>50 gatherings rollback,>500 gatherings rollback,restaurant dine-in rollback,entertainment/gym rollback
0,01000_0,AL,"Alabama Super-county, Cluster 1",737519,737504,737497,737500,737503,737512,737500,737495,737545,NA,NA,737545,737545
1,01000_4,AL,"Alabama Super-county, Cluster 5",737519,737504,737497,737500,737503,737512,737500,737495,737545,NA,NA,737545,737545
2,01073,AL,jefferson county,737510,737504,737497,737500,737503,737512,737500,737495,737545,NA,NA,737545,737545
3,01097,AL,mobile county,737519,737504,737497,737500,737503,737512,737500,737495,737545,NA,NA,737545,737545
4,01101,AL,montgomery county,737519,737504,737497,737500,737503,737512,737500,737495,737545,NA,NA,737545,737545
5,01123,AL,tallapoosa county,737519,737504,737497,737500,737503,737512,737500,737495,737545,NA,NA,737545,737545
6,04001,AZ,apache county,737515,737501,737501,737500,737503,737503,737500,737495,NA,737577,737577,NA,NA
7,04005,AZ,coconino county,737515,737501,737501,737500,737503,737503,737500,737495,NA,737577,737577,NA,NA
8,04013,AZ,maricopa county,737515,737501,737501,737500,737503,737503,737500,737495,NA,737577,737577,NA,NA
9,04015,AZ,mohave county,737515,737501,737501,737500,737503,737503,737500,737495,NA,737577,737577,NA,NA
10,04017,AZ,navajo county,737515,737501,737501,737500,737503,737503,737500,737495,NA,737577,737577,NA,NA
11,04019,AZ,pima county,737515,737501,737501,737500,737503,737503,737500,737495,NA,737577,737577,NA,NA
12,04021,AZ,pinal county,737515,737501,737501,737500,737503,737503,737500,737495,NA,737577,737577,NA,NA
13,04027,AZ,yuma county,737515,737501,737501,737500,737503,737503,737500,737495,NA,737577,737577,NA,NA
14,05000_0,AR,"Arkansas Super-county, Cluster 1",740000,737510,737510,737501,737503,737503,737500,737495,NA,NA,NA,NA,NA
15,05000_1,AR,"Arkansas Super-county, Cluster 2",740000,737510,737510,737501,737503,737503,737500,737495,NA,NA,NA,NA,NA
16,05119,AR,pulaski county,740000,737510,737510,737501,737503,737503,737500,737495,NA,NA,NA,NA,NA
17,06001,CA,alameda county,737503,737503,737503,737503,737499,737499,737500,737495,737554,NA,NA,737554,737554
18,06000_1,CA,"California Super-county, Cluster 2",737503,737503,737503,737503,737499,737499,737500,737495,737554,NA,NA,737554,737554
19,06013,CA,contra costa county,737503,737503,737503,737503,737499,737499,737500,737495,737554,NA,NA,737554,737554
20,06000_4,CA,"California Super-county, Cluster 5",737503,737503,737503,737503,737499,737499,737500,737495,737554,NA,NA,737554,737554
21,06019,CA,fresno county,737503,737503,737503,737503,737499,737499,737500,737495,737554,NA,NA,737554,737554
22,06025,CA,imperial county,737503,737503,737503,737503,737499,737499,737500,737495,737554,NA,NA,737554,737554
23,06029,CA,kern county,737503,737503,737503,737503,737499,737499,737500,737495,737554,NA,NA,737554,737554
24,06037,CA,los angeles county,737503,737503,737503,737503,737499,737499,737500,737495,737554,NA,NA,737554,737554
25,06059,CA,orange county,737503,737503,737503,737503,737499,737499,737500,737495,737554,NA,NA,737554,737554
26,06065,CA,riverside county,737503,737503,737503,737503,737499,737499,737500,737495,737554,NA,NA,737554,737554
27,06067,CA,sacramento county,737503,737503,737503,737503,737499,737499,737500,737495,737554,NA,NA,737554,737554
28,06071,CA,san bernardino county,737503,737503,737503,737503,737499,737499,737500,737495,737554,NA,NA,737554,737554
29,06073,CA,san diego county,737503,737503,737503,737503,737499,737499,737500,737495,737554,NA,NA,737554,737554
30,06075,CA,san francisco county,737501,737503,737503,737503,737499,737499,737500,737495,737554,NA,NA,737554,737554
31,06077,CA,san joaquin county,737503,737503,737503,737503,737499,737499,737500,737495,737554,NA,NA,737554,737554
32,06081,CA,san mateo county,737503,737503,737503,737503,737499,737499,737500,737495,737554,NA,NA,737554,737554
33,06085,CA,santa clara county,737503,737503,737503,737503,737499,737499,737500,737495,737554,NA,NA,737554,737554
34,06107,CA,tulare county,737503,737503,737503,737503,737499,737499,737500,737495,737554,NA,NA,737554,737554
35,08001,CO,adams county,737508,737508,737497,737507,737504,737501,737500,737495,737577,NA,NA,737553,737553
36,08000_0,CO,"Colorado Super-county, Cluster 1",737510,737508,737497,737507,737504,737501,737500,737495,737577,NA,NA,737553,737553
37,08005,CO,arapahoe county,737508,737508,737497,737507,737504,737501,737500,737495,737577,NA,NA,737553,737553
38,08013,CO,boulder county,737508,737508,737497,737507,737504,737501,737500,737495,737577,NA,NA,737553,737553
39,08000_2,CO,"Colorado Super-county, Cluster 3",737510,737508,737497,737507,737504,737501,737500,737495,737577,NA,NA,737553,737553
40,08031,CO,denver county,737508,737508,737497,737507,737504,737501,737500,737495,737577,NA,NA,737553,737553
41,08035,CO,douglas county,737508,737508,737497,737507,737504,737501,737500,737495,737577,NA,NA,737553,737553
42,08041,CO,el paso county,737510,737508,737497,737507,737504,737501,737500,737495,737577,NA,NA,737553,737553
43,08059,CO,jefferson county,737508,737508,737497,737507,737504,737501,737500,737495,737577,NA,NA,737553,737553
44,08000_1,CO,"Colorado Super-county, Cluster 2",737510,737508,737497,737507,737504,737501,737500,737495,737577,NA,NA,737553,737553
45,08123,CO,weld county,737510,737508,737497,737507,737504,737501,737500,737495,737577,NA,NA,737553,737553
46,09001,CT,fairfield county,737507,737507,737507,737501,737500,737500,737500,737495,737574,NA,NA,737574,737574
47,09003,CT,hartford county,737507,737507,737507,737501,737500,737500,737500,737495,737574,NA,NA,737574,737574
48,09005,CT,litchfield county,737507,737507,737507,737501,737500,737500,737500,737495,737574,NA,NA,737574,737574
49,09007,CT,middlesex county,737507,737507,737507,737501,737500,737500,737500,737495,737574,NA,NA,737574,737574
50,09009,CT,new haven county,737507,737507,737507,737501,737500,737500,737500,737495,737574,NA,NA,737574,737574
51,09011,CT,new london county,737507,737507,737507,737501,737500,737500,737500,737495,737574,NA,NA,737574,737574
