FIPS,State,Share_age0to17,Share_age18to64,Share_age65plus,Fatality_ratio_age0to17,Fatality_ratio_age18to64,Fatality_ratio_age65plus,fatality_rate
0,United States,0.24,0.6,0.16,0,0.005666026871401,0.045935779816514,0.010749340893483
1000,Alabama,0.24,0.6,0.17,0,0.005666026871401,0.045935779816514,0.011208698691648
2000,Alaska,0.27,0.61,0.12,0,0.005666026871401,0.045935779816514,0.008968569969536
4000,Arizona,0.24,0.57,0.18,0,0.005666026871401,0.045935779816514,0.011498075683671
5000,Arkansas,0.25,0.59,0.17,0,0.005666026871401,0.045935779816514,0.011152038422934
6000,California,0.24,0.61,0.14,0,0.005666026871401,0.045935779816514,0.009887285565867
8000,Colorado,0.24,0.62,0.14,0,0.005666026871401,0.045935779816514,0.009943945834581
9000,Connecticut,0.22,0.61,0.17,0,0.005666026871401,0.045935779816514,0.011265358960362
10000,Delaware,0.22,0.59,0.19,0,0.005666026871401,0.045935779816514,0.012070754019264
11000,District of Columbia,0.2,0.68,0.12,0,0.005666026871401,0.045935779816514,0.009365191850534
12000,Florida,0.21,0.59,0.21,0,0.005666026871401,0.045935779816514,0.012989469615595
13000,Georgia,0.26,0.6,0.14,0,0.005666026871401,0.045935779816514,0.009830625297153
15000,Hawaii,0.23,0.57,0.19,0,0.005666026871401,0.045935779816514,0.011957433481836
16000,Idaho,0.27,0.57,0.16,0,0.005666026871401,0.045935779816514,0.010579360087341
17000,Illinois,0.24,0.6,0.15,0,0.005666026871401,0.045935779816514,0.010289983095318
18000,Indiana,0.25,0.59,0.16,0,0.005666026871401,0.045935779816514,0.010692680624769
19000,Iowa,0.25,0.58,0.17,0,0.005666026871401,0.045935779816514,0.01109537815422
20000,Kansas,0.26,0.58,0.16,0,0.005666026871401,0.045935779816514,0.010636020356055
21000,Kentucky,0.24,0.61,0.16,0,0.005666026871401,0.045935779816514,0.010806001162197
22000,Louisiana,0.25,0.59,0.15,0,0.005666026871401,0.045935779816514,0.010233322826604
23000,Maine,0.19,0.6,0.21,0,0.005666026871401,0.045935779816514,0.013046129884309
24000,Maryland,0.23,0.61,0.15,0,0.005666026871401,0.045935779816514,0.010346643364032
25000,Massachusetts,0.21,0.62,0.17,0,0.005666026871401,0.045935779816514,0.011322019229076
26000,Michigan,0.23,0.6,0.17,0,0.005666026871401,0.045935779816514,0.011208698691648
27000,Minnesota,0.24,0.6,0.16,0,0.005666026871401,0.045935779816514,0.010749340893483
28000,Mississippi,0.26,0.58,0.16,0,0.005666026871401,0.045935779816514,0.010636020356055
29000,Missouri,0.24,0.6,0.17,0,0.005666026871401,0.045935779816514,0.011208698691648
30000,Montana,0.23,0.58,0.19,0,0.005666026871401,0.045935779816514,0.01201409375055
31000,Nebraska,0.26,0.59,0.16,0,0.005666026871401,0.045935779816514,0.010692680624769
32000,Nevada,0.24,0.61,0.16,0,0.005666026871401,0.045935779816514,0.010806001162197
33000,New Hampshire,0.2,0.61,0.18,0,0.005666026871401,0.045935779816514,0.011724716758527
34000,New Jersey,0.23,0.6,0.16,0,0.005666026871401,0.045935779816514,0.010749340893483
35000,New Mexico,0.24,0.58,0.18,0,0.005666026871401,0.045935779816514,0.011554735952385
36000,New York,0.22,0.62,0.16,0,0.005666026871401,0.045935779816514,0.010862661430911
37000,North Carolina,0.24,0.59,0.16,0,0.005666026871401,0.045935779816514,0.010692680624769
38000,North Dakota,0.24,0.61,0.15,0,0.005666026871401,0.045935779816514,0.010346643364032
39000,Ohio,0.23,0.6,0.17,0,0.005666026871401,0.045935779816514,0.011208698691648
40000,Oklahoma,0.26,0.59,0.16,0,0.005666026871401,0.045935779816514,0.010692680624769
41000,Oregon,0.22,0.6,0.18,0,0.005666026871401,0.045935779816514,0.011668056489813
42000,Pennsylvania,0.22,0.59,0.18,0,0.005666026871401,0.045935779816514,0.011611396221099
44000,Rhode Island,0.2,0.63,0.17,0,0.005666026871401,0.045935779816514,0.01137867949779
45000,South Carolina,0.23,0.59,0.18,0,0.005666026871401,0.045935779816514,0.011611396221099
46000,South Dakota,0.26,0.58,0.16,0,0.005666026871401,0.045935779816514,0.010636020356055
47000,Tennessee,0.24,0.6,0.16,0,0.005666026871401,0.045935779816514,0.010749340893483
48000,Texas,0.27,0.59,0.13,0,0.005666026871401,0.045935779816514,0.009314607230273
49000,Utah,0.31,0.58,0.11,0,0.005666026871401,0.045935779816514,0.008339231365229
50000,Vermont,0.19,0.6,0.2,0,0.005666026871401,0.045935779816514,0.012586772086144
51000,Virginia,0.24,0.6,0.16,0,0.005666026871401,0.045935779816514,0.010749340893483
53000,Washington,0.23,0.61,0.16,0,0.005666026871401,0.045935779816514,0.010806001162197
54000,West Virginia,0.21,0.59,0.2,0,0.005666026871401,0.045935779816514,0.01253011181743
55000,Wisconsin,0.23,0.6,0.17,0,0.005666026871401,0.045935779816514,0.011208698691648
56000,Wyoming,0.24,0.58,0.17,0,0.005666026871401,0.045935779816514,0.01109537815422
72000,Puerto Rico,0.2,0.6,0.21,0,0.005666026871401,0.045935779816514,0.013046129884309
