ind;state
1000;alabama
2000;alaska
4000;arizona
5000;arkansas
6000;california
8000;colorado
9000;connecticut
10000;delaware
11000;district of columbia
12000;florida
13000;georgia
15000;hawaii
16000;idaho
17000;illinois
18000;indiana
19000;iowa
20000;kansas
21000;kentucky
22000;louisiana
23000;maine
24000;maryland
25000;massachusetts
26000;michigan
27000;minnesota
28000;mississippi
29000;missouri
30000;montana
31000;nebraska
32000;nevada
33000;new hampshire
34000;new jersey
35000;new mexico
36000;new york
37000;north carolina
38000;north dakota
39000;ohio
40000;oklahoma
41000;oregon
42000;pennsylvania
44000;rhode island
45000;south carolina
46000;south dakota
47000;tennessee
48000;texas
49000;utah
50000;vermont
51000;virginia
53000;washington
54000;west virginia
55000;wisconsin
56000;wyoming
72000;puerto rico
