,mean,se_mean,sd,2.5%,25%,50%,75%,97.5%,n_eff,Rhat
mu[1],3.2002956695507265,0.015175544439620598,0.15085576082471794,2.931909043292664,3.077293636820248,3.19426043423824,3.31348326724411,3.467998171947699,98.8178128516933,1.005673203239939
mu[2],2.104929143199617,0.01127659824501416,0.1723972244820332,1.7692697192722413,1.9949912248623116,2.095947744703627,2.2112317827899184,2.500118160507751,233.72454515074534,0.9833028776062065
mu[3],4.9882271578099635,0.044915891423822164,0.5885502591275342,3.855884708712846,4.553949954863609,5.004398885943263,5.359328802671717,6.196814533844982,171.69872248698766,0.9949381500790699
mu[4],2.702748806540059,0.015842218280127062,0.22548900147875983,2.278189585434977,2.5435935459304684,2.678928592078493,2.8428331577278247,3.133899736631793,202.5903436647322,0.981633551089598
mu[5],1.8216618078490785,0.006228134905980912,0.07782248340442702,1.6829618962625563,1.7695411593102157,1.8226701902594125,1.8780939554000786,1.988956670613216,156.13280021376286,1.0170134653217962
mu[6],3.278189765611059,0.020665003226648538,0.28152084768722857,2.7418212589242117,3.0917375419092163,3.2728823201563886,3.4546580824221187,3.8628651952359427,185.58811820772024,1.0093863023697667
mu[7],2.5904841075904153,0.02458646607808483,0.28802612690292445,2.0085933562021805,2.3749654490188132,2.6067538105007593,2.796544002415585,3.1513927512736353,137.23710517820058,0.9984756403047248
mu[8],3.9269843924641252,0.025935574475719776,0.3167959466261479,3.3395496166556855,3.7417729939142643,3.9081994542887775,4.105538630688494,4.693618218833456,149.1995413832896,1.040464196367777
mu[9],2.5492863804600394,0.016769129873739914,0.1929832925325635,2.186847978595003,2.397084514173197,2.5524662441448926,2.680162883922789,2.9444539708629014,132.43975446270514,0.9866437677702378
mu[10],3.13434840676117,0.02008670542539995,0.24895718816682896,2.6503381690444856,2.9661292842581877,3.1441291931330078,3.288543109003952,3.6269525190104464,153.61439657199924,0.9785042545159607
mu[11],3.8105627756679343,0.018615672328910936,0.24315701715913685,3.3569430230564525,3.6480449037288913,3.773964034750132,3.9472582565946666,4.336761491469555,170.61458829779082,0.9989862836629296
mu[12],3.6040935341223608,0.04162211103155871,0.589320915661007,2.543784904574033,3.1557287687347504,3.60316093707208,4.008444471900619,4.815333176915325,200.4728216525802,0.9823010720756074
mu[13],2.3272374525966923,0.030406515117329804,0.3744784478020657,1.7841719877653686,2.037466357919367,2.3073273104833403,2.541523779989499,3.2442421635386425,151.67721950879962,0.987587032778478
mu[14],3.529640003783952,0.03394354016821434,0.4347615161675338,2.7843328448668956,3.2510407372397196,3.4777755720405823,3.8048061310190646,4.434631901383524,164.05441343758216,0.9884939338560033
mu[15],4.214035756042901,0.03912782511902839,0.49090447655867986,3.3763228265909717,3.8665953859543967,4.169937379951161,4.483370274363295,5.4725734383248605,157.40646560439455,1.0219853248293984
mu[16],3.1208857627722866,0.04345813499447618,0.6035856013551578,1.9749973131959988,2.7654590917840944,3.055194939555312,3.3731578573254453,4.678004697785319,192.90148583058348,0.9809886986017765
mu[17],2.308649967616835,0.0215462598954386,0.26442121594361273,1.8119556812084583,2.129082933472598,2.301743598283398,2.4803002645383456,2.8224311887628657,150.6082658079188,1.029570188107172
mu[18],2.5208892354795056,0.0413643466283099,0.5289204810757799,1.5340894578797986,2.1642751728856875,2.502732278123715,2.8364660591629156,3.5250297785148135,163.5040184948608,0.9886860241328179
mu[19],1.7847006320636365,0.021538655017357047,0.23268317205461272,1.2788493517997956,1.631342676696872,1.798823496812255,1.9200414537597847,2.2643502216412066,116.70589428741452,1.0075017301910838
mu[20],2.468740898093296,0.01731407025729979,0.2267243339988184,2.0352778662970805,2.321309635027171,2.4736242912287176,2.6252134544627324,2.9061757286963763,171.4738578208111,1.006718239164035
alpha[1],0.01623852433729235,0.0021831807836861154,0.02513962540635459,6.104780701858167e-05,0.0014932490979591285,0.00618517973839531,0.01786804460617517,0.09319948005340814,132.59837576616047,1.0271790337881237
alpha[2],0.008591555988302968,0.0010316722197262426,0.011394334306866148,1.0349257668060452e-05,0.0009537904764590284,0.0036870824679905087,0.012586312344255843,0.04211827035491995,121.98163277068711,1.0232550735368178
alpha[3],0.008865315838059317,0.0010661573474947319,0.012878775929693389,4.873274822649507e-05,0.0006453101263245312,0.0031527876154816064,0.013725497225211374,0.04234896113916742,145.91722640866757,0.9810046051754324
alpha[4],0.016028924935256147,0.0015270561980299186,0.02138110027493226,8.117907325259713e-05,0.0021069355647833164,0.007124524040407496,0.023378953327061008,0.08180149593761289,196.04242252212708,0.9899056261127476
alpha[5],0.014155933768055596,0.0014590330475223164,0.019393252047735836,8.264416684323118e-05,0.0015047465620200884,0.005667996527205828,0.018128515473115336,0.07128639388672557,176.6733426529797,0.9862007686182881
alpha[6],0.01119033010674756,0.001387118694572443,0.01667370851980038,6.141802205975553e-06,0.0008060455753189942,0.004547278477264974,0.014867267904014485,0.06288695513549342,144.48979021950726,1.0313591186858893
kappa,1.016850214300414,0.01300736499752093,0.1755301992600621,0.7271534675042536,0.8726169510526292,0.9999815186251108,1.1447116969664612,1.4176982465776733,182.1063280782446,0.9966241938945489
y[1],168.80853999790756,3.8600068993208407,40.905327690049525,106.13653221792431,135.9135967695487,165.21179413123798,197.23527993083806,246.84279705197838,112.30099143363456,1.006346608247055
y[2],225.4697969671707,4.9724381799918405,73.670456636222,106.56418982186904,173.72303094088878,215.7413233928563,258.6229826658297,394.8419847423184,219.50677981445628,0.9894497165922667
y[3],39.7634423348191,2.1775623232114363,26.977325789017613,11.697615503127722,22.866200538002982,33.65207601799151,49.09080559325152,105.55166655230644,153.48170183212716,0.9980132837729698
y[4],79.78417191200285,2.548961511288565,32.6196694774627,34.76901752486293,54.103274577138485,74.94590378651786,95.54458059904466,160.69047266574887,163.76932417255642,0.9876367780410971
y[5],193.21804695196133,3.787752526462916,46.38593161724747,118.4378121606303,157.48856826655287,185.09210738957705,223.41394912471418,296.7313887729445,149.9717204780107,1.0194758722907344
y[6],59.63926988765139,1.93773296799171,25.74304427972882,23.756422188302714,41.93304182283676,54.483700386252806,72.69178408963317,129.47278963305183,176.49481479301852,1.0095852784886101
y[7],198.577390512186,7.943986358420885,88.78447686795816,84.4447349676177,133.60666565896682,179.74026652143,253.00545564400758,395.48990395101293,124.90996906208521,0.9989434538327422
y[8],31.05813118251387,1.1168540996470104,14.51030299076489,10.288424545327542,21.97569707429536,28.08055730453661,37.12296894531751,66.58746786126449,168.79519385884115,1.019621609344647
y[9],63.20757164686894,2.1560298128978452,24.24324816225268,29.72516441515569,45.022569514150526,57.067195799005525,78.28086277650303,124.7023727341175,126.43639090194482,0.9995502308575804
y[10],93.03668402015852,2.750428512290673,33.72744087428591,43.97675599550601,67.2639307763077,85.98544651625738,113.37030456221328,174.82544951747596,150.37168154596648,0.9735438617478627
y[11],9.68552210902065,0.31156652834085846,3.896006413101963,3.7601820333716534,7.034248897561729,9.383084325111536,11.940122446781672,19.194928645801973,156.3643471249638,0.9817891136630881
y[12],107.54856740126819,4.672131312056935,69.06195234300264,26.258687341032857,54.816044727887274,89.81443885168355,137.4643769509346,277.98587375073134,218.49807862004891,0.9753768445747506
y[13],380.67638333277205,12.313345442320507,168.86175001313237,116.6290197340806,259.47951841753894,359.0968110681027,488.57247121832427,780.8425423929212,188.06606802259864,0.9817531042374827
y[14],307.49231164302716,11.364164309173033,134.38860418208307,104.42838151721577,210.22268988296034,279.2621882234291,391.4464471714421,650.1740649779257,139.84594489164385,1.0049895702836134
y[15],24.784023564609676,1.1644569803018436,14.147906036364972,4.608261967008435,14.84226401035197,21.484127236409908,33.65363367532971,61.968590756371455,147.61736076895497,1.0093424662579318
y[16],187.07837954396703,9.099313477315148,116.42167386994076,41.9217500448835,117.35087815415012,161.5915142583674,220.747151462504,518.1038512669286,163.70065767706686,0.9979420879515654
y[17],195.44163021802515,7.04949615275053,88.67354853434843,84.89423998084308,135.98500071885832,176.44229359292422,244.95740130403416,401.3590808982026,158.22387668394677,1.016066200770203
