,mean,se_mean,sd,2.5%,25%,50%,75%,97.5%,n_eff,Rhat
mu[1],3.6164233328149917,0.01663369260553847,0.20101449039405825,3.313140638797549,3.4775746440526136,3.5768499509564213,3.750535208277602,4.10628507871672,146.04187084050608,0.9985424422254049
mu[2],5.621297969161721,0.029462146348112297,0.35513012704593394,5.003275752443454,5.374140920975134,5.577418582685176,5.903911958983885,6.2518615121952585,145.2935277118865,1.019213187258439
mu[3],2.4913177556412918,0.01624626272903693,0.1826462577580739,2.1292908471628484,2.3592659642592486,2.4986488387664147,2.6217603917528036,2.8523787362574913,126.39055249919193,1.0215810742524636
mu[4],3.017996315754761,0.013951676336533613,0.16777138242719072,2.730983332903493,2.9042378978186263,2.997987582731288,3.116941209812878,3.4032586776846188,144.60489055852037,0.9749676855512288
mu[5],2.7367141026826918,0.021356444129168633,0.26494059504754597,2.278201137908234,2.5705415087387298,2.7112703983266604,2.881953580011588,3.306351791554721,153.90017973126484,0.9827939522864225
mu[6],2.3659381197021387,0.009584596158539202,0.12066569045488146,2.143961057837643,2.2792598212522024,2.359021380254177,2.4480860066846777,2.612928104573796,158.4966060296988,1.0082237705552375
mu[7],2.6575682326249335,0.022986400290898754,0.2947089740735309,2.1903576003437344,2.447099728395943,2.6105259415110873,2.850011557674825,3.316252846376934,164.37841575545303,0.9904318151243063
mu[8],2.9366368952298476,0.021352864126435986,0.22678335406035321,2.5424916324708073,2.7546458981792115,2.9550703906234803,3.0836168429782247,3.4295948676747803,112.80025335679264,1.0286908769058403
mu[9],2.4526412082561855,0.013717628495126297,0.17033994349355422,2.168169749832819,2.332888866929209,2.4286518847204808,2.570443601530722,2.8619827155812785,154.19664472866572,1.0221770821394336
mu[10],2.9819298638202625,0.021450837049426217,0.27983557325790154,2.455064480786749,2.800275117998382,2.944965511874887,3.1568466415923933,3.643381737520489,170.18346292799157,0.9941933800567858
mu[11],2.1062027417754847,0.03353082732770699,0.478786125706354,1.2668640209296984,1.7718540343600548,2.0436190755953736,2.389125066157611,3.1199816180467916,203.8893660055187,0.9769726491104634
mu[12],2.534300767367329,0.017916318506074107,0.22084810356206228,2.0996560016464536,2.4107914099386494,2.541606254353217,2.6792036597710247,2.931111216742193,151.94618470408287,1.0016329119166127
mu[13],2.390366794793938,0.02014569036654406,0.19165219135443157,2.0379607477306787,2.2619468168358954,2.372830780589515,2.512021432995696,2.818023751565989,90.50306123768227,1.028113268523361
mu[14],3.579699518040659,0.041118011642161306,0.45924019332363947,2.8376536053889794,3.263425445399518,3.541253804593429,3.851235573002804,4.594849194168015,124.74282406295403,0.9838814592326568
mu[15],2.960361800560786,0.024780848501564513,0.2946536417883012,2.4655728017307657,2.7618009219413775,2.9522150953394304,3.132469697749983,3.566374626266515,141.38107549411598,1.032288698300829
mu[16],1.6253856727044,0.00452921265800378,0.06751318561742514,1.5076620863236463,1.5798019317245267,1.6184279509798158,1.674463324982475,1.7644699702549091,222.19371825949372,0.9901700462417886
mu[17],1.1685553035546554,0.01568987679054312,0.18314971351643908,0.8126935983872843,1.0371433752319115,1.182131521528887,1.3142435548500082,1.5536217502540128,136.26158018171108,0.9874758442796587
mu[18],2.7959914434980946,0.02159727274919824,0.2685039775144757,2.3031223358964352,2.613574674003691,2.7684840810964495,2.9504908944957915,3.3499609223006876,154.56231759326403,1.0090501026889553
mu[19],2.9238795636618935,0.036426677165253,0.4405683461764348,2.028436464238059,2.6500207768925597,2.945214575012484,3.2051662065809805,3.9010813743596087,146.28084761898018,1.014400416127576
mu[20],3.0074153832378694,0.029277769064570573,0.36501977739429947,2.462807492661967,2.7348288497604694,2.9811266941204564,3.251628567941992,3.8074421973347863,155.4378677451381,0.9821929895289918
mu[21],3.371821941074448,0.032979830257440605,0.3848793935564941,2.707520850310545,3.0977800318060793,3.350389258837775,3.6297078440983945,4.182562862756974,136.19227892596138,0.9911611231177786
mu[22],2.0159894004446146,0.027811397922651013,0.2894419661675377,1.474032429435558,1.819058052906723,1.9887725220528472,2.2297313609122984,2.5933588444363496,108.31219607625081,1.0357579717228038
mu[23],1.8583621226298537,0.02740835684751296,0.3074919968958999,1.3296624675536226,1.6273187014511812,1.8107157426890297,2.0565969773426915,2.5178742358702726,125.86403014608462,1.0793118183247592
mu[24],1.9832497924474615,0.03788653409094347,0.3914459450605376,1.340788876251016,1.6954551998093808,1.9253738768033113,2.2051292211299,2.8033537825817496,106.75146473856219,1.0219253559828168
mu[25],2.3630865195613757,0.022278131197189723,0.2654579538937757,1.8504718667152429,2.1846501410867205,2.3508217360186086,2.5399739682158455,2.898363559365111,141.9822227396078,1.0391312768932497
mu[26],2.417654267710121,0.027855486269101316,0.31795055852353216,1.9027952382683921,2.1876585273722946,2.393490518155928,2.5804060659456725,3.151954228391325,130.2859835513135,0.9895248956906735
mu[27],2.490459646719985,0.03179703547357874,0.45374627651683114,1.6442317338361598,2.1613982800022367,2.477804410857238,2.764630184125877,3.461596064898315,203.63521600912568,0.9733946663730926
mu[28],2.3323906695490693,0.017210402969351234,0.2781805254769248,1.877911544626634,2.116547276951657,2.3093497655308557,2.5364926318240117,2.9191708519982535,261.25906487008467,1.000809220498121
mu[29],1.6466187759380422,0.028999698795473667,0.43761897870461236,0.913562782104714,1.3133733719378662,1.6325314650830767,1.8955552590251061,2.547448197406287,227.7221745266248,0.9810381006137306
mu[30],2.801497800444484,0.032760648030326085,0.35098787800222125,2.114614588682076,2.562763290198467,2.800420145989891,3.0165134365619495,3.6895045874827903,114.78344826991005,1.0427281808065854
alpha[1],0.18576810907382704,0.01002176097207369,0.11751022866900047,0.0006313879932776521,0.09285392098158829,0.18531394037468357,0.25221600014183,0.4497830675152005,137.4875149654305,0.9743764227443548
alpha[2],0.0196464220982987,0.002293574157030796,0.029265910417228917,5.533614287129888e-06,0.0019502246696979561,0.008287026156987428,0.02237202762501058,0.10558396539235987,162.8165337655111,0.9934532381907858
alpha[3],0.015061316115672317,0.0016315770546612425,0.0207348187462338,6.26178092557613e-05,0.0016960189187473324,0.008126112106492209,0.019882319189538443,0.07184445496690418,161.504753214143,0.9852780576221662
alpha[4],0.024110348340034324,0.002527835007474628,0.031699092755869705,4.686602222759813e-05,0.0032583069802038624,0.01149269380188405,0.030690180222556304,0.11640802072021401,157.25201434472763,1.019162691383905
