;mean;se_mean;sd;2.5%;25%;50%;75%;97.5%;n_eff;Rhat
mu[1];3.9433878426673776;0.07398262921424544;0.5391314433550529;2.8677644862171654;3.5400423418857807;3.939513921502579;4.199030475139795;5.2578220653753664;53.104313698184164;0.9854289510774579
mu[2];2.9413051760664355;0.10167070709265347;0.5640734472010563;2.070320871402042;2.469932735063348;2.8913757526919555;3.299638931354193;4.1182792344319985;30.780780301562007;1.0135000984543825
mu[3];3.3748545087680695;0.13956883838688502;0.7566599354113223;2.182221132792943;2.8603137684063915;3.3598037260670988;3.7907249215460634;5.233867318600663;29.391689440637624;1.0704795821713518
mu[4];2.9881388848052897;0.08930414003229925;0.5290439135340922;2.0873220985641776;2.553760655400385;2.9197745568381013;3.281973320785516;4.238275524218487;35.09459696584083;0.980543449827904
mu[5];3.058704486703952;0.0743832647442894;0.5186263309988408;2.2506211173255695;2.685577726216729;2.9842746418029114;3.4590988819880066;4.2142702552800255;48.61369734097848;1.0218507904312015
alpha[1];0.11831966525725116;0.01787013615085673;0.1518956697187185;0.0007006877575119483;0.01600747605461799;0.06230229145922575;0.14778695802479325;0.5995706410911319;72.24953617772071;0.9824284168274933
alpha[2];0.046382290238199966;0.013314591767909705;0.07103392708365028;0.00016941105984388577;0.003856266005196231;0.017814996195819062;0.05385253344507467;0.2509098650722234;28.46268980171037;1.075557061520424
alpha[3];0.03827076065559827;0.004376280968780779;0.03333783717160165;0.0016116356578602282;0.012608659192999656;0.024548341197999264;0.06555849584181059;0.12324095880995403;58.03158707503285;1.0027634712117353
alpha[4];0.06667427114032227;0.010121681468823918;0.06772919814960364;0.00020738359766692133;0.0138542605430827;0.05379391096249686;0.09385547334391123;0.24653709719583955;44.77612808943921;1.1023629703040256
alpha[5];0.03777078799540154;0.008802601128209887;0.05976947767992775;5.4073626306877714e-05;0.0031015385224687454;0.012447709985406794;0.04054209116394293;0.22619355138376743;46.103816168788924;1.0184818964100382
alpha[6];0.04098302011621449;0.007732246830839285;0.055441518939666604;8.889936547252062e-05;0.005399984013486387;0.01636998978147281;0.061009868628592825;0.2240727063289269;51.41132796343926;1.0084114975879164
kappa;0.915498987823426;0.04680330258119637;0.31646756992368535;0.289196924653339;0.7207872893796277;0.8650099156580208;1.089737646131983;1.5643026168495728;45.71991621972059;0.9789969625289822
y[1];121.54325132642091;12.57365310411612;100.20933486946727;20.949349388153784;62.72864265342992;98.7581041597962;132.832179410629;427.8025637474052;63.517502058967814;0.9692801391875216
y[2];117.16057395752543;13.06260979147033;75.05659221259035;27.289886520659582;63.59460001484803;95.62183419997902;161.58211047754844;323.8974808643105;33.01549227249546;1.034044501334579
y[3];172.39406437357172;32.22654796958814;145.9205513600698;19.057052988957786;77.70733706142133;130.34283534040475;210.65155314468817;642.037441543873;20.502430533462668;1.0535613661394267
y[4];87.83792573924468;8.38915435843405;60.828127983141236;16.28833481460869;41.840112640970915;71.96818408681324;127.3979889584728;255.1144560957455;52.57418285460095;0.9419936963869998
y[5];132.6697824389867;12.1577598701039;88.41061398677115;35.53940682312209;71.3206737272047;120.1263972259967;166.91244124779456;393.1275122832823;52.88124735125388;1.0003998497748456
phi;1.0225790431905335;0.02422405521743222;0.18796535912358084;0.6891362559584485;0.8990885896398725;0.9892896946225949;1.1735982393646116;1.4397979066927689;60.20907318604863;0.9560703150496056
tau;100.26537174648027;6.9336250379882065;50.54472442693827;27.593346698016404;66.22678034456531;93.78601244023449;131.58396812525967;240.0034211947597;53.141151710426065;0.994421731714207
convolution;227028740.99256012;76294180.99273813;663064319.882684;20522.423508516826;5819273.833981857;26497560.946194127;97449133.69959581;2475859170.1046724;75.53156562818569;0.9777367739932625
prediction[1,1];121.54325132642091;12.57365310411612;100.20933486946727;20.949349388153784;62.72864265342992;98.7581041597962;132.832179410629;427.8025637474052;63.517502058967814;0.9692801391875216
prediction[2,1];121.54325132642091;12.57365310411612;100.20933486946727;20.949349388153784;62.72864265342992;98.7581041597962;132.832179410629;427.8025637474052;63.517502058967814;0.9692801391875216
prediction[3,1];121.54325132642091;12.57365310411612;100.20933486946727;20.949349388153784;62.72864265342992;98.7581041597962;132.832179410629;427.8025637474052;63.517502058967814;0.9692801391875216
prediction[4,1];121.54325132642091;12.57365310411612;100.20933486946727;20.949349388153784;62.72864265342992;98.7581041597962;132.832179410629;427.8025637474052;63.517502058967814;0.9692801391875216
prediction[5,1];121.54325132642091;12.57365310411612;100.20933486946727;20.949349388153784;62.72864265342992;98.7581041597962;132.832179410629;427.8025637474052;63.517502058967814;0.9692801391875216
prediction[6,1];121.54325132642091;12.57365310411612;100.20933486946727;20.949349388153784;62.72864265342992;98.7581041597962;132.832179410629;427.8025637474052;63.517502058967814;0.9692801391875216
prediction[7,1];232.13519197847745;19.943265076396933;149.44965871942918;54.32216968147881;140.05047178597567;199.08655177800406;265.5904912251922;652.4887822361679;56.15615082529246;0.9698272601804245
prediction[8,1];281.6174491641935;23.9380116664549;178.73541443637657;67.07431873398276;171.08614469852438;241.74088297243316;322.9491638280107;782.0513987258493;55.75002605796244;0.9699010543842395
prediction[9,1];347.84744110712376;28.62961268498093;211.37524521821527;87.18333265465243;215.61962292734637;299.37217810656284;401.6251309457816;931.0186928341072;54.51014075197447;0.9701387606901345
prediction[10,1];435.6255131528086;34.36777669126891;249.88771989795828;116.23817221601779;278.15182082097147;376.06066198284555;507.85051282157565;1110.4751538638006;52.867278339106655;0.9704900678390218
prediction[11,1];548.5772076045163;41.35641446603933;295.64880632594156;155.93695117093725;363.86296535175666;479.81918508205655;644.9223345258287;1333.100009101741;51.10536584452648;0.9709267687352675
prediction[12,1];692.1808997273245;49.8071978315698;349.7817765931975;209.3022952456485;469.48815615472495;616.7151853417208;811.6003073770617;1604.8758943199678;49.31853197025691;0.9714462324466818
prediction[13,1];874.2704375189176;59.98769636229493;413.5595958858457;280.848043566881;606.6831794092154;778.1527003677139;1024.4730531534924;1932.6847181180797;47.52825127794404;0.9720549202173502
prediction[14,1];1105.2485262047658;72.23619074976874;488.561882297254;376.78454287790026;782.6119791126531;990.2442423212191;1309.0512136702607;2327.6712112814225;45.74351023344333;0.9727608207452745
prediction[15,1];1398.5374103504935;86.97219209065935;576.7651628971649;505.4656953011366;1007.3215073698248;1277.7954285516676;1667.2075083422017;2803.493996348845;43.97817556864774;0.9735713276225817
prediction[16,1];1771.3311815446334;104.71375333956007;680.6731672970952;678.088670677172;1293.3820996189781;1625.3131905513578;2093.1036523863486;3378.8802365434713;42.25419265422695;0.974492385266302
prediction[17,1];2245.646906890486;126.1063876810778;803.5538969193939;909.665574173677;1660.6871653033595;2044.2726886227738;2604.103208813086;4147.747016673937;40.60278768698403;0.9755271514488963
prediction[18,1];2849.706036198505;151.96854915317982;949.852180555063;1220.3315600352857;2163.1486509553356;2614.7557852703208;3259.471194058875;5093.595883623713;39.06650984274026;0.9766735437693131
prediction[19,1];3619.721802715748;183.36190424252237;1125.8772718434495;1637.097532910651;2789.152761823241;3437.14775752671;4226.674693931745;6257.59441885847;37.70195607623155;0.9779203796179107
prediction[20,1];4602.207727658;221.69968668378402;1340.9110568229755;2196.1994938087255;3612.6960326452268;4532.627059474898;5525.227329661595;7690.569886820791;36.58219707652638;0.9792422632001518
prediction[21,1];5856.962256709215;268.9128337814437;1608.9279931667552;2946.249440403239;4664.410887321008;5783.392333517524;7084.783263760201;9455.296151857343;35.79729059004905;0.9805945764402257
prediction[22,1];7460.93219837227;327.7008888961947;1951.1385389374784;3919.3155737330158;6067.463467011401;7256.4919172651535;8858.82851467983;11465.81647588234;35.45038658971542;0.9819121251026597
prediction[23,1];9513.218806680157;401.90227276754104;2399.535822121693;5102.215591841609;7629.080747855081;9174.424508190987;11314.716517146382;14568.566710083865;35.64622559596262;0.9831169613723207
prediction[24,1];12141.570360126281;497.0269602341473;3001.545911762986;6644.413499455913;9603.71307490838;11716.22869771273;14402.814679129366;18393.21999560325;36.469523403536755;0.9841389370494948
prediction[25,1];15510.809997107968;621.0061864366662;3825.848136282008;8655.79327401244;12288.234225953944;15130.673404236952;18178.46033893803;24113.411350477523;37.95452852460597;0.984943268388293
prediction[26,1];19083.889942638816;772.8078546157918;4823.68588156261;11049.188079099486;15180.51762371542;18222.035989073505;22026.501660893624;31460.61537572652;38.959644254003436;0.9805941478326241
prediction[27,1];24365.527754652107;982.6194101190185;6322.82287144396;14389.490206675962;19390.563475839204;23602.895514868498;27718.979012780368;41077.84233349265;41.404863171227866;0.9811516269776822
prediction[28,1];31009.43423087573;1261.3916648189388;8373.347079872934;18934.9591243475;24567.786850362256;29041.435834596305;35583.734722657646;53606.19437655173;44.06545642892863;0.9813059148520299
prediction[29,1];34629.65300199142;1317.849248270892;9157.891208345558;22390.353964927966;28110.677434137462;32370.329406265246;40167.36032878081;58946.905929225235;48.290254433756104;0.9712123352968581
prediction[30,1];43731.3363125542;1693.7593442993978;12073.783402091605;28230.053250712066;35541.04324386948;40959.663755726055;51285.330959307525;76867.16428740324;50.813996429681254;0.9741147823644988
prediction[31,1];51086.10301719112;2006.8969001356281;14869.417398554742;31971.560816992984;40179.43474189211;47532.81294467547;60171.773681882434;86506.39482723479;54.89563095026815;1.000648387580101
prediction[32,1];63272.82203548552;2604.625689015442;19510.17341436847;38222.7483735328;48592.44916574922;58590.865563904175;74880.09711861578;110168.00697919197;56.10888260930014;1.006132775182492
prediction[33,1];77828.83844157193;3399.6135109393617;25594.279595501273;45285.242270058945;57752.96264505296;70842.63242445211;92950.1273941755;139431.35432883032;56.67959348075871;1.0141755031717357
prediction[34,1];95515.8398195298;4468.89762421688;33617.78828340693;53438.05509118836;69138.26396695484;87642.7974014824;115530.86965812417;177025.50626485638;56.58970944442933;1.023111686963849
prediction[35,1];103727.28338928087;5383.739882177606;38334.06544859928;53640.63378168861;74693.90675995345;92728.3840665151;127045.82167402652;205426.7782564492;50.699260273645805;1.018241202642559
prediction[36,1];126679.62561259134;7670.527090618747;49897.94814718479;62393.18989110913;88297.77524028638;110534.83031567556;157986.91806308413;258190.38467273102;42.3170084839981;1.027389214786913
prediction[37,1];153339.56478736692;10380.16426876589;64505.74146324996;71089.09621423233;102484.903267594;133609.8403203368;195656.06572533364;322063.6038226578;38.61786770609875;1.0337350094650017
prediction[38,1];184880.7091540633;13632.418955296467;83138.10539279523;80020.95578955841;118911.2823384194;160014.77434605695;237636.55457781738;400351.749401658;37.19241658084835;1.0382060557661688
prediction[39,1];222803.67877790777;17592.402081108707;107040.80609982292;89619.0338926117;137971.3036079223;190458.46546370775;290056.9735232657;497217.2005966471;37.02102655728512;1.0415332276299185
prediction[40,1];268752.4780750313;22441.42457341728;137698.23119124255;100202.28973443306;160074.07418292755;224729.3647808425;356857.62809844594;617505.6964721755;37.649210927994346;1.0440858692138433
prediction[41,1];324605.595039243;28372.522878687883;176950.7474937277;111995.10173225173;185709.74327468983;265086.27174204483;439726.02882112155;767034.3190146189;38.89635393623954;1.0460377865902053
prediction[42,1];392606.86130619416;35593.023216536785;227132.03832574002;125177.90632115473;215421.91043940303;312832.8627477633;530440.3343188334;952957.8190663774;40.72180697401717;1.0474827847384462
prediction[43,1];475495.3214920973;44324.987495016125;291218.0351824255;139923.18491283339;249888.4598174009;369347.67454840307;639938.5483604795;1196482.700123097;43.16575001795698;1.0484858793385008
