,mean,se_mean,sd,2.5%,25%,50%,75%,97.5%,n_eff,Rhat
mu[1],3.801315997012884,0.014672746808135495,0.8491882784752371,2.313788545012738,3.2128617026692865,3.7277375970441944,4.28386509589053,5.643775847518688,3349.539740669192,1.0014514225006619
mu[2],4.257610083905873,0.013091114401855161,0.7622064018795227,2.994923596655613,3.7137274577984156,4.197780715809743,4.68082240847297,5.99861976439327,3389.9395046319187,1.000726751387307
mu[3],3.4208028105696093,0.013451389971425387,0.8421069408413409,2.022330194115737,2.826199744987946,3.321959200268073,3.9213492923056714,5.316942527407569,3919.2247289110983,0.999162088660942
mu[4],3.881923314860919,0.005614701557224949,0.35407764140688586,3.2155000989578784,3.6322489602741417,3.873300841636122,4.119159032373229,4.591102139734398,3976.890687260609,1.0004517455761432
mu[5],4.500095762820587,0.013528564894273157,0.7857956996815718,3.189210141282272,3.9328532848450024,4.419362448988914,4.967393217207658,6.2715299254582195,3373.772835445897,0.9997334925972369
mu[6],3.58957745109425,0.0048047247181311455,0.2910279896955541,3.0649354245500655,3.382459017383565,3.5712365331384452,3.777912132686687,4.200566512914804,3668.8714758578117,1.0001099246373153
mu[7],2.848724423241112,0.014935317243525915,0.9292812875350671,1.2522130858287182,2.1908918695399757,2.775119528196374,3.40495267205981,4.894502546672349,3871.377130629489,0.99983201253486
mu[8],4.622891434818215,0.008027504075733475,0.47276266818776763,3.7924646199932366,4.300046540037133,4.584807899735489,4.912261044766813,5.663633580951151,3468.3688783698485,1.0008932190354645
mu[9],3.968581097807723,0.01377971326797858,0.8293226118566953,2.610459938063906,3.374819052237997,3.8843673113647497,4.448463564121813,5.7971551272758575,3622.151841263141,0.9986420084662253
mu[10],3.8886140125786732,0.011149772234885868,0.6652861788845792,2.7560494922917664,3.4184439805508227,3.835410306627111,4.2836217455314864,5.38837587029156,3560.287018881084,0.9996826633393746
mu[11],3.7017632012060258,0.0069965953393391345,0.4334176439024863,2.9313540797330284,3.399958831299972,3.6706195650188462,3.9632812246736644,4.646467464756215,3837.4228833039083,1.0006244288988064
alpha[1],0.3440830705199913,0.004102270190049365,0.25802276707263216,0.0015890848267041562,0.1138545470454066,0.31385102262930165,0.5316914671880131,0.8886955118665616,3956.1024914942263,1.0003457887112983
alpha[2],0.04687049985668516,0.001012745683993624,0.0628919917868631,6.504534088469571e-05,0.005267492573527733,0.023249132539133188,0.06400894946290446,0.2243001392644188,3856.4694559342283,0.9995912629763549
alpha[3],0.09748023145555793,0.0020537397137830233,0.12871652846946954,7.760541565654366e-05,0.010179392248754922,0.04734880856752577,0.13507020280248078,0.48740325915655436,3928.057475727802,1.0005010353172317
alpha[4],0.05432102234056283,0.0011496431696099096,0.07179609795785775,5.3625393942820506e-05,0.006109620575158804,0.028084783440043948,0.07399054870658713,0.2568902514154358,3900.09832489845,1.0006936647756166
alpha[5],0.39343012875192807,0.004749490944906646,0.3042379484121279,0.0012482456608063166,0.10271682703410577,0.35244278236671994,0.6449244025735166,0.9626344860456527,4103.294041735355,0.9999555695448781
alpha[6],0.09940592200900342,0.001974192962989144,0.1258504419460995,9.294759119909347e-05,0.010831328623051851,0.05077855102384726,0.14672126449025358,0.45551826257157224,4063.7809573381246,1.00085752503492
kappa,1.3402548567631885,0.0046211722398542794,0.27189775584690007,0.8537612398536787,1.1497556824474646,1.3212764457343202,1.511595078716582,1.9253217727934968,3461.8395445854185,0.9994130426914056
y[1],139.48421826322527,1.6688156801368579,98.43589335321518,26.51734219576378,72.08781221449752,114.48557869420614,179.14631435881668,402.0657035222524,3479.286810452599,1.0000622576384581
