County,total,female,male,f<18,m<18,f<18-64,m<18-64,f>65,m>65,f_white,m_white,f_af_amer,m_af_amer,f_amerindian_alaska,m_amerindian_alaska,f_asian,m_asian,f_pasific_island,m_pasific_island,f_two_more_races,m_two_more_races,f>15,f>15_single,f>15_married,f>15_separated,f>15_windowed,f>15_divorced,m>15,m>15_single,m>15_married,m>15_separated,m>15_windowed,m>15_divorced,over_25_high_school_or_higher,over_25_bachelor_or_higher,house_has_children_under_18,married-couple_family,householder_living_alone,grandparents_living_with_grandchildren_under_18_years
Allen County,12444,6313,6131,1328,1462,3523,3554,1462,1115,5863,5708,121,140,64,58,64,31,2,2,199,192,,,,,,,,,,,,,,,,,,
Anderson County,7878,3967,3911,964,1033,2092,2113,911,765,"3,813",3775,21,30,34,20,32,22,0,1,67,63,,,,,,,,,,,,,,,,,,
Atchison County,16193,8332,7861,1841,1940,4936,4697,1555,1224,"7,616",7108,386,426,54,59,49,55,4,4,223,209,,,,,,,,,,,,,,,,,,
Barber County,4472,2171,2301,481,543,1164,1257,526,501,"2,070",2185,15,26,28,33,15,8,1,0,42,49,,,,,,,,,,,,,,,,,,
Barton County,26111,13212,12899,3038,3169,7428,7458,2746,2272,"12,576",12238,262,254,113,124,43,25,12,5,206,253,,,,,,,,,,,,,,,,,,
Bourbon County,14653,7411,7242,1826,1938,3979,4021,1606,1283,"6,875",6613,164,303,65,68,107,69,2,4,198,185,,,,,,,,,,,,,,,,,,
Brown County,9598,4861,4737,1186,1238,2604,2602,1071,897,"4,167",4033,61,75,464,452,24,19,2,4,143,154,,,,,,,,,,,,,,,,,,
Butler County,66765,33171,33594,8331,8665,19243,20397,5597,4532,"31,043",30911,367,1076,356,381,489,403,35,32,881,791,26085,5417,16140,12,2332,2184,26982,7311,15618,179,1199,2675,388158,225425,6679,15177,5296,
Chase County,2629,1291,1338,263,262,671,772,357,304,"1,258",1262,1,32,9,9,6,2,0,0,17,33,,,,,,,,,,,,,,,,,,
Chautauqua County,3309,1606,1703,309,349,836,930,461,424,"1,418",1506,13,26,99,95,2,1,1,1,73,74,,,,,,,,,,,,,,,,,,
Cherokee County,20015,10171,9844,2254,2356,5811,5731,2106,1757,"9,162",8822,71,96,431,418,49,49,31,21,427,438,,,,,,,,,,,,,,,,,,
Cheyenne County,2660,1312,1348,244,323,665,711,403,314,"1,255",1305,1,10,4,5,38,17,0,0,14,11,,,,,,,,,,,,,,,,,,
Clark County,2005,1010,995,229,254,530,552,251,189,954,939,2,6,11,15,10,16,0,2,33,17,,,,,,,,,,,,,,,,,,
Clay County,7997,3996,4001,899,984,2087,2189,1010,828,"3,842",3834,28,47,28,23,28,14,2,5,68,78,,,,,,,,,,,,,,,,,,
Cloud County,8729,4399,4330,951,1001,2352,2540,1096,789,"4,211",4094,36,46,34,25,26,95,1,3,91,67,,,,,,,,,,,,,,,,,,
Coffey County,8233,4169,4064,883,913,2346,2325,940,826,"3,954",3895,41,33,48,35,49,29,0,1,77,71,,,,,,,,,,,,,,,,,,
Comanche County,1748,899,849,211,204,446,440,242,205,859,817,3,5,14,7,5,4,3,0,15,16,,,,,,,,,,,,,,,,,,
Cowley County,35218,17502,17716,4049,4270,9940,10539,3513,2907,"15,672",15580,406,608,383,423,365,326,81,104,595,675,,,,,,,,,,,,,,,,,,
Crawford County,39019,19445,19574,4044,4446,11958,12516,3443,2612,"17,802",17878,401,524,245,212,413,324,54,67,530,569,,,,,,,,,,,,,,,,,,
Decatur County,2871,1428,1443,259,299,729,776,440,368,"1,373",1404,15,12,9,5,7,1,0,0,24,21,,,,,,,,,,,,,,,,,,
Dickinson County,18717,9284,9433,2118,2321,5146,5434,2020,1678,"8,834",8863,82,138,78,99,71,50,4,14,215,269,,,,,,,,,,,,,,,,,,
Doniphan County,7682,3819,3863,829,797,2203,2351,787,715,"3,582",3532,75,179,48,56,26,11,0,0,88,85,,,,,,,,,,,,,,,,,,
Douglas County,121436,60916,60520,10668,11421,42053,42340,8195,6759,"51,260",50028,2546,3134,1605,1630,2921,3140,43,70,2541,2518,51936,22211,21618,132,2935,5040,51212,25140,21252,414,874,3532,299007,105995,8661,20948,13772,
Edwards County,2849,1400,1449,321,344,775,803,304,302,"1,308",1356,22,23,36,32,6,1,0,0,28,37,,,,,,,,,,,,,,,,,,
Elk County,2508,1241,1267,256,287,599,637,386,343,"1,169",1180,2,2,24,26,8,5,0,2,38,52,,,,,,,,,,,,,,,,,,
Ellis County,28710,14252,14458,2991,3207,8865,9231,2396,2020,"13,523",13637,133,239,65,63,280,253,4,13,247,253,,,,,,,,,,,,,,,,,,
Ellsworth County,6196,2693,3503,542,595,1458,2304,693,604,"2,596",3066,9,317,13,37,17,21,0,0,58,62,,,,,,,,,,,,,,,,,,
Finney County,36611,17767,18844,5379,5659,10248,11291,2140,1894,"16,008",16377,463,1023,217,262,789,853,24,26,266,303,,,,,,,,,,,,,,,,,,
Ford County,33888,16304,17584,4946,5267,9309,10574,2049,1743,"15,119",16129,347,594,258,290,292,234,37,46,251,291,,,,,,,,,,,,,,,,,,
Franklin County,25631,12846,12785,2967,3123,7566,7713,2313,1949,"12,221",12035,141,218,120,119,73,61,0,2,291,350,,,,,,,,,,,,,,,,,,
Geary County,32594,15378,17216,4869,5160,8905,10842,1604,1214,"10,596",11927,2741,3305,214,221,635,495,187,190,1005,1078,,,,,,,,,,,,,,,,,,
Gove County,2612,1297,1315,309,317,642,709,346,289,"1,263",1271,3,13,2,1,9,14,0,1,20,15,,,,,,,,,,,,,,,,,,
Graham County,2492,1256,1236,229,255,655,669,372,312,"1,144",1108,44,48,10,10,18,35,0,0,40,35,,,,,,,,,,,,,,,,,,
Grant County,7336,3652,3684,1101,1156,1989,2087,562,441,"3,452",3434,29,37,90,124,20,19,0,0,61,70,,,,,,,,,,,,,,,,,,
Gray County,6033,2996,3037,847,902,1668,1706,481,429,"2,879",2916,49,54,21,16,17,10,2,0,28,41,,,,,,,,,,,,,,,,,,
Greeley County,1227,639,588,167,152,331,323,141,113,623,575,5,2,4,6,2,2,0,0,5,3,,,,,,,,,,,,,,,,,,
Greenwood County,6055,3029,3026,643,674,1606,1623,780,729,"2,870",2865,16,24,52,50,16,7,0,0,75,80,,,,,,,,,,,,,,,,,,
Hamilton County,2607,1256,1351,342,407,735,758,179,186,"1,178",1246,27,41,21,32,2,3,0,6,28,23,,,,,,,,,,,,,,,,,,
Harper County,5506,2749,2757,655,717,1377,1490,717,550,"2,616",2618,18,14,39,39,16,11,3,11,57,64,,,,,,,,,,,,,,,,,,
Harvey County,34210,17317,16893,4030,4212,9577,9709,3710,2972,"16,255",15746,285,376,144,181,189,152,4,15,440,423,,,,,,,,,,,,,,,,,,
Haskell County,3997,1989,2008,532,593,1148,1133,309,282,"1,897",1917,7,21,28,27,22,13,5,1,30,29,,,,,,,,,,,,,,,,,,
Hodgeman County,1818,913,905,213,200,482,487,218,218,863,845,12,11,7,4,16,31,0,0,15,14,,,,,,,,,,,,,,,,,,
Jackson County,13280,6636,6644,1615,1693,3668,3774,1353,1177,"5,741",5733,33,88,580,543,42,35,3,2,237,243,,,,,,,,,,,,,,,,,,
Jefferson County,18975,9314,9661,2071,2257,5429,5680,1814,1724,"8,943",9251,52,92,87,103,27,21,10,10,195,184,,,,,,,,,,,,,,,,,,
Jewell County,2841,1389,1452,260,279,687,759,442,414,"1,352",1415,3,7,10,9,6,8,0,0,18,13,,,,,,,,,,,,,,,,,,
Johnson County,597555,304332,293223,71439,74204,184505,180684,48388,38335,"264,830",254148,14710,14824,1201,1160,15723,15266,105,157,7763,7668,245197,62445,135152,2115,17491,27994,232176,71512,135331,2290,3568,19475,41854,13078,57092,129790,60640,2552
Kearny County,3943,1976,1967,529,613,1088,1101,359,253,"1,850",1852,21,22,35,35,17,9,3,1,50,48,,,,,,,,,,,,,,,,,,
Kingman County,7310,3647,3663,754,850,2048,2073,845,740,"3,505",3522,18,15,30,38,28,17,1,1,65,70,,,,,,,,,,,,,,,,,,
Kiowa County,2516,1282,1234,303,271,683,707,296,256,"1,220",1165,11,18,10,9,21,16,1,1,19,25,,,,,,,,,,,,,,,,,,
Labette County,19964,10033,9931,2336,2456,5584,5776,2113,1699,"9,003",8766,363,468,231,240,47,49,6,5,383,403,,,,,,,,,,,,,,,,,,
Lane County,1560,772,788,156,189,420,428,196,171,728,738,7,12,11,9,4,1,0,1,22,27,,,,,,,,,,,,,,,,,,
Leavenworth County,81352,38083,43269,9453,9831,22288,28001,6342,5437,"33,081",35899,2654,4866,284,436,687,561,84,87,1293,1420,29661,5431,15702,600,2827,5101,35097,11247,17447,916,688,4799,68999,40117,6529,14821,7158,
Lincoln County,3023,1523,1500,325,354,803,802,395,344,"1,484",1438,5,17,5,19,8,6,0,0,21,20,,,,,,,,,,,,,,,,,,
Linn County,9750,4813,4937,1067,1122,2636,2745,1110,1070,"4,619",4730,28,56,35,39,22,12,2,5,107,95,,,,,,,,,,,,,,,,,,
Logan County,2844,1430,1414,332,353,757,810,341,251,"1,374",1353,10,18,8,8,9,15,0,0,29,20,,,,,,,,,,,,,,,,,,
Lyon County,33406,17183,16223,3639,3800,10751,10141,2793,2282,"15,507",14587,427,432,235,232,497,422,22,18,495,532,,,,,,,,,,,,,,,,,,
Marion County,28537,14545,13992,3271,3267,8095,8244,3179,2481,"13,895",13299,148,215,82,94,154,97,9,13,257,274,,,,,,,,,,,,,,,,,,
Marshall County,11950,6007,5943,1241,1291,3269,3366,1497,1286,"5,759",5661,49,85,53,45,32,18,2,7,112,127,,,,,,,,,,,,,,,,,,
McPherson County,9722,4881,4841,1149,1168,2603,2690,1129,983,"4,722",4670,16,34,35,30,29,14,3,2,76,91,,,,,,,,,,,,,,,,,,
Meade County,4146,2042,2104,489,572,1142,1144,411,388,"1,954",1999,17,28,21,30,24,15,0,0,26,32,,,,,,,,,,,,,,,,,,
Miami County,33680,16945,16735,4065,4192,9812,9980,3068,2563,"16,177",15923,191,284,142,127,117,70,4,11,314,320,,,,,,,,,,,,,,,,,,
Mitchell County,6150,3037,3113,708,725,1557,1710,772,678,"2,942",3008,4,12,13,19,35,23,6,5,37,46,,,,,,,,,,,,,,,,,,
Montgomery County,32120,16211,15909,3694,3941,8957,9139,3560,2829,"13,842",13372,766,935,565,590,131,172,18,27,889,813,,,,,,,,,,,,,,,,,,
Morris County,5521,2760,2761,557,575,1478,1546,725,640,"2,650",2648,17,18,18,17,23,8,0,2,52,68,,,,,,,,,,,,,,,,,,
Morton County,2667,1344,1323,320,327,722,757,302,239,"1,231",1217,17,25,25,29,26,25,3,3,42,24,,,,,,,,,,,,,,,,,,
Nemaha County,10155,5015,5140,1269,1370,2623,2845,1123,925,"4,859",4959,29,42,33,41,19,17,5,3,70,78,,,,,,,,,,,,,,,,,,
Neosho County,15951,8049,7902,1936,1993,4356,4502,1757,1407,"7,593",7421,96,123,120,121,55,56,6,4,179,177,,,,,,,,,,,,,,,,,,
Ness County,2840,1439,1401,319,300,712,774,408,327,"1,378",1355,10,13,27,13,4,2,0,0,20,18,,,,,,,,,,,,,,,,,,
Norton County,5430,2395,3035,516,524,1257,2021,622,490,"2,308",2777,15,173,7,15,13,27,2,0,50,43,,,,,,,,,,,,,,,,,,
Osage County,15941,7952,7989,1783,1941,4516,4538,1653,1510,"7,623",7671,36,71,61,57,60,20,3,5,169,165,,,,,,,,,,,,,,,,,,
Osborne County,3475,1719,1756,326,384,910,987,483,385,"1,649",1694,5,9,9,19,38,7,0,0,18,27,,,,,,,,,,,,,,,,,,
Ottawa County,5802,2793,3009,602,710,1578,1729,613,570,"2,697",2883,27,39,20,23,9,8,0,0,40,56,,,,,,,,,,,,,,,,,,
Pawnee County,6562,2879,3683,463,616,1665,2441,751,626,"2,687",3243,75,292,22,44,11,20,3,3,81,81,,,,,,,,,,,,,,,,,,
Phillips County,5317,2679,2638,579,620,1419,1428,681,590,"2,582",2555,8,15,18,14,29,19,0,0,42,35,,,,,,,,,,,,,,,,,,
Pottawatomie County,24277,12214,12063,3517,3556,6824,6917,1873,1590,"11,510",11361,130,157,110,124,139,98,15,14,310,309,,,,,,,,,,,,,,,,,,
Pratt County,9378,4740,4638,1130,1183,2550,2620,1060,835,"4,458",4360,62,94,57,47,56,33,3,1,104,103,,,,,,,,,,,,,,,,,,
Rawlins County,2508,1241,1267,252,274,609,673,380,320,"1,197",1219,8,14,10,1,9,3,1,0,16,30,,,,,,,,,,,,,,,,,,
Reno County,62342,31038,31304,6830,7139,17284,18769,6924,5396,"29,172",28614,645,1443,241,304,179,162,11,27,790,754,,,,,,,,,,,,,,,,,,
Republic County,4664,2359,2305,470,498,1184,1218,705,589,"2,278",2227,19,21,9,9,13,16,1,0,39,32,,,,,,,,,,,,,,,,,,
Rice County,9531,4771,4760,1087,1079,2640,2882,1044,799,"4,490",4420,52,98,47,77,67,38,3,5,112,122,,,,,,,,,,,,,,,,,,
Riley County,73703,35028,38675,6056,6225,25116,29297,3856,3153,"29,410",32240,2114,2885,256,249,1902,1825,74,146,1272,1330,30074,14155,10466,183,1195,4075,33446,20075,10622,857,736,1156,52164,16693,3631,9596,9340,
