"GEO_ID","id",
"NAME","Geographic Area Name",
"DP02_0001E","Estimate!!HOUSEHOLDS BY TYPE!!Total households",
"DP02_0001M","Margin of Error!!HOUSEHOLDS BY TYPE!!Total households",
"DP02_0001PE","Percent Estimate!!HOUSEHOLDS BY TYPE!!Total households",
"DP02_0001PM","Percent Margin of Error!!HOUSEHOLDS BY TYPE!!Total households",
"DP02_0002E","Estimate!!HOUSEHOLDS BY TYPE!!Total households!!Family households (families)",
"DP02_0002M","Margin of Error!!HOUSEHOLDS BY TYPE!!Total households!!Family households (families)",
"DP02_0002PE","Percent Estimate!!HOUSEHOLDS BY TYPE!!Total households!!Family households (families)",
"DP02_0002PM","Percent Margin of Error!!HOUSEHOLDS BY TYPE!!Total households!!Family households (families)",
"DP02_0003E","Estimate!!HOUSEHOLDS BY TYPE!!Total households!!Family households (families)!!With own children of the householder under 18 years",
"DP02_0003M","Margin of Error!!HOUSEHOLDS BY TYPE!!Total households!!Family households (families)!!With own children of the householder under 18 years",
"DP02_0003PE","Percent Estimate!!HOUSEHOLDS BY TYPE!!Total households!!Family households (families)!!With own children of the householder under 18 years",
"DP02_0003PM","Percent Margin of Error!!HOUSEHOLDS BY TYPE!!Total households!!Family households (families)!!With own children of the householder under 18 years",
"DP02_0004E","Estimate!!HOUSEHOLDS BY TYPE!!Total households!!Family households (families)!!Married-couple family",
"DP02_0004M","Margin of Error!!HOUSEHOLDS BY TYPE!!Total households!!Family households (families)!!Married-couple family",
"DP02_0004PE","Percent Estimate!!HOUSEHOLDS BY TYPE!!Total households!!Family households (families)!!Married-couple family",
"DP02_0004PM","Percent Margin of Error!!HOUSEHOLDS BY TYPE!!Total households!!Family households (families)!!Married-couple family",
"DP02_0005E","Estimate!!HOUSEHOLDS BY TYPE!!Total households!!Family households (families)!!Married-couple family!!With own children of the householder under 18 years",
"DP02_0005M","Margin of Error!!HOUSEHOLDS BY TYPE!!Total households!!Family households (families)!!Married-couple family!!With own children of the householder under 18 years",
"DP02_0005PE","Percent Estimate!!HOUSEHOLDS BY TYPE!!Total households!!Family households (families)!!Married-couple family!!With own children of the householder under 18 years",
"DP02_0005PM","Percent Margin of Error!!HOUSEHOLDS BY TYPE!!Total households!!Family households (families)!!Married-couple family!!With own children of the householder under 18 years",
"DP02_0006E","Estimate!!HOUSEHOLDS BY TYPE!!Total households!!Family households (families)!!Male householder, no wife present, family",
"DP02_0006M","Margin of Error!!HOUSEHOLDS BY TYPE!!Total households!!Family households (families)!!Male householder, no wife present, family",
"DP02_0006PE","Percent Estimate!!HOUSEHOLDS BY TYPE!!Total households!!Family households (families)!!Male householder, no wife present, family",
"DP02_0006PM","Percent Margin of Error!!HOUSEHOLDS BY TYPE!!Total households!!Family households (families)!!Male householder, no wife present, family",
"DP02_0007E","Estimate!!HOUSEHOLDS BY TYPE!!Total households!!Family households (families)!!Male householder, no wife present, family!!With own children of the householder under 18 years",
