GEO.id,Id
GEO.id2,Id2
GEO.display-label,Geography
cen42010sex0_age999,"April 1, 2010 - Census - Both Sexes; Total"
cen42010sex1_age999,"April 1, 2010 - Census - Male; Total"
cen42010sex2_age999,"April 1, 2010 - Census - Female; Total"
est42010sex0_age999,"April 1, 2010 - Estimates Base - Both Sexes; Total"
est42010sex1_age999,"April 1, 2010 - Estimates Base - Male; Total"
est42010sex2_age999,"April 1, 2010 - Estimates Base - Female; Total"
est72010sex0_age999,Population Estimate (as of July 1) - 2010 - Both Sexes; Total
est72010sex1_age999,Population Estimate (as of July 1) - 2010 - Male; Total
est72010sex2_age999,Population Estimate (as of July 1) - 2010 - Female; Total
est72011sex0_age999,Population Estimate (as of July 1) - 2011 - Both Sexes; Total
est72011sex1_age999,Population Estimate (as of July 1) - 2011 - Male; Total
est72011sex2_age999,Population Estimate (as of July 1) - 2011 - Female; Total
est72012sex0_age999,Population Estimate (as of July 1) - 2012 - Both Sexes; Total
est72012sex1_age999,Population Estimate (as of July 1) - 2012 - Male; Total
est72012sex2_age999,Population Estimate (as of July 1) - 2012 - Female; Total
est72013sex0_age999,Population Estimate (as of July 1) - 2013 - Both Sexes; Total
est72013sex1_age999,Population Estimate (as of July 1) - 2013 - Male; Total
est72013sex2_age999,Population Estimate (as of July 1) - 2013 - Female; Total
est72014sex0_age999,Population Estimate (as of July 1) - 2014 - Both Sexes; Total
est72014sex1_age999,Population Estimate (as of July 1) - 2014 - Male; Total
est72014sex2_age999,Population Estimate (as of July 1) - 2014 - Females; Total
est72015sex0_age999,Population Estimate (as of July 1) - 2015 - Both Sexes; Total
est72015sex1_age999,Population Estimate (as of July 1) - 2015 - Male; Total
est72015sex2_age999,Population Estimate (as of July 1) - 2015 - Female; Total
est72016sex0_age999,Population Estimate (as of July 1) - 2016 - Both Sexes; Total
est72016sex1_age999,Population Estimate (as of July 1) - 2016 - Male; Total
est72016sex2_age999,Population Estimate (as of July 1) - 2016 - Female; Total
est72017sex0_age999,Population Estimate (as of July 1) - 2017 - Both Sexes; Total
est72017sex1_age999,Population Estimate (as of July 1) - 2017 - Male; Total
est72017sex2_age999,Population Estimate (as of July 1) - 2017 - Female; Total
est72018sex0_age999,Population Estimate (as of July 1) - 2018 - Both Sexes; Total
est72018sex1_age999,Population Estimate (as of July 1) - 2018 - Male; Total
est72018sex2_age999,Population Estimate (as of July 1) - 2018 - Female; Total
cen42010sex0_age0to4,"April 1, 2010 - Census - Both Sexes; Total - Under 5 years"
cen42010sex1_age0to4,"April 1, 2010 - Census - Male; Total - Under 5 years"
