"SERIESCODE","INDUSTRY_TITLE","WORKER_TYPE","AREATYPE","AREA","AREANAME","YEAR","JAN","FEB","MAR","APR","MAY","JUN","JUL","AUG","SEP","OCT","NOV","DEC","ANNUAL"  
"20000000","Construction","Production Workers","01","000036","New York State",2007,1010.98,1005.48,1048.04,1033.62,1076.8,1068.98,1072.08,1046.43,1068.83,1049.9,1057.6,1055.67,1050.95                                                      
"20000000","Construction","Production Workers","01","000036","New York State",2008,1069.36,1048.7,1063.14,1039.88,1044.89,1042.02,1048.77,1041.04,1061.45,1041.76,1047.28,1019.73,1047.55                                                    
"20000000","Construction","Production Workers","01","000036","New York State",2009,1013.57,1008.75,1027,1014.58,1054.12,1032.75,1095.81,1073.85,1039.6,1063.52,1082.34,1085.76,1049.95                                                       
"20000000","Construction","Production Workers","01","000036","New York State",2010,1067.25,1000,1066.41,1065.75,1066.13,1074.28,1105.95,1136.58,1082.66,1107.41,1112.45,1092.75,1083.57                                                      
"20000000","Construction","Production Workers","01","000036","New York State",2011,1009.51,1011.1,1033.21,1041.49,1045.08,1065.36,1083.68,1083.65,1065.52,1091.17,1120.74,1102.76,1065.9                                                     
"20000000","Construction","Production Workers","01","000036","New York State",2012,1078.92,1102.81,1117.2,1099.88,1108.56,1136.64,1135.51,1160.84,1181.1,1179.52,1186.7,1216.97,1142.69                                                      
"20000000","Construction","Production Workers","01","000036","New York State",2013,1203.93,1178.59,1187.25,1232.04,1235.01,1203.79,1250.87,1255.52,1256.02,1232.66,1225.69,1207.34,1223.74                                                   
"20000000","Construction","Production Workers","01","000036","New York State",2014,1252.96,1213.54,1252.69,1277.69,1279.98,1235.76,1258.91,1291.03,1339.05,1303.77,1292.01,1259.62,1272.44                                                   
"20000000","Construction","Production Workers","01","000036","New York State",2015,1258.88,1175.41,1299.98,1319.4,1364.42,1379.01,1389.26,1386.11,1332.19,1420.77,1411.2,1455.64,1353.6                                                      
"20000000","Construction","Production Workers","01","000036","New York State",2016,1394.6,1306.08,1447.24,1414.8,1384.97,1369.53,1381.1,1387.81,1412.46,1359,1299.41,1306.66,1370.46                                                         
"20000000","Construction","Production Workers","01","000036","New York State",2017,1262.96,1229.85,1228.08,1258.52,1285.79,1283.53,1277.34,1323.9,1327.54,1311.38,1309.44,1306.66,1286.34                                                    
"20000000","Construction","Production Workers","01","000036","New York State",2018,1251.64,1331.26,1318.77,1338.08,1363.22,1345.58,1365.89,1369.87,1342.29,1425.71,1345.06,1430.52,1353                                                      
"20000000","Construction","Production Workers","01","000036","New York State",2019,1401.01,1373.5,1435.02,1425.71,1405.44,1370.84,1376.38,1422.46,1419.6,1357.78,1333.68,1322.39,1386.46                                                     
"20000000","Construction","Production Workers","01","000036","New York State",2020,1341.12,,,,,,,,,,,,                                                                                                                                       
"20236000","Construction of Buildings","Production Workers","01","000036","New York State",2007,916.61,935.7,909.95,954.82,965.6,923.44,938.25,941.8,959.23,944.01,942.48,907.17,936.51                                                      
