"SERIESCODE","INDUSTRY_TITLE","WORKER_TYPE","AREATYPE","AREA","AREANAME","YEAR","JAN","FEB","MAR","APR","MAY","JUN","JUL","AUG","SEP","OCT","NOV","DEC","ANNUAL"  
"20000000","Construction","Production Workers","01","000036","New York State",2007,37.1,36,38,37.6,39.4,39.2,38.9,38.5,38.6,38.5,38.5,38.5,38.3                                                                                              
"20000000","Construction","Production Workers","01","000036","New York State",2008,38.9,38.4,38.9,37.8,38.5,39.1,38.7,38.6,38.5,38.3,38,36.8,38.4                                                                                            
"20000000","Construction","Production Workers","01","000036","New York State",2009,37.1,37.1,37.4,36.8,38,37.5,38.9,38.6,36.8,37.7,38.6,37.7,37.7                                                                                            
"20000000","Construction","Production Workers","01","000036","New York State",2010,37.5,35.1,36.9,37.5,37.5,37.8,37.3,38,36.8,37.4,37.8,37.5,37.3                                                                                            
"20000000","Construction","Production Workers","01","000036","New York State",2011,35.9,37.2,37.3,37.9,38.1,38.6,38.8,38.4,38,38.3,38.5,38,38                                                                                                
"20000000","Construction","Production Workers","01","000036","New York State",2012,37,37.6,38,37.5,37.2,38.4,37.8,37.8,38.1,38,37.4,37.9,37.7                                                                                                
"20000000","Construction","Production Workers","01","000036","New York State",2013,37.8,36.5,36.7,37.7,38.2,37.2,38.5,38,38.2,37.8,37.9,37.6,37.7                                                                                            
"20000000","Construction","Production Workers","01","000036","New York State",2014,38.2,37.1,37.8,38.3,38.6,38,38.7,38.7,39.5,38.2,37.9,37.3,38.2                                                                                            
"20000000","Construction","Production Workers","01","000036","New York State",2015,37.4,35.5,38,38.5,39.4,38.9,39.3,39.3,37.9,39,38.4,38.9,38.4                                                                                              
"20000000","Construction","Production Workers","01","000036","New York State",2016,38,36,38.8,38.3,38.6,38.6,38.3,38.2,38.9,37.5,36.8,37.1,37.9                                                                                              
"20000000","Construction","Production Workers","01","000036","New York State",2017,35.9,35.3,34.4,36.3,36.8,37,36.6,37.6,37.8,37.5,37.2,37.1,36.7                                                                                            
