"AREA", "YEAR", "MONTH","LABORFORCE","EMP","UNEMP","UNEMPRATE"                                                                                                                                                                        
"Albany-Schenectady-Troy Metro Area","2020","01",456000,437600,18400,4                                                                                                                                                                
"Albany-Schenectady-Troy Metro Area","2019","00",448100,431700,16400,3.7                                                                                                                                                              
"Albany-Schenectady-Troy Metro Area","2019","01",446600,427500,19100,4.3                                                                                                                                                              
"Albany-Schenectady-Troy Metro Area","2019","02",446900,428100,18800,4.2                                                                                                                                                              
"Albany-Schenectady-Troy Metro Area","2019","03",446400,429000,17300,3.9                                                                                                                                                              
"Albany-Schenectady-Troy Metro Area","2019","04",444400,429600,14700,3.3                                                                                                                                                              
"Albany-Schenectady-Troy Metro Area","2019","05",444500,429800,14600,3.3                                                                                                                                                              
"Albany-Schenectady-Troy Metro Area","2019","06",449800,434000,15800,3.5                                                                                                                                                              
"Albany-Schenectady-Troy Metro Area","2019","07",449300,432300,17000,3.8                                                                                                                                                              
"Albany-Schenectady-Troy Metro Area","2019","08",448200,431400,16800,3.8                                                                                                                                                              
"Albany-Schenectady-Troy Metro Area","2019","09",448200,432800,15400,3.4                                                                                                                                                              
"Albany-Schenectady-Troy Metro Area","2019","10",451800,436300,15600,3.4                                                                                                                                                              
"Albany-Schenectady-Troy Metro Area","2019","11",451700,436400,15300,3.4                                                                                                                                                              
"Albany-Schenectady-Troy Metro Area","2019","12",449700,433100,16600,3.7                                                                                                                                                              
"Albany-Schenectady-Troy Metro Area","2018","00",450300,433300,17000,3.8                                                                                                                                                              
"Albany-Schenectady-Troy Metro Area","2018","01",441500,420000,21500,4.9                                                                                                                                                              
"Albany-Schenectady-Troy Metro Area","2018","02",446800,424900,21800,4.9                                                                                                                                                              
"Albany-Schenectady-Troy Metro Area","2018","03",446800,427400,19300,4.3                                                                                                                                                              
"Albany-Schenectady-Troy Metro Area","2018","04",446400,429500,17000,3.8                                                                                                                                                              
"Albany-Schenectady-Troy Metro Area","2018","05",448700,433400,15200,3.4                                                                                                                                                              
"Albany-Schenectady-Troy Metro Area","2018","06",456600,439200,17300,3.8                                                                                                                                                              
"Albany-Schenectady-Troy Metro Area","2018","07",455100,438400,16700,3.7                                                                                                                                                              
"Albany-Schenectady-Troy Metro Area","2018","08",449900,434300,15700,3.5                                                                                                                                                              
"Albany-Schenectady-Troy Metro Area","2018","09",449100,434200,14900,3.3                                                                                                                                                              
