"AREA", "YEAR", "MONTH","LABORFORCE","EMP","UNEMP","UNEMPRATE"                                                                                                                                                                        
"BALANCE OF STATE","2020","01",5500600,5251300,249300,4.5                                                                                                                                                                             
"BALANCE OF STATE","2019","00",5445200,5229100,216100,4                                                                                                                                                                               
"BALANCE OF STATE","2019","01",5421300,5171100,250100,4.6                                                                                                                                                                             
"BALANCE OF STATE","2019","02",5423100,5177200,245900,4.5                                                                                                                                                                             
"BALANCE OF STATE","2019","03",5424800,5199100,225600,4.2                                                                                                                                                                             
"BALANCE OF STATE","2019","04",5386700,5195200,191500,3.6                                                                                                                                                                             
"BALANCE OF STATE","2019","05",5404700,5214600,190100,3.5                                                                                                                                                                             
"BALANCE OF STATE","2019","06",5484100,5279000,205100,3.7                                                                                                                                                                             
"BALANCE OF STATE","2019","07",5514700,5288800,225800,4.1                                                                                                                                                                             
"BALANCE OF STATE","2019","08",5479000,5254500,224500,4.1                                                                                                                                                                             
"BALANCE OF STATE","2019","09",5449800,5249500,200300,3.7                                                                                                                                                                             
"BALANCE OF STATE","2019","10",5470300,5266800,203400,3.7                                                                                                                                                                             
"BALANCE OF STATE","2019","11",5445700,5240300,205400,3.8                                                                                                                                                                             
"BALANCE OF STATE","2019","12",5438300,5212300,225900,4.2                                                                                                                                                                             
"BALANCE OF STATE","2018","00",5441800,5219000,222800,4.1                                                                                                                                                                             
"BALANCE OF STATE","2018","01",5367200,5080900,286300,5.3                                                                                                                                                                             
"BALANCE OF STATE","2018","02",5405300,5112300,293000,5.4                                                                                                                                                                             
"BALANCE OF STATE","2018","03",5414800,5157000,257800,4.8                                                                                                                                                                             
"BALANCE OF STATE","2018","04",5409100,5184300,224900,4.2                                                                                                                                                                             
"BALANCE OF STATE","2018","05",5438500,5238300,200300,3.7                                                                                                                                                                             
"BALANCE OF STATE","2018","06",5529600,5308600,221000,4                                                                                                                                                                               
"BALANCE OF STATE","2018","07",5553100,5332300,220900,4                                                                                                                                                                               
"BALANCE OF STATE","2018","08",5463700,5252700,211000,3.9                                                                                                                                                                             
"BALANCE OF STATE","2018","09",5429500,5242100,187400,3.5                                                                                                                                                                             
"BALANCE OF STATE","2018","10",5449400,5266200,183200,3.4                                                                                                                                                                             
"BALANCE OF STATE","2018","11",5426500,5245700,180800,3.3                                                                                                                                                                             
"BALANCE OF STATE","2018","12",5414600,5207300,207300,3.8                                                                                                                                                                             
"BALANCE OF STATE","2017","00",5438300,5180600,257600,4.7                                                                                                                                                                             
"BALANCE OF STATE","2017","01",5379300,5090300,288900,5.4                                                                                                                                                                             
"BALANCE OF STATE","2017","02",5390500,5092900,297600,5.5                                                                                                                                                                             
"BALANCE OF STATE","2017","03",5432100,5169400,262700,4.8                                                                                                                                                                             
"BALANCE OF STATE","2017","04",5435900,5192800,243100,4.5                                                                                                                                                                             
"BALANCE OF STATE","2017","05",5438500,5197200,241300,4.4                                                                                                                                                                             
"BALANCE OF STATE","2017","06",5525300,5271800,253500,4.6                                                                                                                                                                             
"BALANCE OF STATE","2017","07",5540800,5274500,266300,4.8                                                                                                                                                                             
"BALANCE OF STATE","2017","08",5485100,5219000,266100,4.9                                                                                                                                                                             
"BALANCE OF STATE","2017","09",5464900,5219300,245600,4.5                                                                                                                                                                             
"BALANCE OF STATE","2017","10",5416100,5180500,235600,4.4                                                                                                                                                                             
"BALANCE OF STATE","2017","11",5392700,5151000,241800,4.5                                                                                                                                                                             
"BALANCE OF STATE","2017","12",5358000,5109000,249000,4.6                                                                                                                                                                             
"BALANCE OF STATE","2016","00",5436200,5186700,249500,4.6                                                                                                                                                                             
"BALANCE OF STATE","2016","01",5434900,5161900,273000,5                                                                                                                                                                               
"BALANCE OF STATE","2016","02",5438600,5159500,279100,5.1                                                                                                                                                                             
"BALANCE OF STATE","2016","03",5457200,5194100,263100,4.8                                                                                                                                                                             
"BALANCE OF STATE","2016","04",5426900,5188300,238600,4.4                                                                                                                                                                             
"BALANCE OF STATE","2016","05",5438100,5217200,220900,4.1                                                                                                                                                                             
"BALANCE OF STATE","2016","06",5503600,5262700,241000,4.4                                                                                                                                                                             
"BALANCE OF STATE","2016","07",5509000,5253200,255700,4.6                                                                                                                                                                             
"BALANCE OF STATE","2016","08",5465200,5211900,253300,4.6                                                                                                                                                                             
