"AREA", "YEAR", "MONTH","LABORFORCE","EMP","UNEMP","UNEMPRATE"                                                                                                                                                                        
"Albany-Rensselaer-Schenectady Counties","2020","01",319900,306900,12900,4                                                                                                                                                            
"Albany-Rensselaer-Schenectady Counties","2019","00",314600,302800,11700,3.7                                                                                                                                                          
"Albany-Rensselaer-Schenectady Counties","2019","01",312900,299600,13300,4.3                                                                                                                                                          
"Albany-Rensselaer-Schenectady Counties","2019","02",313400,300200,13200,4.2                                                                                                                                                          
"Albany-Rensselaer-Schenectady Counties","2019","03",313300,301100,12200,3.9                                                                                                                                                          
"Albany-Rensselaer-Schenectady Counties","2019","04",311900,301500,10500,3.4                                                                                                                                                          
"Albany-Rensselaer-Schenectady Counties","2019","05",312300,301800,10500,3.4                                                                                                                                                          
"Albany-Rensselaer-Schenectady Counties","2019","06",316000,304500,11500,3.6                                                                                                                                                          
"Albany-Rensselaer-Schenectady Counties","2019","07",315600,303200,12400,3.9                                                                                                                                                          
"Albany-Rensselaer-Schenectady Counties","2019","08",314900,302600,12300,3.9                                                                                                                                                          
"Albany-Rensselaer-Schenectady Counties","2019","09",314600,303500,11100,3.5                                                                                                                                                          
"Albany-Rensselaer-Schenectady Counties","2019","10",317300,306100,11200,3.5                                                                                                                                                          
"Albany-Rensselaer-Schenectady Counties","2019","11",317100,306100,10900,3.5                                                                                                                                                          
"Albany-Rensselaer-Schenectady Counties","2019","12",315500,303800,11700,3.7                                                                                                                                                          
"Albany-Rensselaer-Schenectady Counties","2018","00",316500,304400,12100,3.8                                                                                                                                                          
"Albany-Rensselaer-Schenectady Counties","2018","01",309900,294900,15000,4.9                                                                                                                                                          
"Albany-Rensselaer-Schenectady Counties","2018","02",313600,298400,15200,4.8                                                                                                                                                          
"Albany-Rensselaer-Schenectady Counties","2018","03",313900,300400,13500,4.3                                                                                                                                                          
"Albany-Rensselaer-Schenectady Counties","2018","04",313700,301800,12000,3.8                                                                                                                                                          
"Albany-Rensselaer-Schenectady Counties","2018","05",315700,304800,10900,3.4                                                                                                                                                          
"Albany-Rensselaer-Schenectady Counties","2018","06",321300,308800,12500,3.9                                                                                                                                                          
"Albany-Rensselaer-Schenectady Counties","2018","07",320200,308100,12100,3.8                                                                                                                                                          
"Albany-Rensselaer-Schenectady Counties","2018","08",316700,305200,11400,3.6                                                                                                                                                          
"Albany-Rensselaer-Schenectady Counties","2018","09",315800,305100,10700,3.4                                                                                                                                                          
"Albany-Rensselaer-Schenectady Counties","2018","10",320500,310200,10300,3.2                                                                                                                                                          
"Albany-Rensselaer-Schenectady Counties","2018","11",318600,308500,10100,3.2                                                                                                                                                          
"Albany-Rensselaer-Schenectady Counties","2018","12",318100,307000,11000,3.5                                                                                                                                                          
