,Area_name,Civilian_labor_force_2018,Employed_2018,Unemployed_2018,Unemployment_rate_2018,Median_Household_Income_2018,Med_HH_Income_Percent_of_State_Total_2018,"Less than a high school diploma, 2014-18","High school diploma only, 2014-18","Some college or associate's degree, 2014-18","Bachelor's degree or higher, 2014-18","Percent of adults with less than a high school diploma, 2014-18","Percent of adults with a high school diploma only, 2014-18","Percent of adults completing some college or associate's degree, 2014-18","Percent of adults with a bachelor's degree or higher, 2014-18",POVALL_2018,CI90LBAll_2018,CI90UBALL_2018,PCTPOVALL_2018,CI90LBALLP_2018,CI90UBALLP_2018,POV017_2018,CI90LB017_2018,CI90UB017_2018,PCTPOV017_2018,CI90LB017P_2018,CI90UB017P_2018,POV517_2018,CI90LB517_2018,CI90UB517_2018,PCTPOV517_2018,CI90LB517P_2018,CI90UB517P_2018,MEDHHINC_2018,CI90LBINC_2018,CI90UBINC_2018
0,"Albany County, NY",158835.0,152991.0,5844.0,3.7,64536.0,95.3997,15030.0,49310.0,55746.0,84423.0,7.3,24.1,27.3,41.3,32888,28323,37453,11.3,9.7,12.9,8462,6887,10037,15.3,12.5,18.1,6074,4902,7246,15.2,12.3,18.1,64536,60620,68452
1,"Allegany County, NY",19461.0,18365.0,1096.0,5.6,46262.0,68.3864,3023.0,11052.0,9978.0,6102.0,10.0,36.7,33.1,20.2,7161,5972,8350,17.0,14.2,19.8,2093,1606,2580,22.8,17.5,28.1,1399,1022,1776,20.8,15.2,26.4,46262,43337,49187
2,"Bronx County, NY",605864.0,571545.0,34319.0,5.7,38566.0,57.0098,258956.0,255427.0,226620.0,183134.0,28.0,27.6,24.5,19.8,380470,362877,398063,27.3,26.0,28.6,130167,121162,139172,37.6,35.0,40.2,89883,83034,96732,36.5,33.7,39.3,38566,36826,40306
3,"Broome County, NY",84592.0,80477.0,4115.0,4.9,50928.0,75.2838,12313.0,40079.0,40084.0,36474.0,9.5,31.1,31.1,28.3,31406,27836,34976,17.3,15.3,19.3,8608,7102,10114,23.9,19.7,28.1,5919,4738,7100,22.7,18.2,27.2,50928,48379,53477
4,"Cattaraugus County, NY",34020.0,32200.0,1820.0,5.3,48017.0,70.9807,6110.0,20869.0,15915.0,10136.0,11.5,39.4,30.0,19.1,12711,11162,14260,17.1,15.0,19.2,4023,3330,4716,24.4,20.2,28.6,2757,2187,3327,22.5,17.8,27.2,48017,45370,50664
5,"Cayuga County, NY",35954.0,34344.0,1610.0,4.5,52945.0,78.2654,6812.0,18306.0,18015.0,12393.0,12.3,33.0,32.4,22.3,9509,7816,11202,13.0,10.7,15.3,2584,1936,3232,17.6,13.2,22.0,1805,1302,2308,16.7,12.0,21.4,52945,49303,56587
6,"Chautauqua County, NY",54993.0,52227.0,2766.0,5.0,45689.0,67.5393,9985.0,32222.0,28129.0,19522.0,11.1,35.9,31.3,21.7,22426,19678,25174,18.3,16.1,20.5,6857,5616,8098,27.0,22.1,31.9,4551,3602,5500,24.7,19.6,29.8,45689,43556,47822
7,"Chemung County, NY",35373.0,33724.0,1649.0,4.7,52565.0,77.7037,5789.0,21581.0,18254.0,14297.0,9.7,36.0,30.5,23.9,10856,8873,12839,13.5,11.0,16.0,3518,2569,4467,20.0,14.6,25.4,2320,1609,3031,18.0,12.5,23.5,52565,49456,55674
8,"Chenango County, NY",22416.0,21369.0,1047.0,4.7,50312.0,74.3732,4076.0,13439.0,10628.0,6315.0,11.8,39.0,30.8,18.3,7023,5817,8229,15.1,12.5,17.7,2135,1682,2588,22.3,17.6,27.0,1417,1061,1773,20.2,15.1,25.3,50312,46472,54152
9,"Clinton County, NY",36428.0,34831.0,1597.0,4.4,55517.0,82.0675,6658.0,20505.0,15203.0,12588.0,12.1,37.3,27.7,22.9,9779,7991,11567,13.2,10.8,15.6,2389,1834,2944,16.9,13.0,20.8,1646,1238,2054,16.1,12.1,20.1,55517,51644,59390
10,"Columbia County, NY",31426.0,30383.0,1043.0,3.3,64916.0,95.9614,4392.0,13918.0,13036.0,14260.0,9.6,30.5,28.6,31.3,6828,5681,7975,11.7,9.7,13.7,1622,1201,2043,16.4,12.2,20.6,1032,696,1368,13.9,9.4,18.4,64916,61889,67943
11,"Cortland County, NY",22927.0,21762.0,1165.0,5.1,51751.0,76.5004,2800.0,9850.0,9406.0,8106.0,9.3,32.7,31.2,26.9,7426,6275,8577,16.9,14.3,19.5,1657,1248,2066,18.4,13.9,22.9,1030,720,1340,15.9,11.1,20.7,51751,49475,54027
12,"Delaware County, NY",19244.0,18316.0,928.0,4.8,47382.0,70.042,3875.0,12386.0,9409.0,7218.0,11.8,37.7,28.6,21.9,6746,5577,7915,15.9,13.1,18.7,1885,1495,2275,26.2,20.8,31.6,1307,1002,1612,24.3,18.6,30.0,47382,44095,50669
13,"Dutchess County, NY",143934.0,138629.0,5305.0,3.7,79604.0,117.6738,19326.0,53655.0,59529.0,71955.0,9.5,26.2,29.1,35.2,25387,21921,28853,9.2,7.9,10.5,5914,4726,7102,11.0,8.8,13.2,4159,3264,5054,10.3,8.1,12.5,79604,76624,82584
14,"Erie County, NY",443446.0,423872.0,19574.0,4.4,56375.0,83.3358,55426.0,178600.0,193051.0,216636.0,8.6,27.7,30.0,33.7,122204,114368,130040,13.7,12.8,14.6,35354,31641,39067,19.2,17.2,21.2,23819,20988,26650,17.8,15.7,19.9,56375,55346,57404
15,"Essex County, NY",17078.0,16244.0,834.0,4.9,54376.0,80.3808,2546.0,9451.0,8814.0,7920.0,8.9,32.9,30.7,27.6,4150,3300,5000,11.7,9.3,14.1,945,688,1202,16.1,11.7,20.5,684,483,885,15.9,11.2,20.6,54376,51385,57367
16,"Franklin County, NY",19647.0,18633.0,1014.0,5.2,48722.0,72.0228,4702.0,13421.0,10631.0,6934.0,13.2,37.6,29.8,19.4,7404,6026,8782,16.7,13.6,19.8,2104,1604,2604,22.1,16.9,27.3,1420,1030,1810,20.0,14.5,25.5,48722,46093,51351
17,"Fulton County, NY",22877.0,21711.0,1166.0,5.1,51388.0,75.9638,4872.0,13795.0,13080.0,6853.0,12.6,35.7,33.9,17.8,6830,5498,8162,13.0,10.5,15.5,2069,1488,2650,19.8,14.2,25.4,1447,1001,1893,18.7,12.9,24.5,51388,47724,55052
