,AREA,TITLE,AVGEMP,TOTWAGE,ANNAVGSAL
0,Albany County,"Agriculture, Forestry, Fishing and Hunting",235,7986065,33983
1,Albany County,Crop Production,113,2056264,18197
2,Albany County,Greenhouse and Nursery Production,35,731776,20908
3,Albany County,Nursery and Floriculture Production,35,731776,20908
4,Albany County,Animal Production,119,5877335,49389
5,Albany County,Cattle Ranching and Farming,118,5757047,48789
6,Albany County,Dairy Cattle and Milk Production,107,5321284,49732
7,Albany County,Utilities,520,67500296,129808
8,Albany County,Power Generation and Supply,511,66498500,130134
9,Albany County,Electric Power Generation,77,9960513,129357
10,Albany County,Construction,7554,587817758,77815
11,Albany County,Construction of Buildings,2338,196539400,84063
12,Albany County,Residential Building Construction,693,31759891,45830
13,Albany County,New Single-Family Housing Construction,207,9749288,47098
14,Albany County,Residential Remodelers,462,21005874,45467
15,Albany County,Nonresidential Building Construction,1645,164779509,100170
16,Albany County,Industrial Building Construction,191,12940875,67753
17,Albany County,Commercial Building Construction,1455,151838634,104356
18,Albany County,Heavy and Civil Engineering Construction,607,53298717,87807
19,Albany County,Utility System Construction,152,11442176,75277
20,Albany County,Water and Sewer System Construction,53,4074211,76872
21,Albany County,Power/Communication System Construction,88,6678312,75890
22,Albany County,"Highway, Street, and Bridge Construction",412,39264604,95302
23,Albany County,Other Heavy Construction,39,2215214,56800
24,Albany County,Specialty Trade Contractors,4609,337979641,73330
25,Albany County,Building Foundation/Exterior Contractors,607,36748192,60541
26,Albany County,Poured Concrete Structure Contractors,56,4033542,72028
27,Albany County,Residential Poured Foundation Contractor,24,1007593,41983
28,Albany County,Steel and Precast Concrete Contractors,57,4005736,70276
29,Albany County,Nonresidential Structural Steel Contrs,49,3131823,63915
30,Albany County,Framing Contractors,34,1232327,36245
31,Albany County,Residential Framing Contractors,32,1171127,36598
32,Albany County,Masonry Contractors,50,2256020,45120
33,Albany County,Residential Masonry Contractors,39,1733100,44438
34,Albany County,Nonresidential Masonry Contractors,11,522920,47538
35,Albany County,Glass and Glazing Contractors,31,1481548,47792
36,Albany County,Residential Glass/Glazing Contractors,21,882317,42015
37,Albany County,Roofing Contractors,349,22176183,63542
38,Albany County,Residential Roofing Contractors,67,3387159,50555
39,Albany County,Nonresidential Roofing Contractors,282,18789024,66628
40,Albany County,Siding Contractors,15,801266,53418
41,Albany County,Residential Siding Contractors,15,801266,53418
42,Albany County,Other Building Exterior Contractors,15,761570,50771
43,Albany County,Building Equipment Contractors,2903,233787511,80533
44,Albany County,Electrical Contractors,1114,92386515,82932
45,Albany County,Residential Electrical Contractors,197,9599863,48730
46,Albany County,Nonresidential Electrical Contractors,917,82786652,90280
47,Albany County,Plumbing and HVAC Contractors,1592,121677607,76431
48,Albany County,Residential Plumbing/HVAC Contractors,619,36629193,59175
49,Albany County,Nonresidential Plumbing/HVAC Contractors,973,85048414,87408
50,Albany County,Other Building Equipment Contractors,198,19723389,99613
51,Albany County,Other Nonresidential Equipment Contrs,198,19723389,99613
52,Albany County,Building Finishing Contractors,487,25906275,53196
53,Albany County,Drywall and Insulation Contractors,131,7441057,56802
54,Albany County,Residential Drywall Contractors,47,2663835,56677
55,Albany County,Nonresidential Drywall Contractors,84,4777222,56872
56,Albany County,Painting and Wall Covering Contractors,70,2829260,40418
57,Albany County,Residential Painting Contractors,40,1281927,32048
58,Albany County,Nonresidential Painting Contractors,30,1547333,51578
59,Albany County,Flooring Contractors,84,5130009,61072
60,Albany County,Residential Flooring Contractors,28,894289,31939
61,Albany County,Nonresidential Flooring Contractors,56,4235720,75638
62,Albany County,Tile and Terrazzo Contractors,105,6459905,61523
63,Albany County,Residential Tile/Terrazzo Contractors,29,1101858,37995
64,Albany County,Nonresidential Tile/Terrazzo Contractors,76,5358047,70501
65,Albany County,Finish Carpentry Contractors,55,2230005,40546
66,Albany County,Residential Finish Carpentry Contractors,55,2230005,40546
67,Albany County,Other Building Finishing Contractors,41,1816039,44294
68,Albany County,Other Specialty Trade Contractors,612,41537663,67872
69,Albany County,Site Preparation Contractors,149,9300216,62418
70,Albany County,Residential Site Preparation Contractors,55,2592847,47143
71,Albany County,Nonresidential Site Preparation Contrs,94,6707369,71355
72,Albany County,All Other Specialty Trade Contractors,463,32237447,69627
73,Albany County,All Other Residential Trade Contractors,170,7883867,46376
74,Albany County,All Other Nonresidential Trade Contrs,294,24353580,82835
75,Albany County,NAICS 31-33: Manufacturing,7580,545438551,71958
76,Albany County,Food Manufacturing,887,47683619,53758
77,Albany County,Sugar/Confectionery Product Manufacture,34,1054058,31002
78,Albany County,Confectionery mfg. from cacao or chocolate,34,1054058,31002
79,Albany County,Confectionery mfg. from purchased chocolate,34,1054058,31002
80,Albany County,Animal Slaughtering and Processing,132,6034483,45716
81,Albany County,Retail Bakeries,81,1779500,21969
82,Albany County,Apparel Manufacturing,8,197663,24708
83,Albany County,Cut and Sew Apparel Manufacturing,3,40188,13396
84,Albany County,Wood Product Manufacturing,129,6107516,47345
85,Albany County,Sawmills and Wood Preservation,12,406961,33913
86,Albany County,Sawmills,11,391819,35620
87,Albany County,Other Wood Product Manufacturing,83,4047884,48770
88,Albany County,Wood Container and Pallet Manufacturing,24,989799,41242
89,Albany County,Paper Manufacturing,224,18198505,81243
90,Albany County,"Pulp, Paper, and Paperboard Mills",196,15991521,81589
91,Albany County,Paper Mills,196,15991521,81589
92,Albany County,Paper (except Newsprint) Mills,196,15991521,81589
93,Albany County,Printing and Related Support Activities,491,24470502,49838
94,Albany County,Printing,491,24470502,49838
95,Albany County,Commercial Gravure Printing,410,21364860,52109
96,Albany County,Commercial Screen Printing,81,3105642,38341
97,Albany County,Petroleum & Coal Products Manufacturing,12,511123,42594
98,Albany County,Asphalt Paving and Roofing Materials,12,511123,42594
99,Albany County,Asphalt Paving Mixture and Block,12,511123,42594
100,Albany County,Chemical Manufacturing,691,78227330,113209
101,Albany County,Basic Chemical Manufacturing,99,7917326,79973
102,Albany County,Industrial Gas Manufacturing,99,7917326,79973
103,Albany County,Plastics & Rubber Products Manufacturing,514,36812321,71619
104,Albany County,Plastics Product Manufacturing,441,33975962,77043
105,Albany County,Other Plastics Product Manufacturing,290,26547087,91542
106,Albany County,All Other Plastics Product Manufacturing,290,26547087,91542
107,Albany County,Nonmetallic Mineral Product Mfg,896,70807986,79027
108,Albany County,Cement & Concrete Product Manufacturing,303,24733848,81630
109,Albany County,Ready-Mix Concrete Manufacturing,74,5097480,68885
110,Albany County,Other Nonmetallic Mineral Products,496,39971055,80587
111,Albany County,All Other Nonmetallic Mineral Products,358,27342639,76376
