Geographic Area Name;Estimate!!HOUSEHOLDS BY TYPE!!Total households;Estimate!!HOUSEHOLDS BY TYPE!!Total households!!Family households (families);Estimate!!HOUSEHOLDS BY TYPE!!Total households!!Family households (families)!!With own children of the householder under 18 years;Estimate!!HOUSEHOLDS BY TYPE!!Total households!!Family households (families)!!Married-couple family;Estimate!!HOUSEHOLDS BY TYPE!!Total households!!Family households (families)!!Married-couple family!!With own children of the householder under 18 years;"Estimate!!HOUSEHOLDS BY TYPE!!Total households!!Family households (families)!!Male householder, no wife present, family";"Estimate!!HOUSEHOLDS BY TYPE!!Total households!!Family households (families)!!Male householder, no wife present, family!!With own children of the householder under 18 years";"Estimate!!HOUSEHOLDS BY TYPE!!Total households!!Family households (families)!!Female householder, no husband present, family";"Estimate!!HOUSEHOLDS BY TYPE!!Total households!!Family households (families)!!Female householder, no husband present, family!!With own children of the householder under 18 years";Estimate!!HOUSEHOLDS BY TYPE!!Total households!!Nonfamily households;Estimate!!HOUSEHOLDS BY TYPE!!Total households!!Nonfamily households!!Householder living alone;Estimate!!HOUSEHOLDS BY TYPE!!Total households!!Nonfamily households!!Householder living alone!!65 years and over;Estimate!!HOUSEHOLDS BY TYPE!!Total households!!Households with one or more people under 18 years;Estimate!!HOUSEHOLDS BY TYPE!!Total households!!Households with one or more people 65 years and over;Estimate!!HOUSEHOLDS BY TYPE!!Total households!!Average household size;Estimate!!HOUSEHOLDS BY TYPE!!Total households!!Average family size;Estimate!!RELATIONSHIP!!Population in households;Estimate!!RELATIONSHIP!!Population in households!!Householder;Estimate!!RELATIONSHIP!!Population in households!!Spouse;Estimate!!RELATIONSHIP!!Population in households!!Child;Estimate!!RELATIONSHIP!!Population in households!!Other relatives;Estimate!!RELATIONSHIP!!Population in households!!Nonrelatives;Estimate!!RELATIONSHIP!!Population in households!!Nonrelatives!!Unmarried partner;Estimate!!MARITAL STATUS!!Males 15 years and over;Estimate!!MARITAL STATUS!!Males 15 years and over!!Never married;"Estimate!!MARITAL STATUS!!Males 15 years and over!!Now married, except separated";Estimate!!MARITAL STATUS!!Males 15 years and over!!Separated;Estimate!!MARITAL STATUS!!Males 15 years and over!!Widowed;Estimate!!MARITAL STATUS!!Males 15 years and over!!Divorced;Estimate!!MARITAL STATUS!!Females 15 years and over;Estimate!!MARITAL STATUS!!Females 15 years and over!!Never married;"Estimate!!MARITAL STATUS!!Females 15 years and over!!Now married, except separated";Estimate!!MARITAL STATUS!!Females 15 years and over!!Separated;Estimate!!MARITAL STATUS!!Females 15 years and over!!Widowed;Estimate!!MARITAL STATUS!!Females 15 years and over!!Divorced;Estimate!!SCHOOL ENROLLMENT!!Population 3 years and over enrolled in school;"Estimate!!SCHOOL ENROLLMENT!!Population 3 years and over enrolled in school!!Nursery school, preschool";Estimate!!SCHOOL ENROLLMENT!!Population 3 years and over enrolled in school!!Kindergarten;Estimate!!SCHOOL ENROLLMENT!!Population 3 years and over enrolled in school!!Elementary school (grades 1-8);Estimate!!SCHOOL ENROLLMENT!!Population 3 years and over enrolled in school!!High school (grades 9-12);Estimate!!SCHOOL ENROLLMENT!!Population 3 years and over enrolled in school!!College or graduate school;Estimate!!EDUCATIONAL ATTAINMENT!!Population 25 years and over;Estimate!!EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Less than 9th grade;"Estimate!!EDUCATIONAL ATTAINMENT!!Population 25 years and over!!9th to 12th grade, no diploma";Estimate!!EDUCATIONAL ATTAINMENT!!Population 25 years and over!!High school graduate (includes equivalency);"Estimate!!EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Some college, no degree";Estimate!!EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Associate's degree;Estimate!!EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Bachelor's degree;Estimate!!EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Graduate or professional degree;Estimate!!EDUCATIONAL ATTAINMENT!!Population 25 years and over!!High school graduate or higher;Estimate!!EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Bachelor's degree or higher;Estimate!!VETERAN STATUS!!Civilian population 18 years and over;Estimate!!VETERAN STATUS!!Civilian population 18 years and over!!Civilian veterans;Estimate!!DISABILITY STATUS OF THE CIVILIAN NONINSTITUTIONALIZED POPULATION!!Total Civilian Noninstitutionalized Population;Estimate!!DISABILITY STATUS OF THE CIVILIAN NONINSTITUTIONALIZED POPULATION!!Total Civilian Noninstitutionalized Population!!With a disability;Estimate!!DISABILITY STATUS OF THE CIVILIAN NONINSTITUTIONALIZED POPULATION!!Under 18 years;Estimate!!DISABILITY STATUS OF THE CIVILIAN NONINSTITUTIONALIZED POPULATION!!Under 18 years!!With a disability;Estimate!!DISABILITY STATUS OF THE CIVILIAN NONINSTITUTIONALIZED POPULATION!!18 to 64 years;Estimate!!DISABILITY STATUS OF THE CIVILIAN NONINSTITUTIONALIZED POPULATION!!18 to 64 years!!With a disability;Estimate!!DISABILITY STATUS OF THE CIVILIAN NONINSTITUTIONALIZED POPULATION!!65 years and over;Estimate!!DISABILITY STATUS OF THE CIVILIAN NONINSTITUTIONALIZED POPULATION!!65 years and over!!With a disability
"Morgan County, Alabama";45851;32627;12466;25649;9047;1943;731;5035;2688;13224;12005;5724;14890;14618;2.56;3.11;117555;45851;25587;34062;9341;2714;1998;47153;13901;27228;358;1032;4634;49547;10145;27033;1361;5418;5590;27914;1531;1920;12426;6416;5621;81376;4364;7615;23386;17692;7287;14437;6595;69397;21032;91991;7639;117677;17553;27075;712;70539;8673;20063;8168
"Kings County, California";43727;33774;17758;21115;10081;4443;2939;8216;4738;9953;7795;3217;20134;11581;3.15;3.53;137675;43727;20818;52916;11788;8426;4643;65894;30673;25380;2162;1602;6077;50991;16602;23787;1775;4427;4400;45741;2086;2505;18811;11046;11293;94303;11901;12537;23578;22992;9408;9483;4404;69865;13887;107225;11021;136372;15929;40773;1213;80771;8450;14828;6266
"Monterey County, California";126299;92949;41834;65529;29538;8232;3862;19188;8434;33350;27160;13076;49280;41270;3.31;3.87;418323;126299;65588;141751;59492;25193;7925;172183;75396;78404;3055;4543;10785;167442;59976;76663;3279;12610;14914;119314;5147;4645;50857;28314;30351;277909;50347;26328;58339;50166;23669;40932;28128;201234;69060;316814;16735;419413;37077;113954;3712;247035;15610;58424;17755
"Nevada County, California";41447;25779;7824;21080;5534;1820;968;2879;1322;15668;12486;6016;8249;18612;2.37;2.88;98436;41447;20865;24322;3343;8459;3236;41372;13551;20989;910;1317;4605;43917;8841;23535;568;3916;7057;18099;674;1448;8282;3965;3730;77506;1425;1688;13952;25105;6368;19825;9143;74393;28968;82395;7586;98472;14238;17003;665;54297;5459;27172;8114
"Shasta County, California";68198;45982;15460;32610;10031;4402;1716;8970;3713;22216;17809;8578;18933;25331;2.59;3.04;176848;68198;32319;45688;15999;14644;4324;72003;21050;36868;1396;3639;9050;75915;19098;35426;1504;9006;10881;41221;2594;1787;17604;8583;10653;127001;2890;11780;29514;39069;15532;17578;10638;112331;28216;141456;13218;178552;33347;38477;845;103762;16715;36313;15787
"Yuba County, California";26191;17889;8432;12483;5350;1723;598;3683;2484;8302;6750;2554;9300;6893;2.93;3.47;76634;26191;12588;25775;5844;6236;1910;30364;12113;13624;362;1425;2840;30003;8460;14092;608;2872;3971;21508;1170;1419;9313;5178;4428;49588;4569;5490;9999;15425;5903;5283;2919;39529;8202;54936;5092;75693;12330;21256;1243;45092;7570;9345;3517
"Douglas County, Colorado";125035;95944;47378;82851;40139;4741;2334;8352;4905;29091;23830;8298;49779;28643;2.73;3.13;341784;125035;82879;110098;11355;12417;6123;134497;34780;88281;750;1460;9226;137092;29415;84786;1001;6351;15539;93556;7708;4145;41092;24110;16501;228437;2481;2010;26979;43040;20576;87576;45775;223946;133351;252922;19792;341122;22763;88978;2244;212454;10622;39690;9897
"Fairfield County, Connecticut";345634;237407;105866;182303;78101;14902;6954;40202;20811;108227;90401;39760;113634;104987;2.68;3.24;925927;345634;182214;294567;54273;49239;17357;371918;130284;201712;4129;6832;28961;399442;122014;192932;6936;33311;44249;248141;16833;11259;98907;56847;64295;645814;34996;29086;133036;93435;42952;173054;139255;581732;312309;731700;30598;936043;85146;211965;7460;578717;39423;145361;38263
"Kent County, Delaware";67841;44907;17959;30283;10047;3307;1530;11317;6382;22934;18824;6654;20468;21484;2.55;3.10;172855;67841;30156;52375;11747;10736;6102;68394;25238;33337;1184;1766;6869;76088;23877;32446;2407;7234;10124;44294;2115;1770;19221;8253;12935;120156;5372;13978;39124;25423;8294;16233;11732;100806;27965;135455;16557;175018;27813;40500;2374;105484;16545;29034;8894
"New Castle County, Delaware";206351;131524;53063;95746;35670;10767;5192;25011;12201;74827;61765;20903;59371;60190;2.63;3.32;543105;206351;95373;169841;39642;31898;13742;220863;89377;104407;2995;6246;17838;239173;81880;104836;3315;18629;30513;137341;8991;6123;55047;28874;38306;387027;13727;17532;128386;62705;27594;80751;56332;355768;137083;438311;31636;550819;63207;120013;5462;345680;30627;85126;27118
"Nassau County, Florida";32624;23407;8140;18165;5892;1154;386;4088;1862;9217;7446;3679;8943;12265;2.60;3.07;84957;32624;18332;24878;5241;3882;2111;35272;10025;19047;802;853;4545;36428;7064;19609;1214;3657;4884;17900;1003;1103;7911;4272;3611;63850;1385;4310;20784;13992;5800;10942;6637;58155;17579;68114;9129;84648;14717;17088;1040;48961;7883;18599;5794
"St. Lucie County, Florida";118768;81576;28737;59732;18421;5316;2063;16528;8253;37192;29381;15447;34776;51626;2.68;3.18;318476;118768;59453;93327;25252;21676;7797;130004;40881;67797;1438;4735;15153;139001;33560;64954;3138;17095;20254;72487;3839;5233;26932;16810;19673;234067;10388;19738;72586;50170;27825;32705;20655;203941;53360;257842;23914;319117;47959;63065;2846;179633;20074;76419;25039
"Santa Rosa County, Florida";63891;50566;19345;38697;13033;4455;2381;7414;3931;13325;10284;3677;22071;19224;2.72;3.01;173741;63891;38911;49212;13676;8051;3296;74902;18436;43915;672;1432;10447;72051;13854;41329;1519;5670;9679;43664;3732;1993;17396;9388;11155;125827;1476;5308;35768;31005;16104;23389;12777;119043;36166;137482;25863;171523;23126;39281;1271;104338;10790;27904;11065
