GEO.display-label; Total; Total_Male; Total_Female;Total_age0to17;Male_age0to17;Female_age0to17;Total_age18to64;Male_age18to64;Female_age18to64;Total_age65plus;Male_age65plus;Female_age65plus;Total_age85plusr;Male_age85plusr;Female_age85plusr
"Autauga County, Alabama";55601;26995;28606;13163;6726;6437;33785;16482;17303;8653;3787;4866;871;329;542
"Baldwin County, Alabama";218022;105657;112365;47110;23810;23300;126341;61166;65175;44571;20681;23890;4304;1755;2549
"Barbour County, Alabama";24881;13133;11748;5192;2630;2562;14857;8414;6443;4832;2089;2743;472;148;324
"Bibb County, Alabama";22400;11921;10479;4587;2399;2188;14123;7895;6228;3690;1627;2063;363;108;255
"Blount County, Alabama";57840;28500;29340;13392;6707;6685;33900;17042;16858;10548;4751;5797;1032;371;661
"Bullock County, Alabama";10138;5527;4611;2137;1094;1043;6340;3717;2623;1661;716;945;184;53;131
"Butler County, Alabama";19680;9165;10515;4378;2319;2059;11307;5212;6095;3995;1634;2361;585;137;448
"Calhoun County, Alabama";114277;54914;59363;24695;12598;12097;69335;33731;35604;20247;8585;11662;2111;631;1480
"Chambers County, Alabama";33615;16093;17522;6992;3572;3420;20061;9733;10328;6562;2788;3774;749;198;551
"Cherokee County, Alabama";26032;12896;13136;4990;2533;2457;15062;7574;7488;5980;2789;3191;536;184;352
"Chilton County, Alabama";44153;21668;22485;10491;5224;5267;26251;13074;13177;7411;3370;4041;769;297;472
"Choctaw County, Alabama";12841;6070;6771;2567;1338;1229;7321;3445;3876;2953;1287;1666;353;132;221
"Clarke County, Alabama";23920;11328;12592;5195;2612;2583;13972;6629;7343;4753;2087;2666;592;189;403
"Clay County, Alabama";13275;6492;6783;2688;1413;1275;7836;3848;3988;2751;1231;1520;312;120;192
"Cleburne County, Alabama";14987;7421;7566;3412;1791;1621;8660;4313;4347;2915;1317;1598;339;107;232
"Coffee County, Alabama";51909;25521;26388;12280;6318;5962;30828;15357;15471;8801;3846;4955;970;316;654
"Colbert County, Alabama";54762;26259;28503;11370;5734;5636;32478;15778;16700;10914;4747;6167;1286;492;794
"Conecuh County, Alabama";12277;5881;6396;2550;1258;1292;6965;3361;3604;2762;1262;1500;325;137;188
"Coosa County, Alabama";10715;5399;5316;1777;931;846;6457;3301;3156;2481;1167;1314;270;101;169
"Covington County, Alabama";36986;17896;19090;8089;4138;3951;21107;10366;10741;7790;3392;4398;979;316;663
"Crenshaw County, Alabama";13824;6674;7150;3160;1633;1527;8035;3898;4137;2629;1143;1486;303;84;219
"Cullman County, Alabama";83442;41245;42197;18757;9554;9203;49239;24781;24458;15446;6910;8536;1450;530;920
"Dale County, Alabama";48956;24023;24933;11247;5750;5497;29439;14592;14847;8270;3681;4589;898;338;560
"Dallas County, Alabama";38310;17685;20625;9121;4625;4496;22268;10128;12140;6921;2932;3989;701;193;508
"DeKalb County, Alabama";71385;35428;35957;17188;8834;8354;41875;21065;20810;12322;5529;6793;1207;398;809
"Elmore County, Alabama";81887;39585;42302;18211;9284;8927;51276;24709;26567;12400;5592;6808;1164;361;803
"Escambia County, Alabama";36748;18628;18120;8219;4112;4107;21933;11733;10200;6596;2783;3813;683;218;465
"Etowah County, Alabama";102501;49653;52848;21997;11284;10713;61017;29882;31135;19487;8487;11000;1983;636;1347
"Fayette County, Alabama";16433;8023;8410;3472;1776;1696;9489;4727;4762;3472;1520;1952;340;116;224
"Franklin County, Alabama";31363;15823;15540;7695;3941;3754;18372;9531;8841;5296;2351;2945;565;209;356
"Geneva County, Alabama";26314;12846;13468;5768;2950;2818;15205;7513;7692;5341;2383;2958;578;200;378
"Greene County, Alabama";8233;3887;4346;1825;928;897;4571;2175;2396;1837;784;1053;241;75;166
"Hale County, Alabama";14726;7008;7718;3394;1779;1615;8503;3981;4522;2829;1248;1581;350;106;244
"Henry County, Alabama";17209;8300;8909;3547;1827;1720;9752;4762;4990;3910;1711;2199;423;113;310
"Houston County, Alabama";104722;50286;54436;24120;12513;11607;61963;29717;32246;18639;8056;10583;2037;685;1352
"Jackson County, Alabama";51736;25390;26346;10806;5654;5152;30557;15121;15436;10373;4615;5758;957;319;638
"Jefferson County, Alabama";659300;311591;347709;150071;76250;73821;404682;191924;212758;104547;43417;61130;13443;4158;9285
"Lamar County, Alabama";13844;6767;7077;2961;1515;1446;7885;3913;3972;2998;1339;1659;326;101;225
"Lauderdale County, Alabama";92387;44327;48060;18168;9232;8936;55656;27073;28583;18563;8022;10541;2095;694;1401
"Lawrence County, Alabama";32957;16047;16910;7115;3637;3478;19691;9664;10027;6151;2746;3405;558;187;371
"Lee County, Alabama";163941;80639;83302;34893;17839;17054;109567;54067;55500;19481;8733;10748;1801;623;1178
"Limestone County, Alabama";96174;48156;48018;21696;10961;10735;59870;30627;29243;14608;6568;8040;1391;442;949
"Lowndes County, Alabama";9974;4670;5304;2256;1120;1136;5838;2760;3078;1880;790;1090;215;61;154
"Macon County, Alabama";18439;8383;10056;3118;1572;1546;11565;5239;6326;3756;1572;2184;425;129;296
"Madison County, Alabama";366519;179074;187445;79966;40842;39124;231428;114090;117338;55125;24142;30983;6223;2299;3924
"Marengo County, Alabama";19066;8933;10133;4335;2143;2192;10994;5175;5819;3737;1615;2122;510;161;349
"Marion County, Alabama";29763;14686;15077;6183;3216;2967;17259;8689;8570;6321;2781;3540;701;230;471
"Marshall County, Alabama";96109;47502;48607;23936;12310;11626;55798;28113;27685;16375;7079;9296;1679;551;1128
"Mobile County, Alabama";413757;197077;216680;96711;48979;47732;250005;119243;130762;67041;28855;38186;7238;2389;4849
"Monroe County, Alabama";21067;10005;11062;4543;2315;2228;12249;5829;6420;4275;1861;2414;567;179;388
"Montgomery County, Alabama";225763;106522;119241;52774;26729;26045;138816;65532;73284;34173;14261;19912;4012;1359;2653
"Morgan County, Alabama";119089;58682;60407;27168;13926;13242;71118;35657;35461;20803;9099;11704;2190;762;1428
"Perry County, Alabama";9140;4281;4859;1942;1005;937;5424;2561;2863;1774;715;1059;235;67;168
"Pickens County, Alabama";19938;9948;9990;3921;2058;1863;12224;6167;6057;3793;1723;2070;430;159;271
"Pike County, Alabama";33338;16098;17240;6328;3284;3044;22023;10603;11420;4987;2211;2776;565;173;392
"Randolph County, Alabama";22725;11056;11669;4874;2499;2375;13226;6474;6752;4625;2083;2542;491;152;339
"Russell County, Alabama";57781;27745;30036;13968;7156;6812;35533;17141;18392;8280;3448;4832;893;240;653
"St. Clair County, Alabama";88690;44027;44663;20126;10463;9663;53826;26978;26848;14738;6586;8152;1301;464;837
"Shelby County, Alabama";215707;104270;111437;50645;25548;25097;131975;63992;67983;33087;14730;18357;3416;1228;2188
"Sumter County, Alabama";12691;5802;6889;2407;1212;1195;7998;3662;4336;2286;928;1358;360;93;267
"Talladega County, Alabama";79828;38580;41248;16918;8449;8469;48540;23688;24852;14370;6443;7927;1357;477;880
"Tallapoosa County, Alabama";40497;19632;20865;8369;4292;4077;23397;11338;12059;8731;4002;4729;814;330;484
"Tuscaloosa County, Alabama";208911;100589;108322;43761;22250;21511;137407;66372;71035;27743;11967;15776;3153;987;2166
"Walker County, Alabama";63711;31040;32671;14143;7212;6931;37257;18425;18832;12311;5403;6908;1067;369;698
"Washington County, Alabama";16378;8055;8323;3604;1853;1751;9644;4788;4856;3130;1414;1716;325;120;205
"Wilcox County, Alabama";10627;5056;5571;2525;1243;1282;6036;2890;3146;2066;923;1143;249;67;182
"Winston County, Alabama";23660;11655;12005;4833;2477;2356;13726;6889;6837;5101;2289;2812;553;180;373
"Aleutians East Borough, Alaska";3515;2374;1141;277;144;133;2914;2042;872;324;188;136;28;18;10
"Aleutians West Census Area, Alaska";5723;3750;1973;638;317;321;4691;3188;1503;394;245;149;21;11;10
"Anchorage Municipality, Alaska";291538;148384;143154;71339;36543;34796;187866;96609;91257;32333;15232;17101;3007;1100;1907
