id;geography; Total_population; Total_Male; Total_Female;Total_age0to17;Male_age0to17;Female_age0to17;Total_age18to64;Male_age18to64;Female_age18to64;Total_age65plus;Male_age65plus;Female_age65plus;Total_age85plusr;Male_age85plusr;Female_age85plusr;pop_density;Total households;Total households!!Family households (families);Total households!!Family households (families)!!With own children of the householder under 18 years;Total households!!Family households (families)!!Married-couple family;Total households!!Family households (families)!!Married-couple family!!With own children of the householder under 18 years;"Total households!!Family households (families)!!Male householder, no wife present, family";HOUSEHOLDS BY TYPE!!;"Total households!!Family households (families)!!Female householder, no husband present, family";"Total households!!Family households (families)!!Female householder, no husband present, family!!With own children of the householder under 18 years";Total households!!Nonfamily households;Total households!!Nonfamily households!!Householder living alone;Total households!!Nonfamily households!!Householder living alone!!65 years and over;Total households!!Households with one or more people under 18 years;Total households!!Households with one or more people 65 years and over;Total households!!Average household size;Total households!!Average family size;RELATIONSHIP!!Population in households;RELATIONSHIP!!Population in households!!Householder;RELATIONSHIP!!Population in households!!Spouse;RELATIONSHIP!!Population in households!!Child;RELATIONSHIP!!Population in households!!Other relatives;RELATIONSHIP!!Population in households!!Nonrelatives;RELATIONSHIP!!Population in households!!Nonrelatives!!Unmarried partner;MARITAL STATUS!!Males 15 years and over;MARITAL STATUS!!Males 15 years and over!!Never married;"MARITAL STATUS!!Males 15 years and over!!Now married, except separated";MARITAL STATUS!!Males 15 years and over!!Separated;MARITAL STATUS!!Males 15 years and over!!Widowed;MARITAL STATUS!!Males 15 years and over!!Divorced;MARITAL STATUS!!Females 15 years and over;MARITAL STATUS!!Females 15 years and over!!Never married;"MARITAL STATUS!!Females 15 years and over!!Now married, except separated";MARITAL STATUS!!Females 15 years and over!!Separated;MARITAL STATUS!!Females 15 years and over!!Widowed;MARITAL STATUS!!Females 15 years and over!!Divorced;SCHOOL ENROLLMENT!!Population 3 years and over enrolled in school;"SCHOOL ENROLLMENT!!Population 3 years and over enrolled in school!!Nursery school, preschool";SCHOOL ENROLLMENT!!Population 3 years and over enrolled in school!!Kindergarten;SCHOOL ENROLLMENT!!Population 3 years and over enrolled in school!!Elementary school (grades 1-8);SCHOOL ENROLLMENT!!Population 3 years and over enrolled in school!!High school (grades 9-12);SCHOOL ENROLLMENT!!Population 3 years and over enrolled in school!!College or graduate school;EDUCATIONAL ATTAINMENT!!Population 25 years and over;EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Less than 9th grade;"EDUCATIONAL ATTAINMENT!!Population 25 years and over!!9th to 12th grade, no diploma";EDUCATIONAL ATTAINMENT!!Population 25 years and over!!High school graduate (includes equivalency);"EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Some college, no degree";EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Associate's degree;EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Bachelor's degree;EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Graduate or professional degree;EDUCATIONAL ATTAINMENT!!Population 25 years and over!!High school graduate or higher;EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Bachelor's degree or higher;VETERAN STATUS!!Civilian population 18 years and over;VETERAN STATUS!!Civilian population 18 years and over!!Civilian veterans;DISABILITY STATUS OF THE CIVILIAN NONINSTITUTIONALIZED POPULATION!!Total Civilian Noninstitutionalized Population;DISABILITY STATUS OF THE CIVILIAN NONINSTITUTIONALIZED POPULATION!!Total Civilian Noninstitutionalized Population!!With a disability;DISABILITY STATUS OF THE CIVILIAN NONINSTITUTIONALIZED POPULATION!!Under 18 years;DISABILITY STATUS OF THE CIVILIAN NONINSTITUTIONALIZED POPULATION!!Under 18 years!!With a disability;DISABILITY STATUS OF THE CIVILIAN NONINSTITUTIONALIZED POPULATION!!18 to 64 years;DISABILITY STATUS OF THE CIVILIAN NONINSTITUTIONALIZED POPULATION!!18 to 64 years!!With a disability;DISABILITY STATUS OF THE CIVILIAN NONINSTITUTIONALIZED POPULATION!!65 years and over;DISABILITY STATUS OF THE CIVILIAN NONINSTITUTIONALIZED POPULATION!!65 years and over!!With a disability;TOT_POP;TOT_MALE;TOT_FEMALE;WA_MALE;WA_FEMALE;BA_MALE;BA_FEMALE;IA_MALE;IA_FEMALE;AA_MALE;AA_FEMALE;NA_MALE;NA_FEMALE;TOM_MALE;TOM_FEMALE;WAC_MALE;WAC_FEMALE;BAC_MALE;BAC_FEMALE;IAC_MALE;IAC_FEMALE;AAC_MALE;AAC_FEMALE;NAC_MALE;NAC_FEMALE;NH_MALE;NH_FEMALE;NHWA_MALE;NHWA_FEMALE;NHBA_MALE;NHBA_FEMALE;NHIA_MALE;NHIA_FEMALE;NHAA_MALE;NHAA_FEMALE;NHNA_MALE;NHNA_FEMALE;NHTOM_MALE;NHTOM_FEMALE;NHWAC_MALE;NHWAC_FEMALE;NHBAC_MALE;NHBAC_FEMALE;NHIAC_MALE;NHIAC_FEMALE;NHAAC_MALE;NHAAC_FEMALE;NHNAC_MALE;NHNAC_FEMALE;H_MALE;H_FEMALE;HWA_MALE;HWA_FEMALE;HBA_MALE;HBA_FEMALE;HIA_MALE;HIA_FEMALE;HAA_MALE;HAA_FEMALE;HNA_MALE;HNA_FEMALE;HTOM_MALE;HTOM_FEMALE;HWAC_MALE;HWAC_FEMALE;HBAC_MALE;HBAC_FEMALE;HIAC_MALE;HIAC_FEMALE;HAAC_MALE;HAAC_FEMALE;HNAC_MALE;HNAC_FEMALE
0;United States;327167434;161128679;166038755;73399342;37490849;35908493;201336899;100331012;101005887;52431193;23306818;29124375;6544503;2325693;4218810;"858066,023";102643122;66732004;28075249;48684480;19128123;5089136;2282206;12958388;6664920;35911118;28694271;10962136;31473908;30084341;0;0;271946728;102643122;48657420;82163499;20939139;17543548;6657118;110094663;41755401;53833911;1726618;2740402;10038331;116266269;36995577;53056212;2538426;9665158;14010896;69922486;4300436;3397087;27916769;14550764;19757430;189375341;9521422;12092059;47807883;37931739;16033669;40230341;25758228;167761860;65988569;214820799;14726230;274660819;32669277;62477387;2543061;170117259;16233351;42066173;13892865;326949912;161021917;165927995;123903806;126035474;20983172;22815923;2086789;2055614;9217613;10110071;404985;394057;4425552;4516856;127842935;130034025;22957572;24877753;3417117;3449540;10859310;11749936;798976;792509;130860039;136367289;97389327;100098498;19557960;21340761;1188864;1226848;8917791;9808512;294936;291269;3511161;3601401;100512871;103283120;21110347;22971098;2133575;2237717;10307597;11196044;603213;604708;30161878;29560706;26514479;25936976;1425212;1475162;897925;828766;299822;301559;110049;102788;914391;915455;27330064;26750905;1847225;1906655;1283542;1211823;551713;553892;195763;187801
1000;Alabama;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1001;Autauga County;55601;26995;28606;13163;6726;6437;33785;16482;17303;8653;3787;4866;871;329;542;"93,53450521";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;55601;26995;28606;20859;21801;5153;5762;121;146;301;380;33;29;528;488;21334;22246;5442;6021;277;294;453;509;58;59;26135;27817;20157;21159;5074;5681;105;138;297;373;20;23;482;443;20596;21566;5334;5919;241;261;434;492;36;47;860;789;702;642;79;81;16;8;4;7;13;6;46;45;738;680;108;102;36;33;19;17;22;12
1003;Baldwin County;218022;105657;112365;47110;23810;23300;126341;61166;65175;44571;20681;23890;4304;1755;2549;"137,1385459";83501;55354;21186;44921;14976;2246;1431;8187;4779;28147;23304;9612;25247;29568;2.57;3.18;214759;83501;45194;59850;15839;10375;3657;85527;21191;47369;1022;2502;13443;94079;19884;49789;2467;9890;12049;45480;3065;1449;23254;11209;6503;155691;3625;11657;44013;34404;13169;32210;16613;140409;48823;170469;20293;214983;30742;47143;2069;124357;15035;43483;13638;218022;105657;112365;92471;97830;9400;10092;886;798;933;1575;73;73;1894;1997;94249;99703;10187;10936;1768;1707;1374;2030;176;178;100355;107536;87729;93472;9233;9918;746;715;912;1561;49;62;1686;1808;89325;95187;9928;10683;1509;1515;1305;1973;120;144;5302;4829;4742;4358;167;174;140;83;21;14;24;11;208;189;4924;4516;259;253;259;192;69;57;56;34
1005;Barbour County;24881;13133;11748;5192;2630;2562;14857;8414;6443;4832;2089;2743;472;148;324;"28,11405959";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;24881;13133;11748;6410;5799;6370;5672;97;67;52;61;30;16;174;133;6535;5914;6498;5766;175;113;73;78;34;19;12549;11268;5950;5406;6326;5625;46;39;52;61;19;8;156;129;6063;5518;6440;5717;113;82;72;78;23;11;584;480;460;393;44;47;51;28;0;0;11;8;18;4;472;396;58;49;62;31;1;0;11;8
1007;Bibb County;22400;11921;10479;4587;2399;2188;14123;7895;6228;3690;1627;2063;363;108;255;"35,98616886";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;22400;11921;10479;8762;8449;2954;1816;48;50;19;34;22;4;116;126;8865;8565;3018;1888;96;105;38;47;30;9;11586;10226;8481;8227;2928;1803;45;41;18;34;5;1;109;120;8579;8337;2987;1872;89;91;37;47;12;6;335;253;281;222;26;13;3;9;1;0;17;3;7;6;286;228;31;16;7;14;1;0;18;3
1009;Blount County;57840;28500;29340;13392;6707;6685;33900;17042;16858;10548;4751;5797;1032;371;661;"89,69795528";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;57840;28500;29340;27307;28149;507;443;195;183;82;103;44;26;365;436;27648;28563;646;605;386;419;144;169;54;39;25561;26743;24548;25707;445;401;149;149;70;91;14;7;335;388;24860;26081;567;546;328;354;128;152;22;16;2939;2597;2759;2442;62;42;46;34;12;12;30;19;30;48;2788;2482;79;59;58;65;16;17;32;23
1011;Bullock County;10138;5527;4611;2137;1094;1043;6340;3717;2623;1661;716;945;184;53;131;"16,27795123";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;10138;5527;4611;1615;1046;3749;3419;40;45;7;12;40;36;76;53;1680;1093;3791;3448;73;62;18;23;44;43;5103;4228;1358;793;3676;3374;8;16;6;7;3;2;52;36;1403;826;3704;3394;30;26;13;13;5;6;424;383;257;253;73;45;32;29;1;5;37;34;24;17;277;267;87;54;43;36;5;10;39;37
1013;Butler County;19680;9165;10515;4378;2319;2059;11307;5212;6095;3995;1634;2361;585;137;448;"25,33344918";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;19680;9165;10515;4899;5384;3962;4877;38;36;160;99;5;5;101;114;4988;5493;4024;4941;76;67;172;122;9;15;9009;10374;4800;5287;3925;4844;36;33;154;96;4;5;90;109;4879;5392;3979;4904;69;63;166;119;8;14;156;141;99;97;37;33;2;3;6;3;1;0;11;5;109;101;45;37;7;4;6;3;1;1
1015;Calhoun County;114277;54914;59363;24695;12598;12097;69335;33731;35604;20247;8585;11662;2111;631;1480;"188,61714";44264;30110;10307;20497;6360;2819;987;6794;2960;14154;12125;5454;13141;14932;2.51;2.99;111230;44264;20380;28572;10823;7191;3302;44590;14706;21957;769;1494;5664;49419;12718;22407;1501;5451;7342;26133;1563;1484;11224;4972;6890;79172;3061;9060;25761;20815;6224;7914;6337;67051;14251;89498;9228;112854;23345;24331;1820;68331;13177;20192;8348;114277;54914;59363;41758;44268;11230;12923;317;300;435;667;62;64;1112;1141;42776;45316;11842;13560;701;702;681;931;137;144;52602;57206;39847;42461;11050;12777;243;225;417;648;51;52;994;1043;40765;43428;11596;13360;580;580;632;886;110;118;2312;2157;1911;1807;180;146;74;75;18;19;11;12;118;98;2011;1888;246;200;121;122;49;45;27;26
