County,Population,Housing units,Area in square miles - Total area,Area in square miles - Water area,Area in square miles - Land area,Density per square mile of land area - Population,Density per square mile of land area - Housing units
Allen County,13371,6226,505.33,5.02,500.3,26.7,12.4
Anderson County,8102,3720,583.73,4.09,579.65,14,6.4
Atchison County,16924,6990,433.82,2.65,431.17,39.3,16.2
Barber County,4861,2765,1136.17,2.09,1134.07,4.3,2.4
Barton County,27674,12696,900.63,5.23,895.4,30.9,14.2
Bourbon County,15173,7167,639.09,3.62,635.47,23.9,11.3
Brown County,9984,4779,572.11,1.23,570.87,17.5,8.4
Butler County,65880,26058,1446.53,16.66,1429.86,46.1,18.2
Chase County,2790,1503,777.73,4.67,773.06,3.6,1.9
Chautauqua County,3669,2150,644.77,5.89,638.88,5.7,3.4
Cherokee County,21603,9890,591.02,3.46,587.57,36.8,16.8
Cheyenne County,2726,1518,1020.94,1.06,1019.89,2.7,1.5
Clark County,2215,1135,977.18,2.55,974.63,2.3,1.2
Clay County,8535,4042,655.6,10.3,645.3,13.2,6.3
Cloud County,9533,4659,717.99,2.65,715.34,13.3,6.5
Coffey County,8601,3964,654.09,27.15,626.95,13.7,6.3
Comanche County,1891,1044,789.69,1.39,788.3,2.4,1.3
Cowley County,36311,16030,1132.43,6.68,1125.75,32.3,14.2
Crawford County,39134,17801,595.01,5.26,589.76,66.4,30.2
Decatur County,2961,1818,894.15,0.63,893.52,3.3,2
Dickinson County,19754,8972,851.95,4.88,847.07,23.3,10.6
Doniphan County,7945,3576,398.28,4.87,393.41,20.2,9.1
Douglas County,110826,46731,474.64,18.77,455.87,243.1,102.5
Edwards County,3037,1636,621.97,0.08,621.89,4.9,2.6
Elk County,2882,1760,650.47,6.2,644.26,4.5,2.7
Ellis County,28452,12872,900.37,0.46,899.91,31.6,14.3
Ellsworth County,6497,3239,723.29,7.44,715.85,9.1,4.5
Finney County,36776,13276,1302.67,0.7,1301.97,28.2,10.2
Ford County,33848,12005,1099.08,0.81,1098.27,30.8,10.9
Franklin County,25992,11147,577.14,5.38,571.76,45.5,19.5
Geary County,34362,14517,404.49,19.87,384.62,89.3,37.7
Gove County,2695,1373,1071.76,0.09,1071.66,2.5,1.3
Graham County,2597,1484,898.75,0.23,898.52,2.9,1.7
Grant County,7829,2945,575.14,0.34,574.8,13.6,5.1
Gray County,6006,2340,869.3,0.43,868.87,6.9,2.7
Greeley County,1247,629,778.45,0,778.45,1.6,0.8
Greenwood County,6689,4068,1152.63,9.33,1143.3,5.9,3.6
Hamilton County,2690,1236,997.63,1.12,996.51,2.7,1.2
Harper County,6034,3116,802.78,1.51,801.27,7.5,3.9
Harvey County,34684,14527,540.72,0.97,539.75,64.3,26.9
Haskell County,4256,1666,577.87,0.35,577.52,7.4,2.9
Hodgeman County,1916,973,860.31,0.32,859.99,2.2,1.1
Jackson County,13462,5779,658.02,1.8,656.22,20.5,8.8
Jefferson County,19126,8160,556.68,24.1,532.57,35.9,15.3
Jewell County,3077,2032,914.36,4.58,909.78,3.4,2.2
Johnson County,544179,226571,479.9,6.52,473.37,1149.6,478.6
Kearny County,3977,1556,870.98,0.44,870.54,4.6,1.8
Kingman County,7858,3818,866.66,3.3,863.36,9.1,4.4
Kiowa County,2553,1220,722.87,0.23,722.64,3.5,1.7
Labette County,21607,10092,653.12,7.82,645.29,33.5,15.6
Lane County,1750,990,717.67,0.21,717.46,2.4,1.4
Leavenworth County,76227,28697,468.97,6.14,462.83,164.7,62
Lincoln County,3241,1864,720.46,1.06,719.4,4.5,2.6
Linn County,9656,5446,606.4,12.34,594.06,16.3,9.2
Logan County,2756,1441,1073.1,0.11,1072.99,2.6,1.3
Lyon County,33690,15237,855.42,7.94,847.47,39.8,18
McPherson County,29180,12721,900.6,2.33,898.27,32.5,14.2
Marion County,12660,5946,953.73,9.44,944.29,13.4,6.3
Marshall County,10117,4866,905.11,4.92,900.18,11.2,5.4
Meade County,4575,1998,979.35,1.26,978.09,4.7,2
Miami County,32787,13190,590.26,14.59,575.66,57,22.9
Mitchell County,6373,3296,719.16,17.37,701.79,9.1,4.7
Montgomery County,35471,16578,651.48,7.95,643.53,55.1,25.8
Morris County,5923,3206,702.89,7.61,695.28,8.5,4.6
Morton County,3233,1467,729.93,0.2,729.73,4.4,2
Nemaha County,10178,4562,719.44,2.01,717.43,14.2,6.4
Neosho County,16512,7513,577.79,6.32,571.47,28.9,13.1
Ness County,3107,1740,1075.01,0.26,1074.75,2.9,1.6
Norton County,5671,2542,881.3,3.16,878.13,6.5,2.9
Osage County,16295,7503,719.85,14.33,705.52,23.1,10.6
Osborne County,3858,2206,894.36,1.86,892.5,4.3,2.5
Ottawa County,6091,2779,721.34,0.6,720.73,8.5,3.9
Pawnee County,6973,3152,754.65,0.38,754.26,9.2,4.2
Phillips County,5642,3049,894.56,8.68,885.88,6.4,3.4
Pottawatomie County,21604,8626,861.91,20.89,841.02,25.7,10.3
Pratt County,9656,4514,735.72,0.68,735.04,13.1,6.1
Rawlins County,2519,1458,1069.58,0.16,1069.42,2.4,1.4
Reno County,64511,28274,1272.11,16.76,1255.35,51.4,22.5
Republic County,4980,2877,720.45,3.08,717.37,6.9,4
Rice County,10083,4548,727.96,1.73,726.24,13.9,6.3
Riley County,71115,28212,621.96,12.18,609.77,116.6,46.3
Rooks County,5181,2768,895.15,4.62,890.53,5.8,3.1
Rush County,3307,1869,717.97,0.21,717.76,4.6,2.6
Russell County,6970,3910,899.44,13.18,886.26,7.9,4.4
Saline County,55606,24101,721.31,1.08,720.22,77.2,33.5
Scott County,4936,2193,717.66,0.12,717.54,6.9,3.1
Sedgwick County,498365,211593,1009.12,11.61,997.51,499.6,212.1
Seward County,22952,8061,640.49,0.99,639.5,35.9,12.6
Shawnee County,177934,79140,555.73,11.71,544.02,327.1,145.5
Sheridan County,2556,1265,896.21,0.25,895.96,2.9,1.4
Sherman County,6010,3148,1056.28,0.21,1056.07,5.7,3
Smith County,3853,2232,896.96,1.5,895.46,4.3,2.5
Stafford County,4437,2319,794.92,2.87,792.05,5.6,2.9
Stanton County,2235,990,680.41,0.07,680.35,3.3,1.5
Stevens County,5724,2306,727.47,0.18,727.29,7.9,3.2
Sumner County,24132,10865,1184.95,3.01,1181.94,20.4,9.2
Thomas County,7900,3536,1074.8,0.11,1074.69,7.4,3.3
Trego County,3001,1682,899.63,10.15,889.48,3.4,1.9
Wabaunsee County,7053,3227,799.62,5.32,794.3,8.9,4.1
Wallace County,1485,781,913.71,0.05,913.65,1.6,0.9
Washington County,5799,2955,898.67,3.92,894.76,6.5,3.3
Wichita County,2234,1054,718.59,0.02,718.57,3.1,1.5
Wilson County,9409,4682,575.07,4.66,570.42,16.5,8.2
Woodson County,3309,2022,505.25,7.43,497.82,6.6,4.1
Wyandotte County,157505,66747,156.19,4.59,151.6,1039,440.3
Kansas (Total),2853118,1233215,82278.36,519.64,81758.72,34.9,15.1
,,,,,,,
,,,,,,,
Source: 2010 census,,,,,,,
