state,county,state_name,geo_id,population,pop_density
AL,Autauga,Alabama,01001,55601,93.534505205
AL,Baldwin,Alabama,01003,218022,137.13854588
AL,Barbour,Alabama,01005,24881,28.114059594
AL,Bibb,Alabama,01007,22400,35.986168859
AL,Blount,Alabama,01009,57840,89.697955279
AL,Bullock,Alabama,01011,10138,16.277951234
AL,Butler,Alabama,01013,19680,25.333449178
AL,Calhoun,Alabama,01015,114277,188.61714004
AL,Chambers,Alabama,01017,33615,56.347975948
AL,Cherokee,Alabama,01019,26032,47.029485799
AL,Chilton,Alabama,01021,44153,63.726498241
AL,Choctaw,Alabama,01023,12841,14.057424215
AL,Clarke,Alabama,01025,23920,19.314926487
AL,Clay,Alabama,01027,13275,21.979894753
AL,Cleburne,Alabama,01029,14987,26.757506743
AL,Coffee,Alabama,01031,51909,76.45075182
AL,Colbert,Alabama,01033,54762,92.387121174
AL,Conecuh,Alabama,01035,12277,14.440131364
AL,Coosa,Alabama,01037,10715,16.461552335
AL,Covington,Alabama,01039,36986,35.889346469
AL,Crenshaw,Alabama,01041,13824,22.704543937
AL,Cullman,Alabama,01043,83442,113.56042387
AL,Dale,Alabama,01045,48956,87.249907296
AL,Dallas,Alabama,01047,38310,39.142243533
AL,DeKalb,Alabama,01049,71385,91.86091024
AL,Elmore,Alabama,01051,81887,132.40756612
AL,Escambia,Alabama,01053,36748,38.877615797
AL,Etowah,Alabama,01055,102501,191.48976814
AL,Fayette,Alabama,01057,16433,26.180382896
AL,Franklin,Alabama,01059,31363,49.474811238
AL,Geneva,Alabama,01061,26314,45.804859964
AL,Greene,Alabama,01063,8233,12.724429805
AL,Hale,Alabama,01065,14726,22.867078756
AL,Henry,Alabama,01067,17209,30.634605793
AL,Houston,Alabama,01069,104722,180.59586101
AL,Jackson,Alabama,01071,51736,47.99314624
AL,Jefferson,Alabama,01073,659300,593.22554444
AL,Lamar,Alabama,01075,13844,22.888459751
AL,Lauderdale,Alabama,01077,92387,138.30116642
AL,Lawrence,Alabama,01079,32957,47.716440562
AL,Lee,Alabama,01081,163941,269.83922055
AL,Limestone,Alabama,01083,96174,171.75295058
AL,Lowndes,Alabama,01085,9974,13.931895758
AL,Macon,Alabama,01087,18439,30.286086556
AL,Madison,Alabama,01089,366519,457.24378797
AL,Marengo,Alabama,01091,19066,19.516985844
AL,Marion,Alabama,01093,29763,40.093386582
AL,Marshall,Alabama,01095,96109,169.85038912
AL,Mobile,Alabama,01097,413757,336.56024397
AL,Monroe,Alabama,01099,21067,20.539770507
AL,Montgomery,Alabama,01101,225763,287.48618084
AL,Morgan,Alabama,01103,119089,205.54206837
AL,Perry,Alabama,01105,9140,12.700510989
AL,Pickens,Alabama,01107,19938,22.620053507
AL,Pike,Alabama,01109,33338,49.605114793
AL,Randolph,Alabama,01111,22725,39.143956864
AL,Russell,Alabama,01113,57781,90.12050714
AL,St. Clair,Alabama,01115,88690,140.420421
AL,Shelby,Alabama,01117,215707,274.65465157
AL,Sumter,Alabama,01119,12691,14.041416952
AL,Talladega,Alabama,01121,79828,108.34681527
AL,Tallapoosa,Alabama,01123,40497,56.518866946
AL,Tuscaloosa,Alabama,01125,208911,158.16297204
AL,Walker,Alabama,01127,63711,80.544660834
AL,Washington,Alabama,01129,16378,15.161923997
AL,Wilcox,Alabama,01131,10627,11.961279617
AL,Winston,Alabama,01133,23660,38.59836973
AK,Aleutians East Borough,Alaska,02013,3515,0.5032159254
AK,Aleutians West Census Area,Alaska,02016,5723,1.3030185169
AK,Anchorage Municipality,Alaska,02020,291538,170.84945945
AK,Bethel Census Area,Alaska,02050,18216,0.4483488712
AK,Bristol Bay Borough,Alaska,02060,877,1.81957526
AK,Denali Borough,Alaska,02068,2059,0.162934745
AK,Dillingham Census Area,Alaska,02070,5000,0.2727565085
AK,Fairbanks North Star Borough,Alaska,02090,98971,13.503070244
AK,Haines Borough,Alaska,02100,2474,1.0574495864
AK,Hoonah-Angoon Census Area,Alaska,02105,2151,0.3280653871
AK,Juneau City and Borough,Alaska,02110,32113,11.876709455
AK,Kenai Peninsula Borough,Alaska,02122,58533,3.6529901494
AK,Ketchikan Gateway Borough,Alaska,02130,13918,2.865629577
