id;geography; Total_population; Total_Male; Total_Female;Total_age0to17;Male_age0to17;Female_age0to17;Total_age18to64;Male_age18to64;Female_age18to64;Total_age65plus;Male_age65plus;Female_age65plus;Total_age85plusr;Male_age85plusr;Female_age85plusr;pop_density;Total households;Total households!!Family households (families);Total households!!Family households (families)!!With own children of the householder under 18 years;Total households!!Family households (families)!!Married-couple family;Total households!!Family households (families)!!Married-couple family!!With own children of the householder under 18 years;"Total households!!Family households (families)!!Male householder, no wife present, family";HOUSEHOLDS BY TYPE!!;"Total households!!Family households (families)!!Female householder, no husband present, family";"Total households!!Family households (families)!!Female householder, no husband present, family!!With own children of the householder under 18 years";Total households!!Nonfamily households;Total households!!Nonfamily households!!Householder living alone;Total households!!Nonfamily households!!Householder living alone!!65 years and over;Total households!!Households with one or more people under 18 years;Total households!!Households with one or more people 65 years and over;Total households!!Average household size;Total households!!Average family size;RELATIONSHIP!!Population in households;RELATIONSHIP!!Population in households!!Householder;RELATIONSHIP!!Population in households!!Spouse;RELATIONSHIP!!Population in households!!Child;RELATIONSHIP!!Population in households!!Other relatives;RELATIONSHIP!!Population in households!!Nonrelatives;RELATIONSHIP!!Population in households!!Nonrelatives!!Unmarried partner;MARITAL STATUS!!Males 15 years and over;MARITAL STATUS!!Males 15 years and over!!Never married;"MARITAL STATUS!!Males 15 years and over!!Now married, except separated";MARITAL STATUS!!Males 15 years and over!!Separated;MARITAL STATUS!!Males 15 years and over!!Widowed;MARITAL STATUS!!Males 15 years and over!!Divorced;MARITAL STATUS!!Females 15 years and over;MARITAL STATUS!!Females 15 years and over!!Never married;"MARITAL STATUS!!Females 15 years and over!!Now married, except separated";MARITAL STATUS!!Females 15 years and over!!Separated;MARITAL STATUS!!Females 15 years and over!!Widowed;MARITAL STATUS!!Females 15 years and over!!Divorced;SCHOOL ENROLLMENT!!Population 3 years and over enrolled in school;"SCHOOL ENROLLMENT!!Population 3 years and over enrolled in school!!Nursery school, preschool";SCHOOL ENROLLMENT!!Population 3 years and over enrolled in school!!Kindergarten;SCHOOL ENROLLMENT!!Population 3 years and over enrolled in school!!Elementary school (grades 1-8);SCHOOL ENROLLMENT!!Population 3 years and over enrolled in school!!High school (grades 9-12);SCHOOL ENROLLMENT!!Population 3 years and over enrolled in school!!College or graduate school;EDUCATIONAL ATTAINMENT!!Population 25 years and over;EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Less than 9th grade;"EDUCATIONAL ATTAINMENT!!Population 25 years and over!!9th to 12th grade, no diploma";EDUCATIONAL ATTAINMENT!!Population 25 years and over!!High school graduate (includes equivalency);"EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Some college, no degree";EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Associate's degree;EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Bachelor's degree;EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Graduate or professional degree;EDUCATIONAL ATTAINMENT!!Population 25 years and over!!High school graduate or higher;EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Bachelor's degree or higher;VETERAN STATUS!!Civilian population 18 years and over;VETERAN STATUS!!Civilian population 18 years and over!!Civilian veterans;DISABILITY STATUS OF THE CIVILIAN NONINSTITUTIONALIZED POPULATION!!Total Civilian Noninstitutionalized Population;DISABILITY STATUS OF THE CIVILIAN NONINSTITUTIONALIZED POPULATION!!Total Civilian Noninstitutionalized Population!!With a disability;DISABILITY STATUS OF THE CIVILIAN NONINSTITUTIONALIZED POPULATION!!Under 18 years;DISABILITY STATUS OF THE CIVILIAN NONINSTITUTIONALIZED POPULATION!!Under 18 years!!With a disability;DISABILITY STATUS OF THE CIVILIAN NONINSTITUTIONALIZED POPULATION!!18 to 64 years;DISABILITY STATUS OF THE CIVILIAN NONINSTITUTIONALIZED POPULATION!!18 to 64 years!!With a disability;DISABILITY STATUS OF THE CIVILIAN NONINSTITUTIONALIZED POPULATION!!65 years and over;DISABILITY STATUS OF THE CIVILIAN NONINSTITUTIONALIZED POPULATION!!65 years and over!!With a disability
0;United States;327167434;161128679;166038755;73399342;37490849;35908493;201336899;100331012;101005887;52431193;23306818;29124375;6544503;2325693;4218810;"1,09E+14";102643122;66732004;28075249;48684480;19128123;5089136;2282206;12958388;6664920;35911118;28694271;10962136;31473908;30084341;0;0;271946728;102643122;48657420;82163499;20939139;17543548;6657118;110094663;41755401;53833911;1726618;2740402;10038331;116266269;36995577;53056212;2538426;9665158;14010896;69922486;4300436;3397087;27916769;14550764;19757430;189375341;9521422;12092059;47807883;37931739;16033669;40230341;25758228;167761860;65988569;214820799;14726230;274660819;32669277;62477387;2543061;170117259;16233351;42066173;13892865
01000;Alabama;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
01001;Autauga County;55601;26995;28606;13163;6726;6437;33785;16482;17303;8653;3787;4866;871;329;542;93534505205;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
01003;Baldwin County;218022;105657;112365;47110;23810;23300;126341;61166;65175;44571;20681;23890;4304;1755;2549;13713854588;83501;55354;21186;44921;14976;2246;1431;8187;4779;28147;23304;9612;25247;29568;2.57;3.18;214759;83501;45194;59850;15839;10375;3657;85527;21191;47369;1022;2502;13443;94079;19884;49789;2467;9890;12049;45480;3065;1449;23254;11209;6503;155691;3625;11657;44013;34404;13169;32210;16613;140409;48823;170469;20293;214983;30742;47143;2069;124357;15035;43483;13638
01005;Barbour County;24881;13133;11748;5192;2630;2562;14857;8414;6443;4832;2089;2743;472;148;324;28114059594;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
01007;Bibb County;22400;11921;10479;4587;2399;2188;14123;7895;6228;3690;1627;2063;363;108;255;35986168859;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
01009;Blount County;57840;28500;29340;13392;6707;6685;33900;17042;16858;10548;4751;5797;1032;371;661;89697955279;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
01011;Bullock County;10138;5527;4611;2137;1094;1043;6340;3717;2623;1661;716;945;184;53;131;16277951234;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
01013;Butler County;19680;9165;10515;4378;2319;2059;11307;5212;6095;3995;1634;2361;585;137;448;25333449178;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
01015;Calhoun County;114277;54914;59363;24695;12598;12097;69335;33731;35604;20247;8585;11662;2111;631;1480;18861714004;44264;30110;10307;20497;6360;2819;987;6794;2960;14154;12125;5454;13141;14932;2.51;2.99;111230;44264;20380;28572;10823;7191;3302;44590;14706;21957;769;1494;5664;49419;12718;22407;1501;5451;7342;26133;1563;1484;11224;4972;6890;79172;3061;9060;25761;20815;6224;7914;6337;67051;14251;89498;9228;112854;23345;24331;1820;68331;13177;20192;8348
01017;Chambers County;33615;16093;17522;6992;3572;3420;20061;9733;10328;6562;2788;3774;749;198;551;56347975948;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
01019;Cherokee County;26032;12896;13136;4990;2533;2457;15062;7574;7488;5980;2789;3191;536;184;352;47029485799;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
01021;Chilton County;44153;21668;22485;10491;5224;5267;26251;13074;13177;7411;3370;4041;769;297;472;63726498241;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
