FIPS,State,County
01001,Alabama,Autauga County
01003,Alabama,Baldwin County
01005,Alabama,Barbour County
01007,Alabama,Bibb County
01009,Alabama,Blount County
01011,Alabama,Bullock County
01013,Alabama,Butler County
01015,Alabama,Calhoun County
01017,Alabama,Chambers County
01019,Alabama,Cherokee County
01021,Alabama,Chilton County
01023,Alabama,Choctaw County
01025,Alabama,Clarke County
01027,Alabama,Clay County
01029,Alabama,Cleburne County
01031,Alabama,Coffee County
01033,Alabama,Colbert County
01035,Alabama,Conecuh County
01037,Alabama,Coosa County
01039,Alabama,Covington County
01041,Alabama,Crenshaw County
01043,Alabama,Cullman County
01045,Alabama,Dale County
01047,Alabama,Dallas County
01049,Alabama,DeKalb County
01051,Alabama,Elmore County
01053,Alabama,Escambia County
01055,Alabama,Etowah County
01057,Alabama,Fayette County
01059,Alabama,Franklin County
01061,Alabama,Geneva County
01063,Alabama,Greene County
01065,Alabama,Hale County
01067,Alabama,Henry County
01069,Alabama,Houston County
01071,Alabama,Jackson County
01073,Alabama,Jefferson County
01075,Alabama,Lamar County
01077,Alabama,Lauderdale County
01079,Alabama,Lawrence County
01081,Alabama,Lee County
01083,Alabama,Limestone County
01085,Alabama,Lowndes County
01087,Alabama,Macon County
01089,Alabama,Madison County
01091,Alabama,Marengo County
01093,Alabama,Marion County
01095,Alabama,Marshall County
01097,Alabama,Mobile County
01099,Alabama,Monroe County
01101,Alabama,Montgomery County
01103,Alabama,Morgan County
01105,Alabama,Perry County
01107,Alabama,Pickens County
01109,Alabama,Pike County
01111,Alabama,Randolph County
01113,Alabama,Russell County
01115,Alabama,St. Clair County
01117,Alabama,Shelby County
01119,Alabama,Sumter County
01121,Alabama,Talladega County
01123,Alabama,Tallapoosa County
01125,Alabama,Tuscaloosa County
01127,Alabama,Walker County
01129,Alabama,Washington County
01131,Alabama,Wilcox County
01133,Alabama,Winston County
02013,Alaska,Aleutians East Borough
02016,Alaska,Aleutians West Census Area
02020,Alaska,Anchorage Municipality
02050,Alaska,Bethel Census Area
02060,Alaska,Bristol Bay Borough
02068,Alaska,Denali Borough
02070,Alaska,Dillingham Census Area
02090,Alaska,Fairbanks North Star Borough
02100,Alaska,Haines Borough
02105,Alaska,Hoonah-Angoon Census Area
02110,Alaska,Juneau City and Borough
02122,Alaska,Kenai Peninsula Borough
02130,Alaska,Ketchikan Gateway Borough
02150,Alaska,Kodiak Island Borough
02158,Alaska,Kusilvak Census Area
02158,Alaska,Wade Hampton Census Area
02164,Alaska,Lake and Peninsula Borough
02170,Alaska,Matanuska-Susitna Borough
02180,Alaska,Nome Census Area
02185,Alaska,North Slope Borough
02188,Alaska,Northwest Arctic Borough
02195,Alaska,Petersburg Census Area
02195,Alaska,Petersburg Borough
02198,Alaska,Prince of Wales-Hyder Census Area
02220,Alaska,Sitka City and Borough
02230,Alaska,Skagway Municipality
02240,Alaska,Southeast Fairbanks Census Area
02261,Alaska,Valdez-Cordova Census Area
02275,Alaska,Wrangell City and Borough
02282,Alaska,Yakutat City and Borough
02290,Alaska,Yukon-Koyukuk Census Area
04001,Arizona,Apache County
04003,Arizona,Cochise County
04005,Arizona,Coconino County
04007,Arizona,Gila County
04009,Arizona,Graham County
04011,Arizona,Greenlee County
04012,Arizona,La Paz County
04013,Arizona,Maricopa County
04015,Arizona,Mohave County
