FIPS,Admin2,Province_State,Country_Region,21/03/2020 16:47,22/03/2020 18:57,23/03/2020 16:47,24/03/2020 17:10,25/03/2020 17:08
1001,Autauga,Alabama,US,0,0,0,0,1
1003,Baldwin,Alabama,US,2,2,2,3,4
1005,Barbour,Alabama,US,0,0,0,0,0
1007,Bibb,Alabama,US,0,0,0,0,0
1009,Blount,Alabama,US,0,0,0,0,0
1011,Bullock,Alabama,US,0,0,0,0,0
1013,Butler,Alabama,US,0,0,0,0,0
1015,Calhoun,Alabama,US,1,1,1,2,2
1017,Chambers,Alabama,US,1,1,2,3,7
1019,Cherokee,Alabama,US,0,0,0,0,0
1021,Chilton,Alabama,US,0,0,0,0,0
1023,Choctaw,Alabama,US,0,0,0,0,0
1025,Clarke,Alabama,US,0,0,0,0,0
1027,Clay,Alabama,US,0,0,0,0,0
1029,Cleburne,Alabama,US,0,0,0,0,0
1031,Coffee,Alabama,US,0,0,0,0,0
1033,Colbert,Alabama,US,0,0,0,0,0
1035,Conecuh,Alabama,US,0,0,0,0,0
1037,Coosa,Alabama,US,0,0,0,0,0
1039,Covington,Alabama,US,0,0,0,0,0
1041,Crenshaw,Alabama,US,0,0,0,0,0
1043,Cullman,Alabama,US,2,2,2,2,3
1045,Dale,Alabama,US,0,0,0,0,0
1047,Dallas,Alabama,US,0,0,0,0,0
1049,DeKalb,Alabama,US,0,0,0,0,0
1051,Elmore,Alabama,US,6,6,6,8,9
1053,Escambia,Alabama,US,0,0,0,0,0
1055,Etowah,Alabama,US,0,0,0,0,0
1057,Fayette,Alabama,US,0,0,0,0,0
1059,Franklin,Alabama,US,0,0,0,1,1
1061,Geneva,Alabama,US,0,0,0,0,0
1063,Greene,Alabama,US,0,0,0,0,0
1065,Hale,Alabama,US,0,0,0,0,0
1067,Henry,Alabama,US,0,0,0,0,0
1069,Houston,Alabama,US,0,0,0,1,1
1071,Jackson,Alabama,US,1,1,1,1,2
1073,Jefferson,Alabama,US,60,61,71,90,99
1075,Lamar,Alabama,US,1,1,1,1,1
1077,Lauderdale,Alabama,US,1,2,2,3,6
1079,Lawrence,Alabama,US,0,0,0,0,0
1081,Lee,Alabama,US,12,12,16,21,29
1083,Limestone,Alabama,US,1,1,1,2,6
1085,Lowndes,Alabama,US,0,0,0,0,0
1087,Macon,Alabama,US,0,0,0,0,0
1089,Madison,Alabama,US,7,7,16,21,21
1091,Marengo,Alabama,US,0,0,0,0,0
1093,Marion,Alabama,US,0,1,1,1,1
1095,Marshall,Alabama,US,0,0,0,0,0
1097,Mobile,Alabama,US,2,2,2,3,10
1099,Monroe,Alabama,US,0,0,0,0,0
1101,Montgomery,Alabama,US,3,3,3,8,9
1103,Morgan,Alabama,US,0,0,0,1,2
1105,Perry,Alabama,US,0,0,0,0,0
1107,Pickens,Alabama,US,0,0,0,0,1
1109,Pike,Alabama,US,0,0,0,0,1
1111,Randolph,Alabama,US,0,0,0,0,0
1113,Russell,Alabama,US,0,0,0,0,0
1115,St. Clair,Alabama,US,1,1,3,4,5
1117,Shelby,Alabama,US,16,16,17,24,36
1119,Sumter,Alabama,US,0,0,0,0,0
1121,Talladega,Alabama,US,1,1,1,1,4
1123,Tallapoosa,Alabama,US,0,0,0,1,3
1125,Tuscaloosa,Alabama,US,4,4,7,9,10
1127,Walker,Alabama,US,1,1,1,3,8
1129,Washington,Alabama,US,1,1,1,1,1
1131,Wilcox,Alabama,US,0,0,0,0,0
1133,Winston,Alabama,US,0,0,0,0,0
2013,Aleutians East,Alaska,US,0,0,0,0,0
2016,Aleutians West,Alaska,US,0,0,0,0,0
2020,Anchorage,Alaska,US,4,5,13,17,17
2050,Bethel,Alaska,US,0,0,0,0,0
2060,Bristol Bay,Alaska,US,0,0,0,0,0
2068,Denali,Alaska,US,0,0,0,0,0
2070,Dillingham,Alaska,US,0,0,0,0,0
2090,Fairbanks North Star,Alaska,US,6,7,7,7,9
2100,Haines,Alaska,US,0,0,0,0,0
2105,Hoonah-Angoon,Alaska,US,0,0,0,0,0
2110,Juneau,Alaska,US,0,0,1,1,2
2122,Kenai Peninsula,Alaska,US,0,0,3,3,4
2130,Ketchikan Gateway,Alaska,US,3,6,6,6,8
