State,"Active Physicians per 100,000 Population, 2018 (AAMC)","Total Active Patient Care Physicians per 100,000 Population, 2018 (AAMC)","Active Primary Care Physicians per 100,000 Population, 2018 (AAMC)","Active Patient Care Primary Care Physicians per 100,000 Population, 2018 (AAMC)","Active General Surgeons per 100,000 Population, 2018 (AAMC)","Active Patient Care General Surgeons per 100,000 Population, 2018 (AAMC)","Percentage of Active Physicians Who Are Female, 2018 (AAMC)","Percentage of Active Physicians Who Are International Medical Graduates (IMGs), 2018 (AAMC)","Percentage of Active Physicians Who Are Age 60 or Older, 2018 (AAMC)","MD and DO Student Enrollment per 100,000 Population, AY 2018-2019 (AAMC)","Student Enrollment at Public MD and DO Schools per 100,000 Population, AY 2018-2019 (AAMC)","Percentage Change in Student Enrollment at MD and DO Schools, 2008-2018 (AAMC)","Percentage of MD Students Matriculating In-State, AY 2018-2019 (AAMC)","Total Residents/Fellows in ACGME Programs per 100,000 Population as of December 31, 2018 (AAMC)","Total Residents/Fellows in Primary Care ACGME Programs per 100,000 Population as of Dec. 31, 2018 (AAMC)","Percentage of Residents in ACGME Programs Who Are IMGs as of December 31, 2018 (AAMC)","Ratio of Residents and Fellows (GME) to Medical Students (UME), AY 2017-2018 (AAMC)","Percent Change in Residents and Fellows in ACGME-Accredited Programs, 2008-2018 (AAMC)","Percentage of Physicians Retained in State from Undergraduate Medical Education (UME), 2018 (AAMC)",All Specialties (AAMC),Allergy & Immunology (AAMC),Anatomic/Clinical Pathology (AAMC),Anesthesiology (AAMC),Cardiovascular Disease (AAMC),Child & Adolescent Psychiatry** (AAMC),Critical Care Medicine (AAMC),Dermatology (AAMC),Emergency Medicine (AAMC),"Endocrinology, Diabetes & Metabolism (AAMC)",Family Medicine/General Practice (AAMC),Gastroenterology (AAMC),General Surgery (AAMC),Geriatric Medicine*** (AAMC),Hematology & Oncology (AAMC),Infectious Disease (AAMC),Internal Medicine (AAMC),Internal Medicine/Pediatrics (AAMC),Interventional Cardiology (AAMC),Neonatal-Perinatal Medicine (AAMC),Nephrology (AAMC),Neurological Surgery (AAMC),Neurology (AAMC),Neuroradiology (AAMC),Obstetrics & Gynecology (AAMC),Ophthalmology (AAMC),Orthopedic Surgery (AAMC),Otolaryngology (AAMC),Pain Medicine & Pain Management (AAMC),Pediatrics** (AAMC),Physical Medicine & Rehabilitation (AAMC),Plastic Surgery (AAMC),Preventive Medicine (AAMC),Psychiatry (AAMC),Pulmonary Disease (AAMC),Radiation Oncology (AAMC),Radiology & Diagnostic Radiology (AAMC),Rheumatology (AAMC),Sports Medicine (AAMC),Thoracic Surgery (AAMC),Urology (AAMC),Vascular & Interventional Radiology (AAMC),Vascular Surgery (AAMC),State/Local Government hospital beds per 1000 people (2019),Non-profit hospital beds per 1000 people (2019),For-profit hospital beds per 1000 people (2019),Total hospital beds per 1000 people (2019),Total nurses (2019),Total physical assistants (2019),Total Hospitals (2019),Internal Medicine specialists (2019),Family Medicine/General Practice specialists (2019),Pediatrics specialists (2019),Obstetrics & Gynecology specialists (2019),Geriatrics specialists (2019),Total Primary Care specialists (2019),Psychiatry specialists (2019),Surgery specialists (2019),Anesthesiology specialists (2019),Emergency Medicine specialists (2019),Radiology specialists (2019),Cardiology specialists (2019),Oncology (Cancer) specialists (2019),"Endocrinology, Diabetes, and Metabolism specialists (2019)",All Other Specialties specialists (2019),Total specialists (2019)
AL,217.1,196.7,77.2,71.2,7.6,6.9,28.5%,18.1%,34.4%,49.1,22.8,136.8%,82.1%,29.9,11.9,21.9%,0.6,18.4%,48.4%,"10,614",44.0,142,477,292,87,124,133,401,70.0,"1,578",182,372,42.0,157,88,"1,371",66.0,65.0,56.0,141,70.0,177,44.0,531,212,291,171,48.0,708,96,74,63.0,318,74.0,72.0,351,79.0,35.0,64.0,148,30.0,40.0,,,,,,,,,,,,,,,,,,,,,,,
AK,276.9,256.7,112.8,105.6,9.6,8.5,38.0%,6.1%,31.5%,,,,,5.0,4.7,2.7%,,2.8%,,"2,042",,19,97,33,27,16,19,136,,523,19,71,,22,,161,15.0,,12.0,10,13.0,17,,99,30,75,31,16.0,126,12,12,22.0,74,,13.0,56,,,,19,,,1.4,0.8,0.9,3.1,2537.0,535.0,101.0,2285.0,1868.0,1030.0,671.0,9.0,5863.0,506.0,754.0,602.0,465.0,674.0,410.0,241.0,71.0,2619.0,6342.0
AZ,242.0,224.0,78.1,73.2,6.9,6.1,32.6%,24.8%,32.1%,31.7,11.7,54.7%,49.1%,25.8,9.5,19.0%,0.8,37.8%,41.7%,"17,356",67.0,229,"1,061",410,161,238,243,917,119.0,"2,206",288,494,106.0,268,142,"2,156",100.0,103.0,80.0,222,107.0,286,85.0,765,301,372,152,134.0,"1,023",159,156,117.0,675,130.0,108.0,566,93.0,46.0,87.0,198,87.0,69.0,0.3,1.5,0.4,2.2,480.0,346.0,21.0,218.0,592.0,146.0,98.0,,1054.0,106.0,85.0,81.0,126.0,68.0,36.0,15.0,8.0,321.0,846.0
AR,207.6,188.2,79.9,75.0,7.0,6.5,27.9%,18.2%,33.3%,34.2,23.7,66.2%,93.0%,29.6,14.0,30.7%,0.8,25.8%,57.9%,"6,256",33.0,108,266,150,53,65,72,256,43.0,"1,394",95,210,55.0,87,36,496,77.0,47.0,37.0,74,65.0,82,26.0,277,127,152,72,35.0,384,64,33,20.0,220,27.0,33.0,207,39.0,13.0,41.0,67,28.0,11.0,0.1,1.3,0.5,1.9,3403.0,1940.0,83.0,3325.0,2689.0,1489.0,991.0,43.0,8537.0,875.0,979.0,1023.0,1093.0,876.0,530.0,264.0,102.0,3527.0,9269.0
CA,279.6,243.8,96.2,87.1,7.2,6.2,37.8%,24.0%,33.7%,19.8,8.8,27.5%,40.3%,29.4,10.6,10.7%,1.5,22.7%,62.8%,"110,603",595.0,"1,569","5,244","2,288","1,184","1,277","1,815","5,445",867.0,"13,588","1,681","2,849",615.0,"1,736","1,024","15,652",404.0,365.0,675.0,"1,236",653.0,"1,624",423.0,"5,113","2,487","2,274","1,189",627.0,"7,705","1,074","1,127",909.0,"5,693",589.0,587.0,"3,235",726.0,269.0,473.0,"1,091",399.0,410.0,0.3,2.2,0.7,3.2,1305.0,209.0,88.0,899.0,1685.0,619.0,301.0,9.0,3513.0,352.0,370.0,333.0,327.0,364.0,202.0,139.0,43.0,1507.0,3637.0
CO,285.7,262.5,95.4,88.9,7.8,7.1,38.8%,8.3%,29.5%,30.0,14.4,109.7%,31.5%,28.5,11.4,3.4%,0.9,40.3%,42.9%,"16,272",110.0,200,904,254,194,223,226,"1,074",110.0,"2,581",210,444,92.0,223,131,"1,717",69.0,54.0,81.0,142,111.0,214,71.0,760,285,381,184,64.0,958,202,117,196.0,599,90.0,73.0,464,99.0,65.0,57.0,158,69.0,43.0,0.3,1.2,0.3,1.8,15414.0,7917.0,359.0,22363.0,15198.0,10500.0,5956.0,118.0,54135.0,7288.0,5367.0,6098.0,6050.0,5012.0,3235.0,1898.0,822.0,23001.0,58771.0
CT,352.1,302.9,105.7,93.7,8.6,7.1,37.9%,29.7%,34.1%,38.8,13.0,60.9%,44.5%,68.0,26.8,35.7%,1.7,18.9%,19.1%,"12,579",74.0,190,558,374,230,177,188,515,150.0,653,275,306,116.0,239,171,"2,105",65.0,47.0,83.0,159,76.0,181,39.0,627,278,256,115,49.0,830,100,86,76.0,810,94.0,62.0,401,95.0,17.0,54.0,120,50.0,58.0,0.4,1.1,0.4,1.9,2895.0,2247.0,89.0,2503.0,2723.0,1166.0,811.0,17.0,7220.0,769.0,684.0,835.0,949.0,621.0,346.0,233.0,90.0,2762.0,7289.0
DE,284.6,252.3,96.8,87.2,7.0,6.6,39.0%,26.3%,30.2%,,,,,39.8,16.6,15.8%,,14.9%,,"2,753",18.0,31,100,73,27,36,23,124,13.0,348,48,68,18.0,43,31,304,36.0,13.0,27.0,35,,39,,125,50,62,25,19.0,227,35,18,19.0,102,16.0,14.0,91,13.0,16.0,16.0,27,12.0,,0.1,2.0,,2.0,3230.0,1620.0,32.0,3889.0,783.0,1325.0,984.0,9.0,6990.0,1233.0,814.0,677.0,766.0,818.0,614.0,358.0,222.0,3113.0,8615.0
DC,847.0,619.0,239.7,179.4,25.3,15.2,47.2%,23.0%,30.5%,295.0,,2.0%,31.5%,238.9,77.9,29.9%,0.9,5.1%,6.2%,"5,950",40.0,107,230,139,81,98,61,260,64.0,310,91,178,39.0,140,123,818,28.0,24.0,55.0,72,37.0,102,31.0,239,100,67,47,15.0,470,48,38,102.0,359,33.0,22.0,148,52.0,11.0,28.0,55,26.0,23.0,,2.1,0.0,2.2,522.0,255.0,7.0,493.0,411.0,474.0,182.0,4.0,1564.0,161.0,173.0,108.0,232.0,186.0,115.0,57.0,13.0,539.0,1584.0
FL,265.2,240.7,86.8,80.1,6.9,6.0,30.7%,35.9%,36.1%,27.0,14.4,53.2%,58.2%,28.9,11.6,31.2%,1.1,84.0%,48.0%,"56,484",256.0,757,"2,631","1,643",416,739,944,"2,641",477.0,"6,879","1,093","1,463",405.0,939,566,"7,513",184.0,292.0,354.0,653,416.0,961,231.0,"2,525","1,340","1,170",584,463.0,"3,481",544,652,304.0,"1,859",420.0,372.0,"1,809",367.0,147.0,322.0,733,267.0,259.0,,3.5,0.9,4.4,359.0,288.0,10.0,1623.0,332.0,809.0,405.0,7.0,3176.0,565.0,425.0,300.0,374.0,298.0,287.0,192.0,94.0,1635.0,4170.0
