FIPStxt,State,County,RuralUrbanContinuumCode2013,UrbanInfluenceCode2013,RuralUrbanContinuumCode2003,UrbanInfluenceCode2003,Metro2013,Nonmetro2013,Micropolitan2013,Type_2015_Update,Type_2015_Farming_NO,Type_2015_Manufacturing_NO,Type_2015_Mining_NO,Type_2015_Government_NO,Type_2015_Recreation_NO,Low_Education_2015_update,Low_Employment_2015_update,Population_loss_2015_update,Retirement_Destination_2015_Update,Perpov_1980_0711,PersistentChildPoverty_1980_2011,Hipov,HiAmenity,HiCreativeClass2000,Gas_Change,Oil_Change,Oil_Gas_Change,Metro2003,NonmetroNotAdj2003,NonmetroAdj2003,Noncore2003,EconomicDependence2000,Nonmetro2003,Micropolitan2003,FarmDependent2003,ManufacturingDependent2000,LowEducation2000,RetirementDestination2000,PersistentPoverty2000,Noncore2013,Type_2015_Nonspecialized_NO,Metro_Adjacent2013,PersistentChildPoverty2004,RecreationDependent2000
01001,AL,Autauga,2,2,2,2,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,3,0,0,0,1,0,0,0,0,1,0,0,0
01003,AL,Baldwin,3,2,4,5,1,0,0,5,0,0,0,0,1,0,0,0,1,0,0,0,1,1,9,0,9,0,0,1,0,5,1,1,0,0,0,1,0,0,0,0,0,1
01005,AL,Barbour,6,6,6,6,0,1,0,3,0,1,0,0,0,1,1,0,0,1,1,1,0,0,0,0,0,0,0,1,1,3,1,0,0,1,1,0,1,1,0,1,1,0
01007,AL,Bibb,1,1,1,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,6,0,0,0,0,1,1,1,0,1,0,1,0
01009,AL,Blount,1,1,1,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,6,0,0,0,0,0,1,0,0,1,0,0,0
01011,AL,Bullock,6,6,6,6,0,1,0,3,0,1,0,0,0,1,1,0,0,1,1,1,0,0,0,0,0,0,0,1,1,1,1,0,1,0,1,0,1,1,0,1,1,0
01013,AL,Butler,6,6,6,6,0,1,0,0,0,0,0,0,0,0,1,1,0,1,1,1,0,0,0,0,0,0,0,1,1,6,1,0,0,0,0,0,1,1,1,1,1,0
01015,AL,Calhoun,3,2,3,2,1,0,0,4,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0
01017,AL,Chambers,6,5,6,5,0,1,1,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,3,1,1,0,1,1,0,0,0,1,1,1,0
01019,AL,Cherokee,6,6,8,6,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,6,1,0,0,0,1,1,0,1,1,1,0,0
01021,AL,Chilton,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,6,0,0,0,0,1,0,0,0,1,0,0,0
01023,AL,Choctaw,9,10,9,10,0,1,0,3,0,1,0,0,0,0,1,1,0,1,1,1,0,0,0,0,0,0,1,0,1,3,1,0,0,1,1,0,1,1,0,0,1,0
01025,AL,Clarke,7,11,7,11,0,1,0,3,0,1,0,0,0,0,1,0,0,1,1,1,1,0,0,0,0,0,1,0,1,3,1,0,0,1,0,0,1,1,0,0,1,0
01027,AL,Clay,9,10,9,10,0,1,0,3,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,3,1,0,0,1,1,0,0,1,0,0,0,0
01029,AL,Cleburne,8,4,8,4,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,1,0,0,1,1,0,0,1,1,1,0,0
01031,AL,Coffee,4,5,6,5,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,1,1,0,1,0,0,0,0,1,1,0,0
01033,AL,Colbert,3,2,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4,0,0,0,0,0,0,0,0,1,0,0,0
01035,AL,Conecuh,7,11,9,11,0,1,0,0,0,0,0,0,0,1,1,0,0,1,1,1,0,0,2,2,2,0,1,0,1,6,1,0,0,0,1,0,1,1,1,0,1,0
01037,AL,Coosa,8,3,8,7,0,1,1,3,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,3,1,0,0,1,1,0,0,0,0,1,0,0
01039,AL,Covington,6,6,7,9,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,6,1,0,0,0,0,0,0,1,1,1,1,0
01041,AL,Crenshaw,8,6,8,6,0,1,0,3,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,1,0,1,0,1,0,1,1,0,1,1,0
01043,AL,Cullman,4,3,6,3,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,6,1,1,0,0,0,0,0,0,1,1,0,0
01045,AL,Dale,4,5,4,5,0,1,1,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,1,1,0,0,0,0,0,0,0,1,0,0
01047,AL,Dallas,4,5,4,5,0,1,1,3,0,1,0,0,0,1,1,1,0,1,1,1,0,0,0,0,0,0,0,1,0,3,1,1,0,1,0,0,1,0,0,1,1,0
01049,AL,DeKalb,6,6,6,6,0,1,0,3,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,3,1,0,0,1,1,0,0,1,0,1,0,0
01051,AL,Elmore,2,2,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,6,0,0,0,0,0,0,0,0,1,0,0,0
01053,AL,Escambia,6,6,6,6,0,1,0,0,0,0,0,0,0,1,1,0,0,1,1,1,0,0,9,9,9,0,0,1,1,3,1,0,0,1,1,0,1,1,1,1,1,0
01055,AL,Etowah,3,2,3,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,1,0,0,0,0,1,0,0,0
01057,AL,Fayette,6,6,6,6,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,1,0,0,1,1,0,0,1,1,1,0,0
01059,AL,Franklin,6,6,6,6,0,1,0,3,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,3,1,0,0,1,1,0,0,1,0,1,0,0
01061,AL,Geneva,3,2,3,2,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,1,0,1,0
01063,AL,Greene,8,6,3,2,0,1,0,0,0,0,0,0,0,0,1,1,0,1,1,1,0,0,0,0,0,1,0,0,0,6,0,0,0,0,1,0,1,1,1,1,1,0
01065,AL,Hale,3,2,3,2,1,0,0,0,0,0,0,0,0,1,1,0,0,1,1,1,1,0,0,0,0,1,0,0,0,3,0,0,0,1,1,0,1,0,1,0,1,0
01067,AL,Henry,3,2,3,2,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,3,0,0,0,1,1,0,0,0,1,0,1,0
01069,AL,Houston,3,2,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,6,0,0,0,0,0,0,0,0,1,0,1,0
01071,AL,Jackson,6,5,6,5,0,1,1,3,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,3,1,1,0,1,1,0,0,0,0,1,0,0
01073,AL,Jefferson,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,2,0,2,1,0,0,0,5,0,0,0,0,0,0,0,0,1,0,1,0
01075,AL,Lamar,8,7,9,10,0,1,0,3,0,1,0,0,0,0,1,0,0,0,0,1,0,0,9,0,9,0,1,0,1,3,1,0,0,1,1,0,0,1,0,1,0,0
01077,AL,Lauderdale,3,2,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,6,0,0,0,0,0,0,0,0,1,0,0,0
01079,AL,Lawrence,3,2,3,2,1,0,0,3,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,1,1,0,0,0,0,0,0,0
01081,AL,Lee,3,2,3,2,1,0,0,4,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,4,0,0,0,0,0,0,1,0,0,0,0,0
01083,AL,Limestone,2,2,2,2,1,0,0,4,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0
01085,AL,Lowndes,2,2,2,2,1,0,0,3,0,1,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0,1,0,0,0,3,0,0,0,1,1,0,1,0,0,0,1,0
01087,AL,Macon,6,6,6,5,0,1,0,4,0,0,0,1,0,0,1,1,0,1,1,1,0,0,0,0,0,0,0,1,0,4,1,1,0,0,0,0,1,1,0,1,1,0
01089,AL,Madison,2,2,2,2,1,0,0,4,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0
01091,AL,Marengo,7,11,7,11,0,1,0,0,0,0,0,0,0,0,1,1,0,1,1,1,0,0,0,0,0,0,1,0,1,3,1,0,0,1,0,0,1,1,1,0,1,0
01093,AL,Marion,7,11,8,4,0,1,0,3,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,1,0,0,1,1,0,0,1,0,0,0,0
01095,AL,Marshall,4,5,4,5,0,1,1,3,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,3,1,1,0,1,0,0,0,0,0,1,0,0
01097,AL,Mobile,2,2,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,9,9,9,1,0,0,0,6,0,0,0,0,0,0,0,0,1,0,1,0
01099,AL,Monroe,7,11,7,11,0,1,0,3,0,1,0,0,0,0,1,0,0,1,1,1,1,0,0,9,9,0,1,0,1,3,1,0,0,1,1,0,1,1,0,0,1,0
01101,AL,Montgomery,2,2,2,2,1,0,0,4,0,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,4,0,0,0,0,0,0,0,0,0,0,1,0
01103,AL,Morgan,3,2,3,2,1,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0
01105,AL,Perry,8,4,8,6,0,1,0,0,0,0,0,0,0,1,1,1,0,1,1,1,0,0,0,0,0,0,0,1,1,3,1,0,0,1,1,0,1,1,1,1,1,0
01107,AL,Pickens,3,2,8,6,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,1,1,6,1,0,0,0,0,0,1,0,1,0,1,0
01109,AL,Pike,6,5,6,5,0,1,1,4,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,0,6,1,1,0,0,1,0,1,0,0,1,1,0
01111,AL,Randolph,6,4,6,4,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,3,1,0,0,1,1,0,0,1,1,1,1,0
01113,AL,Russell,2,2,2,2,1,0,0,3,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,3,0,0,0,1,1,0,0,0,0,0,1,0
