FIPS,State,County,UnempRate2018,UnempRate2017,UnempRate2016,UnempRate2015,UnempRate2014,UnempRate2010,UnempRate2007,PctEmpChange1018,PctEmpChange1718,PctEmpChange0718,PctEmpChange0710,PctEmpAgriculture,PctEmpMining,PctEmpConstruction,PctEmpManufacturing,PctEmpTrade,PctEmpTrans,PctEmpInformation,PctEmpFIRE,PctEmpServices,PctEmpGovt,NumCivEmployed,NumUnemployed2010,NumUnemployed2011,NumCivLaborForce2011,UnempRate2011,NumEmployed2011,NumEmployed2010,NumCivLaborForce2010,NumUnemployed2009,NumEmployed2009,NumCivLaborForce2009,UnempRate2008,NumCivLaborForce2012,NumEmployed2008,NumCivLaborForce2008,UnempRate2009,NumUnemployed2008,NumUnemployed2014,NumUnemployed2018,NumEmployed2018,NumCivLaborforce2018,NumUnemployed2017,NumEmployed2017,NumCivLaborforce2017,NumUnemployed2016,NumEmployed2016,NumCivLaborforce2016,NumCivLaborforce2015,NumEmployed2007,NumUnemployed2015,UnempRate2012,NumEmployed2014,NumCivLaborforce2014,UnempRate2013,NumUnemployed2013,NumEmployed2013,NumCivLaborforce2013,NumUnemployed2007,NumCivLaborforce2007,NumUnemployed2012,NumEmployed2012,NumEmployed2015
00000,US,United States,,,,,,,,,,,,1.300426201,0.57071432,6.350992052,10.27720771,14.08365511,5.100678347,2.107116597,6.579266226,48.96466524,4.665278191,150599165,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01000,AL,Alabama,3.90,4.40,5.80,6.00,6.80,10.50,4.00,7.52,1.47,1.11,-5.96,1.111987347,0.459934741,6.41310741,14.18704564,14.49621481,5.209561233,1.619647494,5.602505268,45.38948747,5.510508589,2055509,231483,212257,2202670,9.60,1990413,1964559,2196042,238252,1924747,2162999,5.70,2176337,2053477,2176489,11.00,123012,146552,86490,2112347,2198837,96567,2081676,2178243,127238,2049971,2177209,2158293,2089127,131395,8.00,2014290,2160842,7.20,156957,2017043,2174000,86485,2175612,173047,2003290,2026898
01001,AL,Autauga,3.60,3.90,5.10,5.00,5.80,8.90,3.30,6.76,0.23,6.10,-0.62,0.605507631,0.315195753,5.134372926,13.32116788,12.88155275,7.436131387,1.671366954,5.573988056,41.90859323,11.15212342,24112,2282,2159,25836,8.40,23677,23431,25713,2402,22301,24703,5.10,25740,23420,24687,9.70,1267,1495,942,25015,25957,1014,24958,25972,1321,24645,25966,25613,23577,1330,6.90,24097,25592,6.20,1605,24205,25810,806,24383,1779,23961,24283
01003,AL,Baldwin,3.60,4.10,5.30,5.00,6.10,10.00,3.10,20.42,2.39,12.93,-6.22,1.028739933,0.478068069,7.608877769,9.803746356,16.49893328,4.835412781,1.37612117,7.611111732,45.92022518,4.838763725,89527,8339,7627,85045,9.00,77418,75120,83459,8048,74403,82451,4.60,84414,79372,83223,9.80,3851,5301,3393,90456,93849,3748,88342,92090,4831,85839,90670,87741,80099,4859,7.50,81083,86384,6.60,5654,79626,85280,2560,82659,6349,78065,82882
01005,AL,Barbour,5.20,5.80,8.30,8.00,10.50,12.30,6.30,-11.37,1.39,-18.01,-7.49,4.223924307,0.168956972,5.631899076,23.7553503,14.66546519,6.240144177,0.394232935,3.671998198,33.31831494,7.9297139,8878,1262,1137,9849,11.50,8712,8959,10221,1431,8572,10003,8.80,9362,9267,10161,14.30,894,932,433,7940,8373,486,7831,8317,700,7717,8417,8613,9684,765,11.50,7913,8845,10.20,931,8168,9099,650,10334,1079,8283,7848
01007,AL,Bibb,4.00,4.40,6.40,6.00,7.20,11.40,4.10,5.09,1.75,-1.36,-6.14,0.41610574,3.953004528,9.16656468,20.5482805,10.54950434,5.947864398,1.076979562,4.40582548,38.93036348,5.005507282,8171,1020,937,8933,10.50,7996,7914,8934,1161,7581,8742,5.80,8798,8241,8749,13.30,508,617,344,8317,8661,376,8174,8550,556,8067,8623,8576,8432,567,8.50,7942,8559,7.90,689,8016,8705,359,8791,751,8047,8009
01009,AL,Blount,3.50,4.00,5.40,5.00,6.10,9.80,3.20,7.43,1.69,-6.41,-12.88,1.623012161,0.724976614,10.28531338,14.81290926,15.52853134,7.324602432,1.169317119,5.102899906,38.2647334,5.163704397,21380,2446,2184,25123,8.70,22939,22460,24906,2648,23832,26480,4.70,24960,25453,26698,10.00,1245,1504,878,24128,25006,999,23726,24725,1325,23298,24623,24485,25780,1322,6.90,23023,24527,6.30,1562,23325,24887,849,26629,1716,23244,23163
01011,AL,Bullock,4.70,4.90,6.80,7.00,8.80,11.80,9.40,4.50,-0.94,37.61,31.68,12.26107226,0,4.638694639,30.51282051,9.370629371,3.37995338,0.536130536,2.237762238,31.79487179,5.268065268,4290,585,561,4833,11.60,4272,4356,4941,583,3156,3739,10.50,4736,3251,3634,15.60,383,418,224,4552,4776,238,4595,4833,330,4503,4833,4779,3308,379,10.40,4314,4732,9.40,447,4331,4778,345,3653,491,4245,4400
01013,AL,Butler,4.80,5.50,6.90,7.00,8.60,13.60,6.20,6.11,0.49,-0.61,-6.34,3.44247444,0.271774298,8.32147017,22.06548466,11.66041154,4.607221431,1.164746991,2.795392779,39.95082179,5.720201889,7727,1263,1146,9188,12.50,8042,7998,9261,1489,7615,9104,8.50,9088,8278,9051,16.40,773,793,427,8487,8914,495,8446,8941,635,8571,9206,9138,8539,694,11.50,8477,9270,10.30,941,8206,9147,560,9099,1049,8039,8444
01015,AL,Calhoun,4.70,5.00,6.50,7.00,8.00,11.40,3.90,-4.08,0.77,-16.84,-13.30,0.93264686,0.135043889,6.197248481,16.91846725,14.63749156,4.696995273,1.742910196,4.196910871,42.92496624,7.617319379,47392,5860,5305,51268,10.30,45963,45699,51559,5996,47929,53925,5.70,49649,51468,54564,11.10,3096,3770,2139,43833,45972,2273,43497,45770,2996,42906,45902,45928,52709,3229,8.90,43467,47237,8.80,4242,44163,48405,2152,54861,4397,45252,42699
01017,AL,Chambers,3.90,4.10,5.50,6.00,6.70,14.90,6.50,16.93,0.69,1.45,-13.24,1.82418944,0.151442142,5.630894197,28.17512219,14.51779445,2.815447099,2.175259861,3.827355958,37.67467474,3.207819922,14527,2200,1820,15200,12.00,13380,12554,14754,2873,11777,14650,14.40,15140,12848,15012,19.60,2164,1026,597,14679,15276,621,14579,15200,818,14188,15006,14980,14469,904,9.90,14276,15302,8.00,1217,14058,15275,1005,15474,1494,13646,14076
01019,AL,Cherokee,3.60,4.10,5.00,5.00,5.80,10.60,4.20,9.39,3.03,-2.41,-10.79,2.621722846,0,7.429901812,24.36481425,12.15710092,7.541249114,1.052738131,2.044741371,36.40044539,6.387286163,9879,1219,1112,11476,9.70,10364,10245,11464,1374,10384,11758,5.70,11268,11308,11996,11.70,688,661,415,11207,11622,463,10877,11340,573,10780,11353,11162,11484,608,8.00,10725,11386,6.60,754,10649,11403,500,11984,905,10363,10554
01021,AL,Chilton,3.60,4.10,5.50,5.00,6.30,10.30,3.40,7.50,1.64,-1.54,-8.41,2.093352192,0.854314003,12.59405941,13.92927864,15.7397454,7.25884017,0.769448373,5.929278642,35.46817539,5.363507779,17675,1998,1786,19539,9.10,17753,17464,19462,2070,17375,19445,5.10,19383,18618,19610,10.60,992,1197,703,18773,19476,787,18470,19257,1052,18167,19219,19143,19067,1080,7.20,17899,19096,6.60,1269,18090,19359,670,19737,1401,17982,18063
01023,AL,Choctaw,5.50,6.30,8.50,9.00,9.00,13.30,5.90,5.17,7.41,-9.05,-13.52,8.323645664,1.929783771,7.928388747,18.41432225,16.41478726,6.207858638,1.604278075,1.720530109,34.96861195,2.487793536,4301,644,626,4764,13.10,4138,4216,4860,692,4442,5134,8.30,4791,4646,5069,13.50,423,405,260,4434,4694,279,4128,4407,368,3966,4334,4380,4875,398,10.30,4089,4494,9.20,433,4270,4703,308,5183,494,4297,3982
01025,AL,Clarke,7.50,8.50,10.80,11.00,12.20,19.90,6.10,-3.33,-0.30,-27.47,-24.97,2.483297618,1.121895878,7.122147989,22.09756712,16.18555401,6.353208118,1.121895878,4.222866507,35.5855288,3.706038069,7933,1808,1662,8843,18.80,7181,7300,9108,1717,8664,10381,9.00,8374,9419,10351,16.50,932,993,570,7057,7627,659,7078,7737,864,7102,7966,7994,9730,937,15.00,7162,8155,13.80,1140,7145,8285,628,10358,1258,7116,7057
01027,AL,Clay,3.90,4.30,5.90,6.00,7.10,14.50,5.50,14.49,3.35,-0.78,-13.33,4.646941369,0.072608459,4.828462516,33.87184607,11.43583227,5.118896351,1.561081866,3.721183518,29.64240334,5.100744237,5509,846,663,5598,11.80,4935,5005,5851,940,4703,5643,7.90,5413,5279,5733,16.70,454,394,233,5730,5963,252,5544,5796,334,5300,5634,5551,5775,340,9.40,5117,5511,8.30,450,4943,5393,338,6113,508,4905,5211
