county;geog_id;crime_rate_per_100000;COUNTY POPULATION-AGENCIES REPORT ARRESTS;COUNTY POPULATION-AGENCIES REPORT CRIMES;NUMBER OF AGENCIES IN COUNTY REPORT ARRESTS;NUMBER OF AGENCIES IN COUNTY REPORT CRIMES;COVERAGE INDICATOR;"Total number of UCR (Uniform Crime Report) Index crimes, excluding arson. ";"Total number of UCR (Uniform Crime Report) index crimes reported, including arson ";MURDER;RAPE;ROBBERY;Number of AGGRAVATED ASSAULTS;BURGLRY;LARCENY;MOTOR VEHICLE THEFTS;ARSON
"St. Louis city County, Missouri";29510;"1791,995377";318667;318667;15;15;100;5706;22329;119;200;1778;3609;4995;13791;3543;464
"Crittenden County, Arkansas";5035;"1754,914968";50717;50717;4;4;100;873;3424;8;38;165;662;1482;1753;189;28
"Alexander County, Illinois";17003;"1664,700485";8040;8040;2;2;100;127;278;1;2;5;119;82;184;12;2
"Kenedy County, Texas";48261;"1456,31068";444;444;1;1;100;6;13;0;3;1;2;5;4;4;0
"De Soto Parish County, Louisiana";22031;"1447,40243";26971;26971;3;3;100;392;703;3;4;17;368;149;494;60;0
"Baltimore city County, Maryland";24510;"1419,537569";625474;625474;9;9;100;8831;29868;216;317;3638;4660;7804;18055;4009;251
"Shelby County, Tennessee";47157;"1315,003752";942807;942807;15;14;100;12354;47864;135;483;3512;8224;14011;30620;3233;435
"Marlboro County, South Carolina";45069;"1253,437132";28780;28780;9;8;100;351;1549;3;20;32;296;408;1074;67;5
"Storey County, Nevada";32029;"1217,656012";3947;3947;1;1;100;48;86;0;7;2;39;23;55;8;2
"District of Columbia County, District of Columbia";11001;"1216,801325";632323;632323;2;1;100;7866;30757;88;236;4037;3505;3519;23575;3663;51
"Dillon County, South Carolina";45033;"1165,583272";32060;32060;9;8;100;364;1906;8;17;48;291;595;1206;105;12
"Scott County, Missouri";29201;"1163,145839";40941;40941;7;8;100;457;1277;2;7;26;422;236;1002;39;8
"Philadelphia County, Pennsylvania";42101;"1150,29633";1538957;1538957;6;5;100;17866;57000;332;881;7984;8669;12004;38595;6401;0
"Pershing County, Nevada";32027;"1148,756725";6822;6822;2;2;100;79;75;0;3;1;75;27;43;5;0
"Greenwood County, South Carolina";45047;"1140,226324";71009;70499;10;8;100;795;3651;7;39;73;676;965;2564;122;12
"Madison County, Tennessee";47113;"1138,42383";98988;99067;4;5;100;1124;4084;13;33;196;882;1300;2604;180;27
"Davidson County, Tennessee";47037;"1129,513728";635244;635244;10;10;100;7439;27666;65;312;1753;5309;5875;20373;1418;100
"Marion County, Indiana";18097;"1083,508119";911521;867596;11;9;100;10058;49004;102;453;3486;6017;15125;29122;4757;414
"Wayne County, Michigan";26163;"1065,188284";1800769;1793982;47;47;996.046;18910;69839;433;803;5879;11795;19882;34706;15251;766
"Jackson County, Missouri";29095;"1026,623686";839561;837636;19;23;100;6981;40642;116;358;1913;4594;9695;25994;4953;318
"Northwest Arctic Borough County, Alaska";2188;"1014,964216";3334;3334;1;1;100;78;210;0;23;12;43;46;126;38;2
"Pemiscot County, Missouri";29155;"998,7095326";18208;18208;7;7;100;178;678;0;6;21;151;192;463;23;2
"Iberville Parish County, Louisiana";22047;"974,0162436";33427;31544;4;3;100;325;1220;5;9;26;285;266;928;26;0
"Pulaski County, Arkansas";5119;"959,9165823";387762;387762;11;11;100;3756;26881;61;179;1058;2458;7065;18011;1805;130
"Jefferson County, Arkansas";5069;"959,1343198";76535;76535;5;5;100;702;3960;14;42;139;507;1400;2306;255;44
"Miller County, Arkansas";5091;"956,1771347";43925;43925;2;2;100;415;2215;1;9;45;360;488;1597;130;6
"Muskogee County, Oklahoma";40101;"954,4400666";71462;71440;6;6;100;671;2344;3;34;41;593;878;1324;142;23
"Barnwell County, South Carolina";45011;"953,9310095";22571;22571;9;7;100;211;1114;5;4;33;169;349;691;74;10
"Tangipahoa Parish County, Louisiana";22105;"952,8593755";123296;123296;8;7;965.846;1195;7162;11;64;185;935;2683;4262;218;1
"Marion County, South Carolina";45067;"941,6313295";33158;33158;9;7;100;302;1923;8;12;51;231;771;1060;92;12
"Dillingham Census Area County, Alaska";2070;"938,1237525";3268;2419;2;1;100;47;74;0;18;1;28;12;55;7;0
"Dougherty County, Georgia";13095;"930,4176661";95799;95799;10;6;100;865;5710;4;32;240;589;1600;3844;266;13
"Carter County, Oklahoma";40019;"930,0694974";48392;48392;5;5;100;451;1886;4;42;37;368;450;1327;109;23
"Genesee County, Michigan";26049;"922,7783984";422315;422010;30;30;985.058;3833;15352;69;242;980;2542;6105;8311;936;313
"Macon County, Alabama";1087;"919,341731";21344;21267;5;5;992.649;181;1266;6;10;25;140;516;640;110;3
