FIPS,State,Area_Name,POP_ESTIMATE_2018,total_state_pop,"Active Physicians per 100,000 Population, 2018 (AAMC)","Total Active Patient Care Physicians per 100,000 Population, 2018 (AAMC)","Active Primary Care Physicians per 100,000 Population, 2018 (AAMC)","Active Patient Care Primary Care Physicians per 100,000 Population, 2018 (AAMC)","Active General Surgeons per 100,000 Population, 2018 (AAMC)","Active Patient Care General Surgeons per 100,000 Population, 2018 (AAMC)","Percentage of Active Physicians Who Are Female, 2018 (AAMC)","Percentage of Active Physicians Who Are International Medical Graduates (IMGs), 2018 (AAMC)","Percentage of Active Physicians Who Are Age 60 or Older, 2018 (AAMC)","MD and DO Student Enrollment per 100,000 Population, AY 2018-2019 (AAMC)","Student Enrollment at Public MD and DO Schools per 100,000 Population, AY 2018-2019 (AAMC)","Percentage Change in Student Enrollment at MD and DO Schools, 2008-2018 (AAMC)","Percentage of MD Students Matriculating In-State, AY 2018-2019 (AAMC)","Total Residents/Fellows in ACGME Programs per 100,000 Population as of December 31, 2018 (AAMC)","Total Residents/Fellows in Primary Care ACGME Programs per 100,000 Population as of Dec. 31, 2018 (AAMC)","Percentage of Residents in ACGME Programs Who Are IMGs as of December 31, 2018 (AAMC)","Ratio of Residents and Fellows (GME) to Medical Students (UME), AY 2017-2018 (AAMC)","Percent Change in Residents and Fellows in ACGME-Accredited Programs, 2008-2018 (AAMC)","Percentage of Physicians Retained in State from Undergraduate Medical Education (UME), 2018 (AAMC)",All Specialties (AAMC),Allergy & Immunology (AAMC),Anatomic/Clinical Pathology (AAMC),Anesthesiology (AAMC),Cardiovascular Disease (AAMC),Child & Adolescent Psychiatry** (AAMC),Critical Care Medicine (AAMC),Dermatology (AAMC),Emergency Medicine (AAMC),"Endocrinology, Diabetes & Metabolism (AAMC)",Family Medicine/General Practice (AAMC),Gastroenterology (AAMC),General Surgery (AAMC),Geriatric Medicine*** (AAMC),Hematology & Oncology (AAMC),Infectious Disease (AAMC),Internal Medicine (AAMC),Internal Medicine/Pediatrics (AAMC),Interventional Cardiology (AAMC),Neonatal-Perinatal Medicine (AAMC),Nephrology (AAMC),Neurological Surgery (AAMC),Neurology (AAMC),Neuroradiology (AAMC),Obstetrics & Gynecology (AAMC),Ophthalmology (AAMC),Orthopedic Surgery (AAMC),Otolaryngology (AAMC),Pain Medicine & Pain Management (AAMC),Pediatrics** (AAMC),Physical Medicine & Rehabilitation (AAMC),Plastic Surgery (AAMC),Preventive Medicine (AAMC),Psychiatry (AAMC),Pulmonary Disease (AAMC),Radiation Oncology (AAMC),Radiology & Diagnostic Radiology (AAMC),Rheumatology (AAMC),Sports Medicine (AAMC),Thoracic Surgery (AAMC),Urology (AAMC),Vascular & Interventional Radiology (AAMC),Vascular Surgery (AAMC),State/Local Government hospital beds per 1000 people (2019),Non-profit hospital beds per 1000 people (2019),For-profit hospital beds per 1000 people (2019),Total hospital beds per 1000 people (2019),Total nurse practitioners (2019),Total physician assistants (2019),Total Hospitals (2019),Internal Medicine Primary Care (2019),Family Medicine/General Practice Primary Care (2019),Pediatrics Primary Care (2019),Obstetrics & Gynecology Primary Care (2019),Geriatrics Primary Care (2019),Total Primary Care Physicians (2019),Psychiatry specialists (2019),Surgery specialists (2019),Anesthesiology specialists (2019),Emergency Medicine specialists (2019),Radiology specialists (2019),Cardiology specialists (2019),Oncology (Cancer) specialists (2019),"Endocrinology, Diabetes, and Metabolism specialists (2019)",All Other Specialties specialists (2019),Total Specialist Physicians (2019),ICU Beds,pop_fraction
0,US,United States,327167434,327167434,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3,1.7,0.4,2.4,165480,88604,5198,197506,139407,87637,53913,1393,479856,54935,53002,50121,55671,47828,32640,20473,8046,202723,525439,,1
1000,AL,Alabama,4887871,9775742,217.1,196.7,77.2,71.2,7.6,6.9,28.50%,18.10%,34.40%,49.1,22.8,136.80%,82.10%,29.9,11.9,21.90%,0.6,18.40%,48.40%,10614,44,142,477,292,87,124,133,401,70,1578,182,372,42,157,88,1371,66,65,56,141,70,177,44,531,212,291,171,48,708,96,74,63,318,74,72,351,79,35,64,148,30,40,1.4,0.8,0.9,3.1,2537,535,101,2285,1868,1030,671,9,5863,506,754,602,465,674,410,241,71,2619,6342,,0.5
1001,AL,Autauga County,55601,9775742,217.1,196.7,77.2,71.2,7.6,6.9,28.50%,18.10%,34.40%,49.1,22.8,136.80%,82.10%,29.9,11.9,21.90%,0.6,18.40%,48.40%,120.7374364,0.500513209,1.615292629,5.426018199,3.321587661,0.989651118,1.410537226,1.512914928,4.561495383,0.796271015,17.95022373,2.070304638,4.231611677,0.477762609,1.785922133,1.001026418,15.59553658,0.750769814,0.739394513,0.637016812,1.603917329,0.796271015,2.013428137,0.500513209,6.04028441,2.411563644,3.31021236,1.945176335,0.54601441,8.053712547,1.09202882,0.841772215,0.716643913,3.617345466,0.841772215,0.819021615,3.992730373,0.898648716,0.398135507,0.728019213,1.683544431,0.341259006,0.455012008,1.4,0.8,0.9,3.1,28.85913663,6.085785611,1.148905321,25.99256097,21.24906079,11.71655921,7.632826439,0.102377702,66.69338512,5.755901905,8.576976356,6.847930725,5.289514596,7.66695234,4.663873085,2.74144735,0.807646315,29.79191124,72.14215392,6,0.00568765
1003,AL,Baldwin County,218022,9775742,217.1,196.7,77.2,71.2,7.6,6.9,28.50%,18.10%,34.40%,49.1,22.8,136.80%,82.10%,29.9,11.9,21.90%,0.6,18.40%,48.40%,473.4342433,1.962606624,6.333866831,21.27643999,13.02457123,3.880608551,5.530982303,5.932424567,17.88648309,3.122328719,70.38621027,8.11805467,16.59294691,1.873397232,7.002937271,3.925213247,61.1530382,2.943909935,2.899305239,2.497862976,6.289262135,3.122328719,7.89503119,1.962606624,23.68509357,9.45619555,12.97996653,7.627403015,2.141025408,31.58012476,4.282050815,3.300747503,2.810095847,14.18429333,3.300747503,3.211538111,15.65624829,3.523770983,1.56116436,2.854700543,6.601495007,1.33814088,1.78418784,1.4,0.8,0.9,3.1,113.1621137,23.86351236,4.505074295,101.9217303,83.32157211,45.94283687,29.92975101,0.401442264,261.5173326,22.56997617,33.63194078,26.85202699,20.74118364,30.0635651,18.28792536,10.74973173,3.166933415,116.8196988,282.882982,51,0.022302348
1005,AL,Barbour County,24881,9775742,217.1,196.7,77.2,71.2,7.6,6.9,28.50%,18.10%,34.40%,49.1,22.8,136.80%,82.10%,29.9,11.9,21.90%,0.6,18.40%,48.40%,54.02903104,0.223975633,0.722830451,2.428099473,1.486383745,0.44286091,0.631204056,0.677017254,2.041232471,0.35632487,8.032580647,0.926444663,1.893612168,0.213794922,0.79918578,0.447951265,6.978877102,0.335963449,0.330873094,0.285059896,0.717740096,0.35632487,0.900992886,0.223975633,2.702978659,1.079155321,1.481293389,0.870450755,0.244337054,3.603971545,0.488674108,0.376686291,0.320692383,1.618732982,0.376686291,0.366505581,1.786714707,0.402138068,0.178162435,0.325782739,0.753372583,0.152710659,0.203614212,1.4,0.8,0.9,3.1,12.91423137,2.72334008,0.514125884,11.63146184,9.508783681,5.243065948,3.415628399,0.045813198,29.84475306,2.575719777,3.838127888,3.064393884,2.36701521,3.430899465,2.087045669,1.226775625,0.361415226,13.3316405,32.28303325,5,0.002545178
1007,AL,Bibb County,22400,9775742,217.1,196.7,77.2,71.2,7.6,6.9,28.50%,18.10%,34.40%,49.1,22.8,136.80%,82.10%,29.9,11.9,21.90%,0.6,18.40%,48.40%,48.64154557,0.201641983,0.650753672,2.185982404,1.338169522,0.398701193,0.56826377,0.609508721,1.837691707,0.320794064,7.231614746,0.834064565,1.704791309,0.192476438,0.719495257,0.403283966,6.282980872,0.302462974,0.297880202,0.256635251,0.646170899,0.320794064,0.811150703,0.201641983,2.43345211,0.971547735,1.33358675,0.783654069,0.219973072,3.244602814,0.439946144,0.339125153,0.288714657,1.457321603,0.339125153,0.329959608,1.60855309,0.362039015,0.160397032,0.293297429,0.678250306,0.13748317,0.183310893,1.4,0.8,0.9,3.1,11.62649342,2.4517832,0.462860006,10.47163479,8.560618723,4.720255506,3.075040237,0.041244951,26.86879421,2.318882802,3.455410341,2.758828946,2.130989136,3.088788554,1.878936658,1.104448133,0.325376836,12.00228075,29.06394215,0,0.002291386
1009,AL,Blount County,57840,9775742,217.1,196.7,77.2,71.2,7.6,6.9,28.50%,18.10%,34.40%,49.1,22.8,136.80%,82.10%,29.9,11.9,21.90%,0.6,18.40%,48.40%,125.5994195,0.520668406,1.680338945,5.644518851,3.455344873,1.029503438,1.467338234,1.573838589,4.745182514,0.8283361,18.67306236,2.153673859,4.402014701,0.49700166,1.857839538,1.041336811,16.22355418,0.781002608,0.769169235,0.66266888,1.668505572,0.8283361,2.094506995,0.520668406,6.283520985,2.508675045,3.4435115,2.023506758,0.568001897,8.37802798,1.136003794,0.875669591,0.74550249,3.763012567,0.875669591,0.852002845,4.153513871,0.934836455,0.41416805,0.757335863,1.751339182,0.355001186,0.473334914,1.4,0.8,0.9,3.1,30.02126693,6.330854476,1.195170658,27.03925697,22.10474049,12.18837404,7.940193184,0.106500356,69.37906504,5.987686664,8.922363131,7.123690457,5.502518377,7.975693303,4.85168287,2.851842858,0.840169473,30.9916035,75.04725063,6,0.005916686
1011,AL,Bullock County,10138,9775742,217.1,196.7,77.2,71.2,7.6,6.9,28.50%,18.10%,34.40%,49.1,22.8,136.80%,82.10%,29.9,11.9,21.90%,0.6,18.40%,48.40%,22.01464237,0.091261001,0.294524139,0.989352215,0.605641188,0.180447888,0.257190094,0.275857117,0.831719577,0.145187956,3.272951352,0.377488686,0.771570281,0.087112774,0.325635844,0.182522002,2.843609825,0.136891501,0.134817388,0.116150365,0.292450026,0.145187956,0.367118117,0.091261001,1.101354352,0.439712096,0.603567074,0.354673436,0.099557456,1.46847247,0.199114911,0.153484411,0.13066916,0.659568143,0.153484411,0.149336183,0.728013894,0.163854979,0.072593978,0.132743274,0.306968821,0.06222341,0.082964546,1.4,0.8,0.9,3.1,5.262026351,1.109650807,0.209485479,4.739349709,3.874444313,2.136337068,1.391730265,0.018667023,12.16052838,1.049501511,1.563881698,1.248616422,0.964462851,1.397952606,0.8503866,0.499861392,0.14726207,5.43210367,13.15402882,0,0.001037057
1013,AL,Butler County,19680,9775742,217.1,196.7,77.2,71.2,7.6,6.9,28.50%,18.10%,34.40%,49.1,22.8,136.80%,82.10%,29.9,11.9,21.90%,0.6,18.40%,48.40%,42.73507218,0.177156885,0.571733583,1.920541684,1.175677509,0.350287477,0.499260312,0.535496947,1.614543428,0.281840499,6.353490098,0.732785297,1.497780936,0.169104299,0.632127976,0.35431377,5.520047481,0.265735327,0.261709034,0.225472399,0.56770729,0.281840499,0.712653832,0.177156885,2.137961497,0.853574082,1.171651216,0.688496075,0.193262056,2.850615329,0.386524112,0.29794567,0.253656449,1.280361122,0.29794567,0.289893084,1.413228786,0.318077134,0.140920249,0.257682742,0.59589134,0.120788785,0.161051714,1.4,0.8,0.9,3.1,10.21470493,2.154066668,0.406655577,9.200079135,7.521115021,4.147081623,2.701642494,0.036236636,23.60615491,2.037304176,3.0358248,2.423828288,1.87222617,2.713721373,1.650780064,0.970336574,0.285866791,10.54486094,25.53474918,7,0.002013146
1015,AL,Calhoun County,114277,9775742,217.1,196.7,77.2,71.2,7.6,6.9,28.50%,18.10%,34.40%,49.1,22.8,136.80%,82.10%,29.9,11.9,21.90%,0.6,18.40%,48.40%,248.1522278,1.028707182,3.319918631,11.15212104,6.826874932,2.034034654,2.899083875,3.109501253,9.375263177,1.636579607,36.89318028,4.255106978,8.697251626,0.981947764,3.670614261,2.057414363,32.05358059,1.543060772,1.519681064,1.309263686,3.296538923,1.636579607,4.138208435,1.028707182,12.4146253,4.956498238,6.803495223,3.997930183,1.122226016,16.55283374,2.244452032,1.730098442,1.472921646,7.434747357,1.730098442,1.683339024,8.206277743,1.846996985,0.818289803,1.496301355,3.460196883,0.70139126,0.935188347,1.4,0.8,0.9,3.1,59.3143209,12.50814414,2.361350576,53.42263431,43.6732958,24.08109993,15.68778452,0.210417378,137.0752319,11.83013259,17.62830034,14.07458462,10.87156453,15.75792364,9.585680555,5.63450979,1.659959316,61.23145701,148.2741124,24,0.011689854
