FIPS,State,Area_Name,POP_ESTIMATE_2018,total_state_pop,"Active Physicians per 100,000 Population, 2018 (AAMC)","Total Active Patient Care Physicians per 100,000 Population, 2018 (AAMC)","Active Primary Care Physicians per 100,000 Population, 2018 (AAMC)","Active Patient Care Primary Care Physicians per 100,000 Population, 2018 (AAMC)","Active General Surgeons per 100,000 Population, 2018 (AAMC)","Active Patient Care General Surgeons per 100,000 Population, 2018 (AAMC)","Percentage of Active Physicians Who Are Female, 2018 (AAMC)","Percentage of Active Physicians Who Are International Medical Graduates (IMGs), 2018 (AAMC)","Percentage of Active Physicians Who Are Age 60 or Older, 2018 (AAMC)","MD and DO Student Enrollment per 100,000 Population, AY 2018-2019 (AAMC)","Student Enrollment at Public MD and DO Schools per 100,000 Population, AY 2018-2019 (AAMC)","Percentage Change in Student Enrollment at MD and DO Schools, 2008-2018 (AAMC)","Percentage of MD Students Matriculating In-State, AY 2018-2019 (AAMC)","Total Residents/Fellows in ACGME Programs per 100,000 Population as of December 31, 2018 (AAMC)","Total Residents/Fellows in Primary Care ACGME Programs per 100,000 Population as of Dec. 31, 2018 (AAMC)","Percentage of Residents in ACGME Programs Who Are IMGs as of December 31, 2018 (AAMC)","Ratio of Residents and Fellows (GME) to Medical Students (UME), AY 2017-2018 (AAMC)","Percent Change in Residents and Fellows in ACGME-Accredited Programs, 2008-2018 (AAMC)","Percentage of Physicians Retained in State from Undergraduate Medical Education (UME), 2018 (AAMC)",All Specialties (AAMC),Allergy & Immunology (AAMC),Anatomic/Clinical Pathology (AAMC),Anesthesiology (AAMC),Cardiovascular Disease (AAMC),Child & Adolescent Psychiatry** (AAMC),Critical Care Medicine (AAMC),Dermatology (AAMC),Emergency Medicine (AAMC),"Endocrinology, Diabetes & Metabolism (AAMC)",Family Medicine/General Practice (AAMC),Gastroenterology (AAMC),General Surgery (AAMC),Geriatric Medicine*** (AAMC),Hematology & Oncology (AAMC),Infectious Disease (AAMC),Internal Medicine (AAMC),Internal Medicine/Pediatrics (AAMC),Interventional Cardiology (AAMC),Neonatal-Perinatal Medicine (AAMC),Nephrology (AAMC),Neurological Surgery (AAMC),Neurology (AAMC),Neuroradiology (AAMC),Obstetrics & Gynecology (AAMC),Ophthalmology (AAMC),Orthopedic Surgery (AAMC),Otolaryngology (AAMC),Pain Medicine & Pain Management (AAMC),Pediatrics** (AAMC),Physical Medicine & Rehabilitation (AAMC),Plastic Surgery (AAMC),Preventive Medicine (AAMC),Psychiatry (AAMC),Pulmonary Disease (AAMC),Radiation Oncology (AAMC),Radiology & Diagnostic Radiology (AAMC),Rheumatology (AAMC),Sports Medicine (AAMC),Thoracic Surgery (AAMC),Urology (AAMC),Vascular & Interventional Radiology (AAMC),Vascular Surgery (AAMC),State/Local Government hospital beds per 1000 people (2019),Non-profit hospital beds per 1000 people (2019),For-profit hospital beds per 1000 people (2019),Total hospital beds per 1000 people (2019),Total nurse practitioners (2019),Total physician assistants (2019),Total Hospitals (2019),Internal Medicine Primary Care (2019),Family Medicine/General Practice Primary Care (2019),Pediatrics Primary Care (2019),Obstetrics & Gynecology Primary Care (2019),Geriatrics Primary Care (2019),Total Primary Care Physicians (2019),Psychiatry specialists (2019),Surgery specialists (2019),Anesthesiology specialists (2019),Emergency Medicine specialists (2019),Radiology specialists (2019),Cardiology specialists (2019),Oncology (Cancer) specialists (2019),"Endocrinology, Diabetes, and Metabolism specialists (2019)",All Other Specialties specialists (2019),Total Specialist Physicians (2019),ICU Beds,pop_fraction
1000,AL,Alabama,4887871,9775742,217.1,196.7,77.2,71.2,7.6,6.9,28.50%,18.10%,34.40%,49.1,22.8,136.80%,82.10%,29.9,11.9,21.90%,0.6,18.40%,48.40%,10614.0,44.0,142.0,477.0,292.0,87.0,124.0,133.0,401.0,70.0,1578.0,182.0,372.0,42.0,157.0,88.0,1371.0,66.0,65.0,56.0,141.0,70.0,177.0,44.0,531.0,212.0,291.0,171.0,48.0,708.0,96.0,74.0,63.0,318.0,74.0,72.0,351.0,79.0,35.0,64.0,148.0,30.0,40.0,1.4,0.8,0.9,3.1,2537.0,535.0,101.0,2285.0,1868.0,1030.0,671.0,9.0,5863.0,506.0,754.0,602.0,465.0,674.0,410.0,241.0,71.0,2619.0,6342.0,,0.5
2000,AK,Alaska,737438,1474876,276.9,256.7,112.8,105.6,9.6,8.5,38.00%,6.10%,31.50%,,,,,5.0,4.7,2.70%,,2.80%,,2042.0,,19.0,97.0,33.0,27.0,16.0,19.0,136.0,,523.0,19.0,71.0,,22.0,,161.0,15.0,,12.0,10.0,13.0,17.0,,99.0,30.0,75.0,31.0,16.0,126.0,12.0,12.0,22.0,74.0,,13.0,56.0,,,,19.0,,,0.3,1.5,0.4,2.2,480.0,346.0,21.0,218.0,592.0,146.0,98.0,,1054.0,106.0,85.0,81.0,126.0,68.0,36.0,15.0,8.0,321.0,846.0,,0.5
4000,AZ,Arizona,7171646,14343292,242.0,224.0,78.1,73.2,6.9,6.1,32.60%,24.80%,32.10%,31.7,11.7,54.70%,49.10%,25.8,9.5,19.00%,0.8,37.80%,41.70%,17356.0,67.0,229.0,1061.0,410.0,161.0,238.0,243.0,917.0,119.0,2206.0,288.0,494.0,106.0,268.0,142.0,2156.0,100.0,103.0,80.0,222.0,107.0,286.0,85.0,765.0,301.0,372.0,152.0,134.0,1023.0,159.0,156.0,117.0,675.0,130.0,108.0,566.0,93.0,46.0,87.0,198.0,87.0,69.0,0.1,1.3,0.5,1.9,3403.0,1940.0,83.0,3325.0,2689.0,1489.0,991.0,43.0,8537.0,875.0,979.0,1023.0,1093.0,876.0,530.0,264.0,102.0,3527.0,9269.0,,0.5
5000,AR,Arkansas,3013825,6027650,207.6,188.2,79.9,75.0,7.0,6.5,27.90%,18.20%,33.30%,34.2,23.7,66.20%,93.00%,29.6,14.0,30.70%,0.8,25.80%,57.90%,6256.0,33.0,108.0,266.0,150.0,53.0,65.0,72.0,256.0,43.0,1394.0,95.0,210.0,55.0,87.0,36.0,496.0,77.0,47.0,37.0,74.0,65.0,82.0,26.0,277.0,127.0,152.0,72.0,35.0,384.0,64.0,33.0,20.0,220.0,27.0,33.0,207.0,39.0,13.0,41.0,67.0,28.0,11.0,0.3,2.2,0.7,3.2,1305.0,209.0,88.0,899.0,1685.0,619.0,301.0,9.0,3513.0,352.0,370.0,333.0,327.0,364.0,202.0,139.0,43.0,1507.0,3637.0,,0.5
6000,CA,California,39557045,79114090,279.6,243.8,96.2,87.1,7.2,6.2,37.80%,24.00%,33.70%,19.8,8.8,27.50%,40.30%,29.4,10.6,10.70%,1.5,22.70%,62.80%,110603.0,595.0,1569.0,5244.0,2288.0,1184.0,1277.0,1815.0,5445.0,867.0,13588.0,1681.0,2849.0,615.0,1736.0,1024.0,15652.0,404.0,365.0,675.0,1236.0,653.0,1624.0,423.0,5113.0,2487.0,2274.0,1189.0,627.0,7705.0,1074.0,1127.0,909.0,5693.0,589.0,587.0,3235.0,726.0,269.0,473.0,1091.0,399.0,410.0,0.3,1.2,0.3,1.8,15414.0,7917.0,359.0,22363.0,15198.0,10500.0,5956.0,118.0,54135.0,7288.0,5367.0,6098.0,6050.0,5012.0,3235.0,1898.0,822.0,23001.0,58771.0,,0.5
8000,CO,Colorado,5695564,11391128,285.7,262.5,95.4,88.9,7.8,7.1,38.80%,8.30%,29.50%,30.0,14.4,109.70%,31.50%,28.5,11.4,3.40%,0.9,40.30%,42.90%,16272.0,110.0,200.0,904.0,254.0,194.0,223.0,226.0,1074.0,110.0,2581.0,210.0,444.0,92.0,223.0,131.0,1717.0,69.0,54.0,81.0,142.0,111.0,214.0,71.0,760.0,285.0,381.0,184.0,64.0,958.0,202.0,117.0,196.0,599.0,90.0,73.0,464.0,99.0,65.0,57.0,158.0,69.0,43.0,0.4,1.1,0.4,1.9,2895.0,2247.0,89.0,2503.0,2723.0,1166.0,811.0,17.0,7220.0,769.0,684.0,835.0,949.0,621.0,346.0,233.0,90.0,2762.0,7289.0,,0.5
9000,CT,Connecticut,3572665,7145330,352.1,302.9,105.7,93.7,8.6,7.1,37.90%,29.70%,34.10%,38.8,13.0,60.90%,44.50%,68.0,26.8,35.70%,1.7,18.90%,19.10%,12579.0,74.0,190.0,558.0,374.0,230.0,177.0,188.0,515.0,150.0,653.0,275.0,306.0,116.0,239.0,171.0,2105.0,65.0,47.0,83.0,159.0,76.0,181.0,39.0,627.0,278.0,256.0,115.0,49.0,830.0,100.0,86.0,76.0,810.0,94.0,62.0,401.0,95.0,17.0,54.0,120.0,50.0,58.0,0.1,2.0,,2.0,3230.0,1620.0,32.0,3889.0,783.0,1325.0,984.0,9.0,6990.0,1233.0,814.0,677.0,766.0,818.0,614.0,358.0,222.0,3113.0,8615.0,,0.5
10000,DE,Delaware,967171,1934342,284.6,252.3,96.8,87.2,7.0,6.6,39.00%,26.30%,30.20%,,,,,39.8,16.6,15.80%,,14.90%,,2753.0,18.0,31.0,100.0,73.0,27.0,36.0,23.0,124.0,13.0,348.0,48.0,68.0,18.0,43.0,31.0,304.0,36.0,13.0,27.0,35.0,,39.0,,125.0,50.0,62.0,25.0,19.0,227.0,35.0,18.0,19.0,102.0,16.0,14.0,91.0,13.0,16.0,16.0,27.0,12.0,,,2.1,0.0,2.2,522.0,255.0,7.0,493.0,411.0,474.0,182.0,4.0,1564.0,161.0,173.0,108.0,232.0,186.0,115.0,57.0,13.0,539.0,1584.0,,0.5
11000,DC,District of Columbia,702455,1404910,847.0,619.0,239.7,179.4,25.3,15.2,47.20%,23.00%,30.50%,295.0,,2.00%,31.50%,238.9,77.9,29.90%,0.9,5.10%,6.20%,5950.0,40.0,107.0,230.0,139.0,81.0,98.0,61.0,260.0,64.0,310.0,91.0,178.0,39.0,140.0,123.0,818.0,28.0,24.0,55.0,72.0,37.0,102.0,31.0,239.0,100.0,67.0,47.0,15.0,470.0,48.0,38.0,102.0,359.0,33.0,22.0,148.0,52.0,11.0,28.0,55.0,26.0,23.0,,3.5,0.9,4.4,359.0,288.0,10.0,1623.0,332.0,809.0,405.0,7.0,3176.0,565.0,425.0,300.0,374.0,298.0,287.0,192.0,94.0,1635.0,4170.0,,0.5
12000,FL,Florida,21299325,42598650,265.2,240.7,86.8,80.1,6.9,6.0,30.70%,35.90%,36.10%,27.0,14.4,53.20%,58.20%,28.9,11.6,31.20%,1.1,84.00%,48.00%,56484.0,256.0,757.0,2631.0,1643.0,416.0,739.0,944.0,2641.0,477.0,6879.0,1093.0,1463.0,405.0,939.0,566.0,7513.0,184.0,292.0,354.0,653.0,416.0,961.0,231.0,2525.0,1340.0,1170.0,584.0,463.0,3481.0,544.0,652.0,304.0,1859.0,420.0,372.0,1809.0,367.0,147.0,322.0,733.0,267.0,259.0,0.4,1.3,0.9,2.6,12360.0,6093.0,217.0,11595.0,8280.0,4683.0,2733.0,105.0,27396.0,2303.0,2818.0,2806.0,2928.0,2684.0,2107.0,1099.0,422.0,11936.0,29103.0,,0.5
