,State,"Active Physicians per 100,000 Population, 2018","Total Active Patient Care Physicians per 100,000 Population, 2018","Active Primary Care Physicians per 100,000 Population, 2018","Active Patient Care Primary Care Physicians per 100,000 Population, 2018","Active General Surgeons per 100,000 Population, 2018","Active Patient Care General Surgeons per 100,000 Population, 2018","Percentage of Active Physicians Who Are Female, 2018","Percentage of Active Physicians Who Are International Medical Graduates (IMGs), 2018","Percentage of Active Physicians Who Are Age 60 or Older, 2018","MD and DO Student Enrollment per 100,000 Population, AY 2018-2019","Student Enrollment at Public MD and DO Schools per 100,000 Population, AY 2018-2019","Percentage Change in Student Enrollment at MD and DO Schools, 2008-2018","Percentage of MD Students Matriculating In-State, AY 2018-2019","Total Residents/Fellows in ACGME Programs per 100,000 Population as of December 31, 2018","Total Residents/Fellows in Primary Care ACGME Programs per 100,000 Population as of Dec. 31, 2018","Percentage of Residents in ACGME Programs Who Are IMGs as of December 31, 2018","Ratio of Residents and Fellows (GME) to Medical Students (UME), AY 2017-2018","Percent Change in Residents and Fellows in ACGME-Accredited Programs, 2008-2018","Percentage of Physicians Retained in State from Undergraduate Medical Education (UME), 2018",All Specialties,Allergy & Immunology,Anatomic/Clinical Pathology,Anesthesiology,Cardiovascular Disease,Child & Adolescent Psychiatry**,Critical Care Medicine,Dermatology,Emergency Medicine,"Endocrinology, Diabetes & Metabolism",Family Medicine/General Practice,Gastroenterology,General Surgery,Geriatric Medicine***,Hematology & Oncology,Infectious Disease,Internal Medicine,Internal Medicine/Pediatrics,Interventional Cardiology,Neonatal-Perinatal Medicine,Nephrology,Neurological Surgery,Neurology,Neuroradiology,Obstetrics & Gynecology,Ophthalmology,Orthopedic Surgery,Otolaryngology,Pain Medicine & Pain Management,Pediatrics**,Physical Medicine & Rehabilitation,Plastic Surgery,Preventive Medicine,Psychiatry,Pulmonary Disease,Radiation Oncology,Radiology & Diagnostic Radiology,Rheumatology,Sports Medicine,Thoracic Surgery,Urology,Vascular & Interventional Radiology,Vascular Surgery
0,AL,217.1,196.7,77.2,71.2,7.6,6.9,28.5%,18.1%,34.4%,49.1,22.8,136.8%,82.1%,29.9,11.9,21.9%,0.6,18.4%,48.4%,"10,614",44,142,477,292,87,124,133,401,70,"1,578",182,372,42,157,88,"1,371",66,65,56,141,70,177,44,531,212,291,171,48,708,96,74,63,318,74,72,351,79,35,64,148,30,40
0,AK,276.9,256.7,112.8,105.6,9.6,8.5,38.0%,6.1%,31.5%,NA,NA,NA,NA,5.0,4.7,2.7%,NA,2.8%,NA,"2,042",NA,19,97,33,27,16,19,136,NA,523,19,71,NA,22,NA,161,15,NA,12,10,13,17,NA,99,30,75,31,16,126,12,12,22,74,NA,13,56,NA,NA,NA,19,NA,NA
0,AZ,242.0,224.0,78.1,73.2,6.9,6.1,32.6%,24.8%,32.1%,31.7,11.7,54.7%,49.1%,25.8,9.5,19.0%,0.8,37.8%,41.7%,"17,356",67,229,"1,061",410,161,238,243,917,119,"2,206",288,494,106,268,142,"2,156",100,103,80,222,107,286,85,765,301,372,152,134,"1,023",159,156,117,675,130,108,566,93,46,87,198,87,69
0,AR,207.6,188.2,79.9,75.0,7.0,6.5,27.9%,18.2%,33.3%,34.2,23.7,66.2%,93.0%,29.6,14.0,30.7%,0.8,25.8%,57.9%,"6,256",33,108,266,150,53,65,72,256,43,"1,394",95,210,55,87,36,496,77,47,37,74,65,82,26,277,127,152,72,35,384,64,33,20,220,27,33,207,39,13,41,67,28,11
0,CA,279.6,243.8,96.2,87.1,7.2,6.2,37.8%,24.0%,33.7%,19.8,8.8,27.5%,40.3%,29.4,10.6,10.7%,1.5,22.7%,62.8%,"110,603",595,"1,569","5,244","2,288","1,184","1,277","1,815","5,445",867,"13,588","1,681","2,849",615,"1,736","1,024","15,652",404,365,675,"1,236",653,"1,624",423,"5,113","2,487","2,274","1,189",627,"7,705","1,074","1,127",909,"5,693",589,587,"3,235",726,269,473,"1,091",399,410
0,CO,285.7,262.5,95.4,88.9,7.8,7.1,38.8%,8.3%,29.5%,30.0,14.4,109.7%,31.5%,28.5,11.4,3.4%,0.9,40.3%,42.9%,"16,272",110,200,904,254,194,223,226,"1,074",110,"2,581",210,444,92,223,131,"1,717",69,54,81,142,111,214,71,760,285,381,184,64,958,202,117,196,599,90,73,464,99,65,57,158,69,43
0,CT,352.1,302.9,105.7,93.7,8.6,7.1,37.9%,29.7%,34.1%,38.8,13.0,60.9%,44.5%,68.0,26.8,35.7%,1.7,18.9%,19.1%,"12,579",74,190,558,374,230,177,188,515,150,653,275,306,116,239,171,"2,105",65,47,83,159,76,181,39,627,278,256,115,49,830,100,86,76,810,94,62,401,95,17,54,120,50,58
0,DE,284.6,252.3,96.8,87.2,7.0,6.6,39.0%,26.3%,30.2%,NA,NA,NA,NA,39.8,16.6,15.8%,NA,14.9%,NA,"2,753",18,31,100,73,27,36,23,124,13,348,48,68,18,43,31,304,36,13,27,35,NA,39,NA,125,50,62,25,19,227,35,18,19,102,16,14,91,13,16,16,27,12,NA
0,DC,847.0,619.0,239.7,179.4,25.3,15.2,47.2%,23.0%,30.5%,295.0,NA,2.0%,31.5%,238.9,77.9,29.9%,0.9,5.1%,6.2%,"5,950",40,107,230,139,81,98,61,260,64,310,91,178,39,140,123,818,28,24,55,72,37,102,31,239,100,67,47,15,470,48,38,102,359,33,22,148,52,11,28,55,26,23
0,FL,265.2,240.7,86.8,80.1,6.9,6.0,30.7%,35.9%,36.1%,27.0,14.4,53.2%,58.2%,28.9,11.6,31.2%,1.1,84.0%,48.0%,"56,484",256,757,"2,631","1,643",416,739,944,"2,641",477,"6,879","1,093","1,463",405,939,566,"7,513",184,292,354,653,416,961,231,"2,525","1,340","1,170",584,463,"3,481",544,652,304,"1,859",420,372,"1,809",367,147,322,733,267,259
