FIPS,,,stay at home,>50 gatherings,>500 gatherings,public schools,restaurant dine-in,entertainment/gym,Federal guidelines,foreign travel ban
1000,alabama,AL,,20-Mar,13-Mar,16-Mar,19-Mar,,16-Mar,11-Mar
1001,autauga county,AL,,20-Mar,13-Mar,16-Mar,19-Mar,,16-Mar,11-Mar
1003,baldwin county,AL,,20-Mar,13-Mar,16-Mar,19-Mar,,16-Mar,11-Mar
1005,barbour county,AL,,20-Mar,13-Mar,16-Mar,19-Mar,,16-Mar,11-Mar
1007,bibb county,AL,,20-Mar,13-Mar,16-Mar,19-Mar,,16-Mar,11-Mar
1009,blount county,AL,,20-Mar,13-Mar,16-Mar,19-Mar,,16-Mar,11-Mar
1011,bullock county,AL,,20-Mar,13-Mar,16-Mar,19-Mar,,16-Mar,11-Mar
1013,butler county,AL,,20-Mar,13-Mar,16-Mar,19-Mar,,16-Mar,11-Mar
1015,calhoun county,AL,,20-Mar,13-Mar,16-Mar,19-Mar,,16-Mar,11-Mar
1017,chambers county,AL,,20-Mar,13-Mar,16-Mar,19-Mar,,16-Mar,11-Mar
1019,cherokee county,AL,,20-Mar,13-Mar,16-Mar,19-Mar,,16-Mar,11-Mar
1021,chilton county,AL,,20-Mar,13-Mar,16-Mar,19-Mar,,16-Mar,11-Mar
1023,choctaw county,AL,,20-Mar,13-Mar,16-Mar,19-Mar,,16-Mar,11-Mar
1025,clarke county,AL,,20-Mar,13-Mar,16-Mar,19-Mar,,16-Mar,11-Mar
1027,clay county,AL,,20-Mar,13-Mar,16-Mar,19-Mar,,16-Mar,11-Mar
1029,cleburne county,AL,,20-Mar,13-Mar,16-Mar,19-Mar,,16-Mar,11-Mar
1031,coffee county,AL,,20-Mar,13-Mar,16-Mar,19-Mar,,16-Mar,11-Mar
1033,colbert county,AL,,20-Mar,13-Mar,16-Mar,19-Mar,,16-Mar,11-Mar
1035,conecuh county,AL,,20-Mar,13-Mar,16-Mar,19-Mar,,16-Mar,11-Mar
1037,coosa county,AL,,20-Mar,13-Mar,16-Mar,19-Mar,,16-Mar,11-Mar
1039,covington county,AL,,20-Mar,13-Mar,16-Mar,19-Mar,,16-Mar,11-Mar
1041,crenshaw county,AL,,20-Mar,13-Mar,16-Mar,19-Mar,,16-Mar,11-Mar
1043,cullman county,AL,,20-Mar,13-Mar,16-Mar,19-Mar,,16-Mar,11-Mar
1045,dale county,AL,,20-Mar,13-Mar,16-Mar,19-Mar,,16-Mar,11-Mar
1047,dallas county,AL,,20-Mar,13-Mar,16-Mar,19-Mar,,16-Mar,11-Mar
1049,dekalb county,AL,,20-Mar,13-Mar,16-Mar,19-Mar,,16-Mar,11-Mar
1051,elmore county,AL,,20-Mar,13-Mar,16-Mar,19-Mar,,16-Mar,11-Mar
1053,escambia county,AL,,20-Mar,13-Mar,16-Mar,19-Mar,,16-Mar,11-Mar
1055,etowah county,AL,,20-Mar,13-Mar,16-Mar,19-Mar,,16-Mar,11-Mar
1057,fayette county,AL,,20-Mar,13-Mar,16-Mar,19-Mar,,16-Mar,11-Mar
1059,franklin county,AL,,20-Mar,13-Mar,16-Mar,19-Mar,,16-Mar,11-Mar
1061,geneva county,AL,,20-Mar,13-Mar,16-Mar,19-Mar,,16-Mar,11-Mar
1063,greene county,AL,,20-Mar,13-Mar,16-Mar,19-Mar,,16-Mar,11-Mar
1065,hale county,AL,,20-Mar,13-Mar,16-Mar,19-Mar,,16-Mar,11-Mar
1067,henry county,AL,,20-Mar,13-Mar,16-Mar,19-Mar,,16-Mar,11-Mar
1069,houston county,AL,,20-Mar,13-Mar,16-Mar,19-Mar,,16-Mar,11-Mar
1071,jackson county,AL,,20-Mar,13-Mar,16-Mar,19-Mar,,16-Mar,11-Mar
1073,jefferson county,AL,26-Mar,20-Mar,13-Mar,16-Mar,19-Mar,,16-Mar,11-Mar
1075,lamar county,AL,,20-Mar,13-Mar,16-Mar,19-Mar,,16-Mar,11-Mar
1077,lauderdale county,AL,,20-Mar,13-Mar,16-Mar,19-Mar,,16-Mar,11-Mar
1079,lawrence county,AL,,20-Mar,13-Mar,16-Mar,19-Mar,,16-Mar,11-Mar
1081,lee county,AL,,20-Mar,13-Mar,16-Mar,19-Mar,,16-Mar,11-Mar
1083,limestone county,AL,,20-Mar,13-Mar,16-Mar,19-Mar,,16-Mar,11-Mar
1085,lowndes county,AL,,20-Mar,13-Mar,16-Mar,19-Mar,,16-Mar,11-Mar
1087,macon county,AL,,20-Mar,13-Mar,16-Mar,19-Mar,,16-Mar,11-Mar
1089,madison county,AL,,20-Mar,13-Mar,16-Mar,19-Mar,,16-Mar,11-Mar
1091,marengo county,AL,,20-Mar,13-Mar,16-Mar,19-Mar,,16-Mar,11-Mar
1093,marion county,AL,,20-Mar,13-Mar,16-Mar,19-Mar,,16-Mar,11-Mar
1095,marshall county,AL,,20-Mar,13-Mar,16-Mar,19-Mar,,16-Mar,11-Mar
1097,mobile county,AL,,20-Mar,13-Mar,16-Mar,19-Mar,,16-Mar,11-Mar
1099,monroe county,AL,,20-Mar,13-Mar,16-Mar,19-Mar,,16-Mar,11-Mar
1101,montgomery county,AL,,20-Mar,13-Mar,16-Mar,19-Mar,,16-Mar,11-Mar
1103,morgan county,AL,,20-Mar,13-Mar,16-Mar,19-Mar,,16-Mar,11-Mar
1105,perry county,AL,,20-Mar,13-Mar,16-Mar,19-Mar,,16-Mar,11-Mar
