County,total,female,male,f<18,m<18,f<18-64,m<18-64,f>65,m>65,f_white,m_white,f_af_amer,m_af_amer,f_amerindian_alaska,m_amerindian_alaska,f_asian,m_asian,f_pasific_island,m_pasific_island,f_two_more_races,m_two_more_races,f>15,f>15_single,f>15_married,f>15_separated,f>15_windowed,f>15_divorced,m>15,m>15_single,m>15_married,m>15_separated,m>15_windowed,m>15_divorced,over_25_high_school_or_higher,over_25_bachelor_or_higher,house_has_children_under_18,married-couple_family,householder_living_alone,grandparents_living_with_grandchildren_under_18_years
Albany County,307117,158384,148733,27605,28754,97644,101041,29738,22335,120652,113947,22575,20445,453,423,10511,9964,106,109,4359,4173,135612,53009,53809,2580,12157,14057,124910,56315,53609,1851,3264,9871,189479,84423,28265,49985,44920,1186
Allegany County,46430,22861,23569,4484,4906,14432,13793,4584,4231,22044,22635,257,383,69,73,316,265,12,5,288,341,19492,5823,9135,454,1876,2204,19697,7340,9319,394,737,1907,27132,6102,4547,8696,5418,325
Bronx County,1432132,757232,674900,174278,180414,422417,471648,111306,72069,338504,308804,337236,291735,21786,20183,32880,30909,3183,2860,27689,23956,612205,283785,173917,38169,50449,65885,523043,265886,187326,19336,12050,38445,665181,183134,161000,138852,151720,12500
Broome County,191659,97419,94240,17884,19106,59194,58933,20602,15940,84817,81829,5829,5862,282,242,4253,4151,60,65,2786,2783,83801,27993,34842,1924,8748,10294,79546,31956,36391,1442,2091,7666,116637,36474,17905,33665,25571,1076
Cattaraugus County,76840,38692,38148,8302,8631,22657,22521,7869,6860,35785,35253,483,703,1440,1268,341,316,18,10,825,803,32086,8892,15168,670,3392,3964,31236,10776,15377,608,1022,3453,46920,10136,7696,14446,9632,669
Cayuga County,77145,37623,39522,7327,7828,24838,22402,7894,6856,35751,35755,809,2613,145,219,267,203,19,30,814,838,31834,8308,15132,905,3496,3993,33397,12037,15738,866,1142,3614,48714,12393,7954,14101,9124,540
Chautauqua County,127939,64774,63165,12811,13186,38426,37812,14151,11553,61406,59189,1417,2060,472,462,460,385,25,40,1325,1368,54910,15567,24789,1458,6100,6996,52959,19028,25080,1213,1575,6063,79873,19522,12508,23676,16670,801
Chemung County,84254,42404,41850,8850,9179,25580,24670,8884,7091,38565,36547,2016,3526,133,166,654,588,16,16,1347,1300,35660,9878,16566,1307,3652,4257,34668,12325,17175,807,1030,3331,54132,14297,8773,15763,10459,767
Chenango County,47536,23722,23814,4836,5004,14200,13813,5073,4610,23131,23008,197,277,92,105,144,144,4,4,318,366,20128,4647,10175,610,2189,2507,20003,6179,9979,536,671,2638,30382,6315,4709,9560,6144,455
Clinton County,80695,39168,41527,7087,7404,27775,24665,7416,6348,36968,37269,660,2938,132,189,697,451,18,15,616,614,33440,10256,15640,526,3197,3821,35361,14175,15996,793,1108,3289,48296,12588,7507,14601,8636,595
